# 微明领域词库：医学，由 glimmer-dict-convert lexicon 从 THUOCL 拆出，基础词库里没有的部分。词	音节	词频
清淋颗粒	qing lin ke li	2
清火栀麦片	qing huo zhi mai pian	3
清火栀麦胶囊	qing huo zhi mai jiao nang	3
清火片	qing huo pian	4
清火胶囊	qing huo jiao nang	3
清热八味胶囊	qing re ba wei jiao nang	3
清热凉茶	qing re liang cha	3
清热凉血	qing re liang xue	11
清热利湿	qing re li shi	37
清热剂	qing re ji	1
清热化湿	qing re hua shi	7
清热化湿口服液	qing re hua shi kou fu ye	2
清热化痰	qing re hua tan	5
清热开窍	qing re kai qiao	1
清热明目茶	qing re ming mu cha	3
清热暗疮丸	qing re an chuang wan	2
清热泻火	qing re xie huo	8
清热消炎宁胶囊	qing re xiao yan ning jiao nang	4
清热灵颗粒	qing re ling ke li	1
清热生津	qing re sheng jin	5
清热祛湿	qing re qu shi	3
清热祛湿颗粒	qing re qu shi ke li	3
清热药	qing re yao	8
清热解毒口服液	qing re jie du kou fu ye	7
清热解毒注射液	qing re jie du zhu she ye	3
清热解毒片	qing re jie du pian	4
清热解毒胶囊	qing re jie du jiao nang	3
清热解毒软胶囊	qing re jie du ruan jiao nang	4
清热解毒颗粒	qing re jie du ke li	4
清热通淋	qing re tong lin	4
清热通淋片	qing re tong lin pian	2
清热通淋胶囊	qing re tong lin jiao nang	4
清燥救肺汤	qing zao jiu fei tang	2
清瘟解毒	qing wen jie du	5
清瘟解毒丸	qing wen jie du wan	2
清瘟解毒片	qing wen jie du pian	3
清瘟败毒饮	qing wen bai du yin	1
清经散	qing jing san	2
清络饮	qing luo yin	1
清肝利胆口服液	qing gan li dan kou fu ye	2
清肝降压胶囊	qing gan jiang ya jiao nang	3
清肺化痰	qing fei hua tan	2
清肺化痰丸	qing fei hua tan wan	2
清肺十八味丸	qing fei shi ba wei wan	5
清肺口服液	qing fei kou fu ye	2
清肺抑火丸	qing fei yi huo wan	3
清肺抑火片	qing fei yi huo pian	3
清肺散结丸	qing fei san jie wan	5
清肺消炎丸	qing fei xiao yan wan	3
清胃汤	qing wei tang	2
清胃黄连丸	qing wei huang lian wan	4
清胰汤	qing yi tang	2
清脑复神液	qing nao fu shen ye	2
清脑降压片	qing nao jiang ya pian	2
清脑降压颗粒	qing nao jiang ya ke li	2
清艾条	qing ai tiao	4
清营凉血	qing ying liang xue	1
清营汤	qing ying tang	1
清血八味	qing xue ba wei	5
清血八味胶囊	qing xue ba wei jiao nang	3
清解	qing jie	5
清金降火汤	qing jin jiang huo tang	2
渊腋	yuan ye	1
渊腋穴	yuan ye xue	2
渗出性中耳炎	shen chu xing zhong er yan	2
渗出性多形红斑	shen chu xing duo xing hong ban	3
渗出性胸膜炎	shen chu xing xiong mo yan	4
渗出液	shen chu ye	26
渗湿	shen shi	9
渗透性利尿	shen tou xing li niao	7
温中散寒	wen zhong san han	11
温凉	wen liang	47
温度感受器	wen du gan shou qi	6
温度效应	wen du xiao ying	8
温毒发斑	wen du fa ban	3
温热经纬	wen re jing wei	6
温疫	wen yi	15
温疫论	wen yi lun	8
温病条辨	wen bing tiao bian	25
温经	wen jing	8
温经散寒	wen jing san han	4
温经活血	wen jing huo xue	5
温肾前列胶囊	wen shen qian lie jiao nang	2
温胃舒胶囊	wen wei shu jiao nang	4
温胃舒颗粒	wen wei shu ke li	2
温脾固肠散	wen pi gu chang san	2
温觉	wen jue	10
温郁金	wen yu jin	4
渴乐宁胶囊	ke le ning jiao nang	2
游动孢子	you dong bao zi	10
游戏疗法	you xi liao fa	7
游泳足	you yong zu	13
游离二氧化硅	you li er yang hua gui	5
游离基因	you li ji yin	5
游离甲状腺素	you li jia zhuang xian su	3
游离皮片移植术	you li pi pian yi zhi shu	3
游离酸	you li suan	13
游离龈	you li yin	5
湖北贝母	hu bei bei mu	1
湿困脾阳	shi kun pi yang	2
湿性坏疽	shi xing huai ju	2
湿敷	shi fu	5
湿毒清胶囊	shi du qing jiao nang	1
湿毒清软膏	shi du qing ruan gao	2
湿法制粒	shi fa zhi li	2
湿润剂	shi run ji	10
湿润烧伤膏	shi run shao shang gao	4
湿温病	shi wen bing	1
湿热下注证	shi re xia zhu zheng	3
湿热壅滞证	shi re yong zhi zheng	2
湿热症	shi re zheng	5
湿热蕴结证	shi re yun jie zheng	3
湿热证	shi re zheng	5
湿疣	shi you	5
湿疹样皮炎	shi zhen yang pi yan	1
湿症	shi zheng	1
湿痹	shi bi	21
湿证	shi zheng	4
湿邪	shi xie	12
湿重	shi zhong	20
湿阻	shi zu	6
溃疡性睑缘炎	kui yang xing jian yuan yan	2
溃疡性肠炎	kui yang xing chang yan	1
溃疡病穿孔	kui yang bing chuan kong	2
溪黄草	xi huang cao	7
溯源堂	su yuan tang	3
溴丙胺太林	xiu bing an tai lin	3
溴甲烷中毒	xiu jia wan zhong du	3
溴米那普鲁卡因	xiu mi na pu lu ka yin	2
溴苯那敏	xiu ben na min	9
溴隐亭	xiu yin ting	15
溶出速度	rong chu su du	1
溶剂提取	rong ji ti qu	26
溶剂法	rong ji fa	13
溶栓脑通胶囊	rong shuan nao tong jiao nang	6
溶液剂	rong ye ji	5
溶液培养	rong ye pei yang	7
溶菌	rong jun	19
溶菌酶含片	rong jun mei han pian	3
溶血性黄疸	rong xue xing huang dan	4
溶解度参数	rong jie du can shu	15
溶解扩散	rong jie kuo san	1
溶酶体贮积症	rong mei ti zhu ji zheng	7
滋养体	zi yang ti	18
滋养层	zi yang ceng	42
滋肾	zi shen	10
滋肾育胎丸	zi shen yu tai wan	4
滋补生发片	zi bu sheng fa pian	2
滋补肝肾	zi bu gan shen	1
滋补肝肾丸	zi bu gan shen wan	2
滋阴清热	zi yin qing re	4
滋阴潜阳	zi yin qian yang	1
滋阴益胃	zi yin yi wei	2
滋阴补肾丸	zi yin bu shen wan	3
滑囊	hua nang	25
滑囊炎	hua nang yan	44
滑液囊	hua ye nang	33
滑石尘肺	hua shi chen fei	4
滑精	hua jing	9
滑肉门	hua rou men	2
滑膜囊	hua mo nang	4
滑膜炎	hua mo yan	44
滑膜炎颗粒	hua mo yan ke li	3
滑膜肉瘤	hua mo rou liu	23
滑车神经	hua che shen jing	21
滕卫平	teng wei ping	12
滞产	zhi chan	12
满婷	man ting	2
满山白	man shan bai	3
满山白糖浆	man shan bai tang jiang	2
滤泡上皮细胞	lv pao shang pi xi bao	19
滤泡性淋巴瘤	lv pao xing lin ba liu	10
滤过率	lv guo lv	7
滤过膜	lv guo mo	3
滴定曲线	di ding qu xian	13
滴定法	di ding fa	41
滴度	di du	7
滴瓶	di ping	7
滴眼剂	di yan ji	11
滴眼用利福平	di yan yong li fu ping	3
滴耳剂	di er ji	5
滴虫性前列腺炎	di chong xing qian lie xian yan	2
滴虫性尿道炎	di chong xing niao dao yan	3
滴虫性阴道炎	di chong xing yin dao yan	22
滴通鼻炎水	di tong bi yan shui	5
滴鼻剂	di bi ji	6
漂白粉消毒	piao bai fen xiao du	6
漆姑草	qi gu cao	23
漏出液	lou chu ye	1
漏斗胸	lou dou xiong	9
漏谷穴	lou gu xue	2
演替系列	yan ti xi lie	14
潘佩璆	pan pei qiu	30
潘木枝	pan mu zhi	35
潘生丁	pan sheng ding	9
潜伏梅毒	qian fu mei du	3
潜血	qian xue	22
潮上带	chao shang dai	14
潮气量	chao qi liang	14
潮汐周期	chao xi zhou qi	14
澳凼大桥	ao dang da qiao	3
澳泰乐颗粒	ao tai le ke li	2
激光刀	ji guang dao	2
激光手术	ji guang shou shu	18
激光损伤	ji guang sun shang	3
激光治疗仪	ji guang zhi liao yi	2
激光脱毛术	ji guang tuo mao shu	2
激活因子	ji huo yin zi	46
灌木带	guan mu dai	4
灌流	guan liu	34
灌肠剂	guan chang ji	13
火器伤	huo qi shang	2
火把花根片	huo ba hua gen pian	4
火棉胶	huo mian jiao	23
火毒	huo du	3
火激红斑	huo ji hong ban	4
火炭母	huo tan mu	28
火焰子	huo yan zi	2
火麻仁	huo ma ren	28
灭湿痛	mie shi tong	3
灭滴灵	mie di ling	5
灭菌剂	mie jun ji	11
灭菌技术	mie jun ji shu	5
灭菌法	mie jun fa	10
灭菌注射用水	mie jun zhu she yong shui	1
灯台叶片	deng tai ye pian	3
灯盏生脉胶囊	deng zhan sheng mai jiao nang	2
灯盏细辛	deng zhan xi xin	1
灯盏花注射液	deng zhan hua zhu she ye	2
灯盏花素	deng zhan hua su	4
灯盏花素注射液	deng zhan hua su zhu she ye	4
灯盏花素片	deng zhan hua su pian	3
灰婴综合征	hui ying zong he zheng	1
灰黄霉素	hui huang mei su	23
灵丹草颗粒	ling dan cao ke li	1
灵仙跌打片	ling xian die da pian	4
灵兰秘典论	ling lan mi dian lun	3
灵精胶囊	ling jing jiao nang	3
灵芝多糖	ling zhi duo tang	2
灵芝孢子粉	ling zhi bao zi fen	1
灵芝孢子粉胶囊	ling zhi bao zi fen jiao nang	6
灵芝片	ling zhi pian	6
灵芝益寿胶囊	ling zhi yi shou jiao nang	3
灵芝胶囊	ling zhi jiao nang	4
灵道	ling dao	3
灸法	jiu fa	33
灼性神经痛	zhuo xing shen jing tong	2
炉甘石	lu gan shi	28
炉甘石洗剂	lu gan shi xi ji	12
炉甘石粉	lu gan shi fen	4
炎可宁	yan ke ning	2
炎可宁片	yan ke ning pian	3
炎宁胶囊	yan ning jiao nang	3
炎性假瘤	yan xing jia liu	1
炎性息肉	yan xing xi rou	4
炎琥宁	yan hu ning	6
炎琥宁注射液	yan hu ning zhu she ye	4
炎症后色素沉着	yan zheng hou se su chen zhuo	4
炎立消	yan li xiao	2
炎立消片	yan li xiao pian	2
炎立消胶囊	yan li xiao jiao nang	8
炎见宁片	yan jian ning pian	2
炒决明子	chao jue ming zi	4
炒白术	chao bai zhu	1
炒莱菔子	chao lai fu zi	5
炒葶苈子	chao ting li zi	4
炒鸡内金	chao ji nei jin	3
炒麦芽	chao mai ya	6
炔诺酮	que nuo tong	39
炔雌醇	que ci chun	42
炔雌醇片	que ci chun pian	3
炔雌醚	que ci mi	2
炙甘草	zhi gan cao	37
炙甘草汤	zhi gan cao tang	1
炙黄芪	zhi huang qi	1
炭疽活疫苗	tan ju huo yi miao	2
炮姜	pao jiang	4
炮弹休克	pao dan xiu ke	4
烂脚	lan jiao	6
烟斑	yan ban	1
烟曲霉	yan qu mei	39
烟草花叶病毒	yan cao hua ye bing du	31
烟酸片	yan suan pian	2
烟酸缓释片	yan suan huan shi pian	2
烟雾病	yan wu bing	3
烦渴	fan ke	22
烧伤喷雾剂	shao shang pen wu ji	2
烧伤感染	shao shang gan ran	1
烧伤面积	shao shang mian ji	24
烧烫伤软膏	shao tang shang ruan gao	2
热价	re jia	10
热休克蛋白	re xiu ke dan bai	42
热入心包	re ru xin bao	2
热原	re yuan	6
热发光	re fa guang	13
热射病	re she bing	19
热极生风	re ji sheng feng	5
热毒宁注射液	re du ning zhu she ye	6
热毒平颗粒	re du ping ke li	3
热毒症	re du zheng	3
热毒证	re du zheng	3
热淋	re lin	7
热淋清片	re lin qing pian	2
热淋清颗粒	re lin qing ke li	2
热激红斑	re ji hong ban	3
热炎宁合剂	re yan ning he ji	2
热炎宁颗粒	re yan ning ke li	3
热烧伤	re shao shang	5
热疗法	re liao fa	4
热症	re zheng	44
热痱搽剂	re fei cha ji	2
热痹	re bi	1
热盛伤津	re sheng shang jin	4
热缺血时间	re que xue shi jian	4
热证	re zheng	20
焦山楂	jiao shan zha	1
焦度	jiao du	31
焦炉工人肺癌	jiao lu gong ren fei ai	4
焦痂	jiao jia	6
焦神曲	jiao shen qu	5
焦虑性抑郁症	jiao lv xing yi yu zheng	3
焦虑性障碍	jiao lv xing zhang ai	6
焦虑状态	jiao lv zhuang tai	12
焦麦芽	jiao mai ya	5
然谷	ran gu	4
煅牡蛎	duan mu li	6
煅石膏	duan shi gao	2
煎煮法	jian zhu fa	4
煤工尘肺	mei gong chen fei	2
照海	zhao hai	6
照海穴	zhao hai xue	1
熊去氧胆酸	xiong qu yang dan suan	18
熊去氧胆酸片	xiong qu yang dan suan pian	1
熊去氧胆酸胶囊	xiong qu yang dan suan jiao nang	5
熊果酸	xiong guo suan	35
熊胆丸胶囊	xiong dan wan jiao nang	2
熊胆川贝口服液	xiong dan chuan bei kou fu ye	3
熊胆救心丸	xiong dan jiu xin wan	3
熊胆救心丹	xiong dan jiu xin dan	3
熊胆滴眼液	xiong dan di yan ye	3
熊胆痔灵栓	xiong dan zhi ling shuan	3
熊胆痔灵膏	xiong dan zhi ling gao	4
熊胆痔疮膏	xiong dan zhi chuang gao	2
熊胆眼药水	xiong dan yan yao shui	5
熊胆胶囊	xiong dan jiao nang	7
熊胆茵陈口服液	xiong dan yin chen kou fu ye	3
熊胆跌打膏	xiong dan die da gao	2
熊胆黄芩滴眼液	xiong dan huang qin di yan ye	4
熔融法	rong rong fa	14
熟地黄	shu di huang	22
燥湿化痰	zao shi hua tan	5
爆炸伤	bao zha shang	12
爪形手	zhao xing shou	4
爬行者	pa xing zhe	32
爬行运动	pa xing yun dong	6
爱普列特	ai pu lie te	2
爱普列特片	ai pu lie te pian	2
爱维心口服液	ai wei xin kou fu ye	3
片仔癀	pian zai huang	33
片姜黄	pian jiang huang	4
牙体牙髓病学	ya ti ya sui bing xue	2
牙冠延长术	ya guan yan chang shu	3
牙列不齐	ya lie bu qi	5
牙周病学	ya zhou bing xue	13
牙周组织	ya zhou zu zhi	12
牙周组织病	ya zhou zu zhi bing	2
牙周翻瓣术	ya zhou fan ban shu	2
牙周脓肿	ya zhou nong zhong	4
牙周膜	ya zhou mo	3
牙周萎缩	ya zhou wei suo	4
牙周袋	ya zhou dai	4
牙垫	ya dian	1
牙外伤	ya wai shang	6
牙尖	ya jian	34
牙式	ya shi	5
牙弓	ya gong	6
牙挺	ya ting	7
牙本质小管	ya ben zhi xiao guan	1
牙本质过敏	ya ben zhi guo min	2
牙板	ya ban	16
牙椅	ya yi	8
牙槽脓肿	ya cao nong zhong	1
牙槽骨	ya cao gu	18
牙槽骨修整术	ya cao gu xiu zheng shu	2
牙源性肿瘤	ya yuan xing zhong liu	1
牙片	ya pian	8
牙痛一粒丸	ya tong yi li wan	3
牙痛安	ya tong an	2
牙瘤	ya liu	1
牙科综合治疗台	ya ke zong he zhi liao tai	4
牙科综合治疗机	ya ke zong he zhi liao ji	4
牙线	ya xian	9
牙结石	ya jie shi	16
牙胚	ya pei	2
牙色	ya se	4
牙钻	ya zuan	9
牙隐裂	ya yin lie	6
牙颌面畸形	ya he mian ji xing	4
牙骨质	ya gu zhi	24
牙髓坏死	ya sui huai si	5
牙髓摘除术	ya sui zhai chu shu	3
牙髓炎	ya sui yan	13
牙髓病	ya sui bing	19
牙齿变色	ya chi bian se	8
牙齿拥挤	ya chi yong ji	1
牙齿松动	ya chi song dong	15
牙齿楔状缺损	ya chi xie zhuang que sun	3
牙齿漂白术	ya chi piao bai shu	2
牙齿腐蚀	ya chi fu shi	5
牙龈出血	ya yin chu xue	28
牙龈切除术	ya yin qie chu shu	2
牙龈增生	ya yin zeng sheng	4
牙龈炎	ya yin yan	25
牙龈病	ya yin bing	8
牙龈瘘管	ya yin lou guan	3
牙龈瘤	ya yin liu	1
牙龈肿痛	ya yin zhong tong	4
牙龈退缩	ya yin tui suo	1
牛乳钙	niu ru gai	5
牛初乳	niu chu ru	41
牛惠生	niu hui sheng	11
牛疫	niu yi	16
牛痘苗	niu dou miao	8
牛皮癣关节炎	niu pi xuan guan jie yan	3
牛皮癣性关节炎	niu pi xuan xing guan jie yan	3
牛磺熊去氧胆酸	niu huang xiong qu yang dan suan	5
牛磺胆酸	niu huang dan suan	3
牛磺胆酸钠	niu huang dan suan na	2
牛磺酸滴眼液	niu huang suan di yan ye	2
牛磺酸颗粒	niu huang suan ke li	3
牛蒡子	niu bang zi	15
牛蒡根	niu bang gen	3
牛黄上清丸	niu huang shang qing wan	1
牛黄上清片	niu huang shang qing pian	3
牛黄上清胶囊	niu huang shang qing jiao nang	2
牛黄千金散	niu huang qian jin san	3
牛黄消炎丸	niu huang xiao yan wan	3
牛黄消炎灵胶囊	niu huang xiao yan ling jiao nang	2
牛黄消炎片	niu huang xiao yan pian	4
牛黄清心丸	niu huang qing xin wan	13
牛黄清感胶囊	niu huang qing gan jiao nang	3
牛黄清火丸	niu huang qing huo wan	3
牛黄清肺散	niu huang qing fei san	2
牛黄清肺片	niu huang qing fei pian	2
牛黄清胃丸	niu huang qing wei wan	6
牛黄蛇胆川贝液	niu huang she dan chuan bei ye	3
牛黄蛇胆川贝胶囊	niu huang she dan chuan bei jiao nang	4
牛黄解毒片	niu huang jie du pian	7
牛黄解毒胶囊	niu huang jie du jiao nang	2
牛黄解毒软胶囊	niu huang jie du ruan jiao nang	4
牛黄降压丸	niu huang jiang ya wan	4
牛黄降压胶囊	niu huang jiang ya jiao nang	2
牡丹皮	mu dan pi	18
牡荆油胶丸	mu jing you jiao wan	3
牡蛎碳酸钙颗粒	mu li tan suan gai ke li	2
物理医学	wu li yi xue	13
物理因子疗法	wu li yin zi liao fa	1
物理治疗学	wu li zhi liao xue	46
物理疗法	wu li liao fa	23
物种形成	wu zhong xing cheng	6
牵张反射	qian zhang fan she	8
牵拉性视网膜脱离	qian la xing shi wang mo tuo li	4
牵正	qian zheng	7
牵涉痛	qian she tong	3
特克斯和凯科斯群岛	te ke si he kai ke si qun dao	7
特利加压素	te li jia ya su	2
特发性震颤	te fa xing zhen chan	1
特子社复	te zi she fu	3
特布他林	te bu ta lin	1
特应性	te ying xing	16
特应性皮炎	te ying xing pi yan	24
特异性免疫	te yi xing mian yi	28
特异性抗原	te yi xing kang yuan	13
特异质反应	te yi zhi fan ying	2
特拉唑嗪	te la zuo qin	5
特殊检查	te shu jian cha	8
特殊迁移	te shu qian yi	3
特比萘芬	te bi nai fen	24
特灵眼药	te ling yan yao	5
特级护理	te ji hu li	1
特罗凯	te luo kai	4
特非那丁片	te fei na ding pian	2
特非那定	te fei na ding	3
特非那定片	te fei na ding pian	2
犀羚解毒丸	xi ling jie du wan	2
犀角化毒丸	xi jiao hua du wan	2
犀角地黄丸	xi jiao di huang wan	2
犀角地黄汤	xi jiao di huang tang	1
犊鼻	du bi	9
犊鼻穴	du bi xue	5
犬钩端螺旋体病	quan gou duan luo xuan ti bing	4
状态焦虑	zhuang tai jiao lv	1
狂犬疫苗	kuang quan yi miao	23
狂犬病免疫球蛋白	kuang quan bing mian yi qiu dan bai	5
狂犬病毒	kuang quan bing du	40
狂病	kuang bing	15
狐惑病	hu huo bing	5
狗皮膏	gou pi gao	7
独一味	du yi wei	4
独一味咀嚼片	du yi wei ju jue pian	2
独一味胶囊	du yi wei jiao nang	2
独一味软胶囊	du yi wei ruan jiao nang	3
独一味颗粒	du yi wei ke li	2
独参汤	du shen tang	3
独圣活血片	du sheng huo xue pian	4
独活寄生汤	du huo ji sheng tang	6
独特位	du te wei	4
独特型	du te xing	4
独生儿童	du sheng er tong	3
独阴	du yin	1
狭叶红景天	xia ye hong jing tian	4
狭心症	xia xin zheng	15
狭颅症	xia lu zheng	5
狼疮性肾炎	lang chuang xing shen yan	11
狼疮肾炎	lang chuang shen yan	4
猝倒症	cu dao zheng	8
猪牙皂	zhu ya zao	8
猪肺磷脂注射液	zhu fei lin zhi zhu she ye	4
猪苓	zhu ling	29
猪苓多糖	zhu ling duo tang	2
猪苓多糖注射液	zhu ling duo tang zhu she ye	2
猪蹄甲	zhu ti jia	4
猪链球菌	zhu lian qiu jun	14
猪链球菌病	zhu lian qiu jun bing	2
猫人参	mao ren shen	2
猫抓病	mao zhua bing	13
猫须草	mao xu cao	2
猴头菌片	hou tou jun pian	4
猴枣	hou zao	22
猴耳环消炎片	hou er huan xiao yan pian	2
猴耳环消炎胶囊	hou er huan xiao yan jiao nang	2
猴菇菌片	hou gu jun pian	3
玄麦甘桔颗粒	xuan mai gan ju ke li	3
率谷	shuai gu	4
玉丹荣心丸	yu dan rong xin wan	2
玉叶清火片	yu ye qing huo pian	4
玉女煎	yu nv jian	1
玉屏风	yu ping feng	3
玉屏风口服液	yu ping feng kou fu ye	4
玉屏风散	yu ping feng san	7
玉屏风滴丸	yu ping feng di wan	2
玉屏风颗粒	yu ping feng ke li	5
玉枕	yu zhen	16
玉枕穴	yu zhen xue	1
玉泉丸	yu quan wan	2
王不留行	wang bu liu xing	16
王世真	wang shi zhen	7
王冰	wang bing	10
王台	wang tai	10
王振义	wang zhen yi	43
王旭高	wang xu gao	3
王朴诚	wang pu cheng	1
王氏保赤丸	wang shi bao chi wan	4
王氏连朴饮	wang shi lian pu yin	3
王肯堂	wang ken tang	22
玫瑰疹	mei gui zhen	3
玫瑰糠疹	mei gui kang zhen	12
玫瑰花结	mei gui hua jie	16
环丙氟哌酸	huan bing fu pai suan	2
环丙沙星注射液	huan bing sha xing zhu she ye	3
环丙沙星滴眼液	huan bing sha xing di yan ye	2
环丙沙星片	huan bing sha xing pian	2
环丝氨酸	huan si an suan	25
环境卫生学	huan jing wei sheng xue	36
环孢素胶囊	huan bao su jiao nang	4
环孢素软胶囊	huan bao su ruan jiao nang	5
环孢菌素	huan bao jun su	13
环己胺	huan ji an	46
环形红斑	huan xing hong ban	3
环指	huan zhi	8
环枢	huan shu	1
环氧化酶	huan yang hua mei	18
环状胰腺	huan zhuang yi xian	2
环状软骨	huan zhuang ruan gu	45
环磷腺苷注射液	huan lin xian gan zhu she ye	5
环磷酰胺注射液	huan lin xian an zhu she ye	4
环磷酸鸟苷	huan lin suan niao gan	13
环跳	huan tiao	14
环转	huan zhuan	7
环酯红霉素	huan zhi hong mei su	3
环酯红霉素片	huan zhi hong mei su pian	2
现代医学模式	xian dai yi xue mo shi	6
现代口腔种植学	xian dai kou qiang zhong zhi xue	3
现况调查	xian kuang diao cha	15
现场研究	xian chang yan jiu	11
现存量	xian cun liang	2
玻璃体出血	bo li ti chu xue	2
玻璃体切割术	bo li ti qie ge shu	3
玻璃体变性	bo li ti bian xing	1
玻璃体液	bo li ti ye	2
玻璃体液化	bo li ti ye hua	1
玻璃体混浊	bo li ti hun zhuo	4
玻璃体病	bo li ti bing	1
玻璃体积血	bo li ti ji xue	6
玻璃离子水门汀	bo li li zi shui men ting	2
玻璃膜疣	bo li mo you	2
玻璃酸酶	bo li suan mei	3
玻璃酸钠	bo li suan na	2
玻璃酸钠滴眼液	bo li suan na di yan ye	3
珊瑚七十味丸	shan hu qi shi wei wan	3
珊瑚姜	shan hu jiang	1
珍合灵片	zhen he ling pian	2
珍宝丸	zhen bao wan	1
珍珠层粉	zhen zhu ceng fen	5
珍珠明目滴眼液	zhen zhu ming mu di yan ye	4
珍珠活络二十九味丸	zhen zhu huo luo er shi jiu wei wan	4
珍珠粉	zhen zhu fen	21
珍珠粉胶囊	zhen zhu fen jiao nang	3
珍珠芦荟	zhen zhu lu hui	3
珍红颗粒	zhen hong ke li	3
珍芪降糖胶囊	zhen qi jiang tang jiao nang	4
珍视明滴眼液	zhen shi ming di yan ye	2
珍香胶囊	zhen xiang jiao nang	3
珠子参	zhu zi shen	3
班布特罗	ban bu te luo	4
班氏丝虫病	ban shi si chong bing	3
球囊扩张导管	qiu nang kuo zhang dao guan	5
球囊斑	qiu nang ban	1
球孢子菌病	qiu bao zi jun bing	8
球旁细胞	qiu pang xi bao	1
球结膜	qiu jie mo	9
球麻痹	qiu ma bi	3
理中丸	li zhong wan	3
理性情绪疗法	li xing qing xu liao fa	2
理气舒心片	li qi shu xin pian	4
理论心理学	li lun xin li xue	33
理论生物学	li lun sheng wu xue	45
琥乙红霉素	hu yi hong mei su	5
琥乙红霉素片	hu yi hong mei su pian	3
琥乙红霉素胶囊	hu yi hong mei su jiao nang	2
琥珀氯霉素	hu po lv mei su	2
琥珀胆碱	hu po dan jian	22
琥珀还睛丸	hu po huan jing wan	2
琥珀酰明胶注射液	hu po xian ming jiao zhu she ye	4
琥珀酸亚铁	hu po suan ya tie	1
琥珀酸氧化酶	hu po suan yang hua mei	2
琥珀酸美托洛尔	hu po suan mei tuo luo er	2
琥珀酸美托洛尔缓释片	hu po suan mei tuo luo er huan shi pian	3
琼玉膏	qiong yu gao	1
琼脂糖	qiong zhi tang	15
琼脂糖凝胶电泳	qiong zhi tang ning jiao dian yong	10
瑞像岩	rui xiang yan	7
瑞巴派特	rui ba pai te	3
瑞格列奈	rui ge lie nai	10
瑞格列奈片	rui ge lie nai pian	3
瑞舒伐他汀钙	rui shu fa ta ting gai	1
瑞芬太尼	rui fen tai ni	32
瑞贝克	rui bei ke	6
瓜子金	gua zi jin	14
瓜蒌仁	gua lou ren	1
瓜蒌薤白半夏汤	gua lou xie bai ban xia tang	2
瓜蒌薤白白酒汤	gua lou xie bai bai jiu tang	2
瓜霜退热灵胶囊	gua shuang tui re ling jiao nang	4
瓣膜性心脏病	ban mo xing xin zang bing	7
瓣膜成形术	ban mo cheng xing shu	4
瓣膜置换术	ban mo zhi huan shu	2
瓦松	wa song	5
瓦楞子	wa leng zi	7
瓷牙	ci ya	9
瓷贴面	ci tie mian	2
甘利欣	gan li xin	4
甘桔冰梅片	gan ju bing mei pian	3
甘油三脂	gan you san zhi	4
甘油果糖	gan you guo tang	4
甘油灌肠剂	gan you guan chang ji	2
甘油醇溶液	gan you chun rong ye	2
甘精胰岛素	gan jing yi dao su	5
甘精胰岛素注射液	gan jing yi dao su zhu she ye	3
甘草干姜茯苓白术汤	gan cao gan jiang fu ling bai zhu tang	2
甘草次酸	gan cao ci suan	17
甘草泻心汤	gan cao xie xin tang	1
甘草流浸膏	gan cao liu jin gao	4
甘草浸膏	gan cao jin gao	2
甘草片	gan cao pian	8
甘草甜素	gan cao tian su	4
甘草酸二钠	gan cao suan er na	2
甘草酸二钾	gan cao suan er jia	3
甘草酸二铵	gan cao suan er an	2
甘草酸二铵注射液	gan cao suan er an zhu she ye	2
甘草酸二铵胶囊	gan cao suan er an jiao nang	3
甘草酸单铵	gan cao suan dan an	3
甘草酸单铵盐	gan cao suan dan an yan	3
甘草酸苷	gan cao suan gan	3
甘草锌颗粒	gan cao xin ke li	3
甘遂	gan sui	13
甘露消毒丸	gan lu xiao du wan	3
甘露消毒丹	gan lu xiao du dan	1
甘露消渴胶囊	gan lu xiao ke jiao nang	4
甘露糖苷酶	gan lu tang gan mei	3
甘露聚糖肽	gan lu ju tang tai	1
甘露聚糖肽口服液	gan lu ju tang tai kou fu ye	3
甘露聚糖肽口服溶液	gan lu ju tang tai kou fu rong ye	4
甘露聚糖肽片	gan lu ju tang tai pian	2
甘露醇注射液	gan lu chun zhu she ye	4
甘麦大枣汤	gan mai da zao tang	2
甜地丁	tian di ding	1
甜菊苷	tian ju gan	4
生三七散	sheng san qi san	2
生前伤	sheng qian shang	2
生力胶囊	sheng li jiao nang	4
生化丸	sheng hua wan	3
生化汤	sheng hua tang	4
生化药物	sheng hua yao wu	3
生发中心	sheng fa zhong xin	23
生命活动	sheng ming huo dong	10
生命质量	sheng ming zhi liang	4
生地	sheng di	10
生地黄	sheng di huang	19
生大黄	sheng dai huang	1
生天南星	sheng tian nan xing	1
生姜油	sheng jiang you	3
生姜泻心汤	sheng jiang xie xin tang	1
生存值	sheng cun zhi	2
生态群	sheng tai qun	13
生态遗传学	sheng tai yi chuan xue	11
生晒参	sheng shai shen	3
生橡胶	sheng xiang jiao	5
生殖免疫学	sheng zhi mian yi xue	1
生殖器疱疹	sheng zhi qi pao zhen	37
生殖行为	sheng zhi xing wei	23
生活事件	sheng huo shi jian	9
生活事件量表	sheng huo shi jian liang biao	2
生活力	sheng huo li	10
生物制药工艺学	sheng wu zhi yao gong yi xue	2
生物化学检验	sheng wu hua xue jian yan	3
生物医学模式	sheng wu yi xue mo shi	2
生物反馈	sheng wu fan kui	34
