# 微明领域词库：医学，由 glimmer-dict-convert lexicon 从 THUOCL 拆出，基础词库里没有的部分。词	音节	词频
主动脉瓣返流	zhu dong mai ban fan liu	2
主动脉硬化	zhu dong mai ying hua	1
主动脉窦	zhu dong mai dou	4
主动脉结	zhu dong mai jie	4
主动脉缩窄	zhu dong mai suo zhai	5
主动转运	zhu dong zhuan yun	11
主动运动	zhu dong yun dong	4
主基因	zhu ji yin	3
主管药师	zhu guan yao shi	4
主细胞	zhu xi bao	3
主要组织相容性复合体	zhu yao zu zhi xiang rong xing fu he ti	4
丽珠优可	li zhu you ke	2
丽珠得乐	li zhu de le	1
丽珠肠乐	li zhu chang le	1
丽达	li da	9
久强脑立清	jiu qiang nao li qing	3
久泄	jiu xie	4
义齿性口炎	yi chi xing kou yan	5
乌司他丁	wu si ta ding	3
乌头碱	wu tou jian	28
乌拉地尔	wu la di er	2
乌梅丸	wu mei wan	3
乌梢蛇	wu shao she	31
乌洛托品溶液	wu luo tuo pin rong ye	5
乌灵胶囊	wu ling jiao nang	6
乌灵菌粉	wu ling jun fen	2
乌苯美司	wu ben mei si	2
乌药	wu yao	18
乌蛇	wu she	4
乌蛇止痒丸	wu she zhi yang wan	3
乌贝颗粒	wu bei ke li	3
乌贼墨	wu zei mo	6
乌贼骨	wu zei gu	7
乌金口服液	wu jin kou fu ye	4
乌鸡增乳胶囊	wu ji zeng ru jiao nang	2
乌鸡白凤丸	wu ji bai feng wan	3
乌鸡白凤片	wu ji bai feng pian	2
乌鸡白凤颗粒	wu ji bai feng ke li	2
乌龙养血胶囊	wu long yang xue jiao nang	7
乐力	le li	8
乐力钙	le li gai	4
乐卡地平	le ka di ping	2
乐思哲	le si zhe	2
乔木层	qiao mu ceng	17
乙亚胺	yi ya an	10
乙双吗啉	yi shuang ma lin	4
乙型病毒性肝炎	yi xing bing du xing gan yan	2
乙型肝炎人免疫球蛋白	yi xing gan yan ren mian yi qiu dan bai	6
乙型肝炎免疫球蛋白	yi xing gan yan mian yi qiu dan bai	4
乙型肝炎疫苗	yi xing gan yan yi miao	24
乙型脑炎减毒活疫苗	yi xing nao yan jian du huo yi miao	7
乙型脑炎灭活疫苗	yi xing nao yan mie huo yi miao	6
乙型脑炎纯化疫苗	yi xing nao yan chun hua yi miao	4
乙基纤维素	yi ji xian wei su	17
乙氧苯柳胺	yi yang ben liu an	2
乙水杨胺片	yi shui yang an pian	2
