# 微明领域词库：IT 与计算机，由 glimmer-dict-convert lexicon 从 THUOCL 拆出，基础词库里没有的部分。词	音节	词频
暴力搜索	bao li sou suo	26
暴力枚举	bao li mei ju	13
暴力模拟	bao li mo ni	1
暴力求解法	bao li qiu jie fa	8
暴力法	bao li fa	16
暴力解法	bao li jie fa	1
暴力解题	bao li jie ti	6
暴搜	bao sou	11
曲线拟合	qu xian ni he	44
曲面分割	qu mian fen ge	2
曲面拟合	qu mian ni he	2
曲面拼接	qu mian pin jie	5
曲面模型	qu mian mo xing	22
曲面造型	qu mian zao xing	14
更改控制	geng gai kong zhi	4
更改硬件	geng gai ying jian	1
更改程序	geng gai cheng xu	4
更新传播	geng xin chuan bo	5
更新异常	geng xin yi chang	1
更新数据	geng xin shu ju	37
更新源	geng xin yuan	5
更新索引	geng xin suo yin	3
更新过程	geng xin guo cheng	35
曼哈顿距离	man ha dun ju li	39
替代密码	ti dai mi ma	6
替代选择	ti dai xuan ze	40
替换字符串	ti huan zi fu chuan	1
替换空格	ti huan kong ge	8
替换策略	ti huan ce lve	1
替换算法	ti huan suan fa	2
最优二叉树	zui you er cha shu	2
最优估计	zui you gu ji	8
最优化方法	zui you hua fang fa	5
最优化算法	zui you hua suan fa	32
最优匹配	zui you pi pei	2
最优归并树	zui you gui bing shu	9
最优性	zui you xing	25
最优矩阵链乘	zui you ju zhen lian cheng	7
最优算法	zui you suan fa	10
最优编码	zui you bian ma	1
最优路径	zui you lu jing	5
最佳优先搜索	zui jia you xian sou suo	8
最佳适配	zui jia shi pei	1
最佳适配法	zui jia shi pei fa	6
最值问题	zui zhi wen ti	2
最坏情况分析	zui huai qing kuang fen xi	7
最大乘积	zui da cheng ji	1
最大二分匹配	zui da er fen pi pei	8
最大值最小化	zui da zhi zui xiao hua	6
最大化平均值	zui da hua ping jun zhi	5
最大匹配	zui da pi pei	39
最大匹配数	zui da pi pei shu	11
最大团	zui da tuan	10
最大子列和	zui da zi lie he	8
最大子序列	zui da zi xu lie	11
最大子序列和	zui da zi xu lie he	10
最大子数组	zui da zi shu zu	10
最大子数组和	zui da zi shu zu he	9
最大子段和	zui da zi duan he	10
最大子矩形	zui da zi ju xing	7
最大子矩阵	zui da zi ju zhen	10
最大子矩阵和	zui da zi ju zhen he	8
最大字段和	zui da zi duan he	9
最大最小值	zui da zui xiao zhi	10
最大权闭合图	zui da quan bi he tu	9
最大流最小割	zui da liu zui xiao ge	26
最大熵	zui da shang	36
最大熵模型	zui da shang mo xing	3
最大独立集	zui da du li ji	29
最大生成树	zui da sheng cheng shu	2
最大连接数	zui da lian jie shu	2
最小割	zui xiao ge	42
最小割树	zui xiao ge shu	6
最小割模型	zui xiao ge mo xing	10
最小圆覆盖	zui xiao yuan fu gai	5
最小堆	zui xiao dui	28
最小宽度	zui xiao kuan du	16
最小支配集	zui xiao zhi pei ji	1
最小权匹配	zui xiao quan pi pei	9
最小树形图	zui xiao shu xing tu	2
最小点覆盖	zui xiao dian fu gai	2
最小特权	zui xiao te quan	5
最小特权原则	zui xiao te quan yuan ze	2
最小环	zui xiao huan	3
最小编辑距离	zui xiao bian ji ju li	1
最小范围	zui xiao fan wei	16
最小表示法	zui xiao biao shi fa	10
最小费用流	zui xiao fei yong liu	10
最小路径	zui xiao lu jing	11
最小路径覆盖	zui xiao lu jing fu gai	11
最小顶点覆盖	zui xiao ding dian fu gai	13
最少拦截系统	zui shao lan jie xi tong	9
最短路径算法	zui duan lu jing suan fa	7
最短路算法	zui duan lu suan fa	2
最近使用	zui jin shi yong	13
最近公共祖先	zui jin gong gong zu xian	17
最近点对	zui jin dian dui	10
最速下降法	zui su xia jiang fa	19
最长公共前缀	zui chang gong gong qian zhui	11
最长公共子串	zui chang gong gong zi chuan	6
最长反链	zui chang fan lian	7
最长回文	zui chang hui wen	1
最长回文串	zui chang hui wen chuan	1
最长回文子串	zui chang hui wen zi chuan	8
最长回文字串	zui chang hui wen zi chuan	8
最长子串	zui chang zi chuan	11
最长子序列	zui chang zi xu lie	1
最长路	zui chang lu	1
最长重复子串	zui chang chong fu zi chuan	9
最长链	zui chang lian	3
最高优先数	zui gao you xian shu	5
最高优先级	zui gao you xian ji	34
有参函数	you can han shu	9
有名管道	you ming guan dao	11
有向弧	you xiang hu	4
有向非循环图	you xiang fei xun huan tu	1
有序广播	you xu guang bo	12
有序性	you xu xing	33
有序搜索	you xu sou suo	5
有序数组	you xu shu zu	14
有序映射	you xu ying she	9
有序表	you xu biao	12
有序链表	you xu lian biao	1
有序集合	you xu ji he	27
有效字	you xiao zi	8
有效字符	you xiao zi fu	7
有效性检查	you xiao xing jian cha	2
有效时间	you xiao shi jian	13
有效状态	you xiao zhuang tai	6
有效节点	you xiao jie dian	1
有效请求	you xiao qing qiu	9
有效输入	you xiao shu ru	12
有效过程	you xiao guo cheng	1
有效项	you xiao xiang	1
有监督学习	you jian du xue xi	10
有穷自动机	you qiong zi dong ji	1
有符号数	you fu hao shu	37
有道	you dao	12
有道桌面词典	you dao zhuo mian ci dian	1
有道翻译	you dao fan yi	36
有限元分析	you xian yuan fen xi	46
有限点集	you xian dian ji	9
有限目标	you xian mu biao	9
有限自动机	you xian zi dong ji	34
服务例程	fu wu li cheng	1
服务列表	fu wu lie biao	12
服务化	fu wu hua	12
服务原语	fu wu yuan yu	8
服务发现	fu wu fa xian	11
服务号	fu wu hao	11
服务器交互	fu wu qi jiao hu	6
服务器优化	fu wu qi you hua	1
服务器备份	fu wu qi bei fen	2
服务器存储	fu wu qi cun chu	7
服务器安全	fu wu qi an quan	6
服务器应用	fu wu qi ying yong	16
服务器开发	fu wu qi kai fa	8
服务器性能	fu wu qi xing neng	5
服务器控件	fu wu qi kong jian	3
服务器搭建	fu wu qi da jian	11
服务器架构	fu wu qi jia gou	21
服务器架设	fu wu qi jia she	11
服务器模型	fu wu qi mo xing	8
服务器测试	fu wu qi ce shi	5
服务器环境	fu wu qi huan jing	4
服务器监控	fu wu qi jian kong	8
服务器端编程	fu wu qi duan bian cheng	11
服务器管理	fu wu qi guan li	11
服务器类	fu wu qi lei	10
服务器维护	fu wu qi wei hu	13
服务器编程	fu wu qi bian cheng	10
服务器网站	fu wu qi wang zhan	8
服务器设置	fu wu qi she zhi	5
服务器设计	fu wu qi she ji	3
服务器运维	fu wu qi yun wei	8
服务器部署	fu wu qi bu shu	11
服务器配置	fu wu qi pei zhi	14
服务器问题	fu wu qi wen ti	21
服务器集群	fu wu qi ji qun	18
服务性程序	fu wu xing cheng xu	5
服务接入点	fu wu jie ru dian	5
服务描述语言	fu wu miao shu yu yan	8
服务数据单元	fu wu shu ju dan yuan	4
服务框架	fu wu kuang jia	38
服务治理	fu wu zhi li	1
服务程序	fu wu cheng xu	20
服务窗	fu wu chuang	2
服务端开发	fu wu duan kai fa	1
服务端架构	fu wu duan jia gou	1
服务端编程	fu wu duan bian cheng	10
服务访问点	fu wu fang wen dian	2
服务调用	fu wu diao yong	7
服务进程	fu wu jin cheng	10
服务部署	fu wu bu shu	6
服务队列	fu wu dui lie	9
服务集群	fu wu ji qun	1
朗伯模型	lang bo mo xing	5
期刊会议	qi kan hui yi	8
期间失败	qi jian shi bai	10
木马克星	mu ma ke xing	5
未分类	wei fen lei	9
未响应	wei xiang ying	16
未归类	wei gui lei	33
未整理	wei zheng li	17
未来网络	wei lai wang luo	21
未登录词	wei deng lu ci	9
本地代码	ben di dai ma	21
本地图片	ben di tu pian	3
本地地址	ben di di zhi	35
本地存储	ben di cun chu	29
本地存放地址	ben di cun fang di zhi	5
本地广播	ben di guang bo	13
本地库	ben di ku	8
本地应用	ben di ying yong	11
本地开发	ben di kai fa	6
本地持久化	ben di chi jiu hua	10
本地接口	ben di jie kou	15
本地推送	ben di tui song	10
本地文件	ben di wen jian	40
本地方法	ben di fang fa	7
本地服务	ben di fu wu	35
本地源	ben di yuan	10
本地终端	ben di zhong duan	4
本地缓存	ben di huan cun	11
本地连接	ben di lian jie	7
本地通知	ben di tong zhi	1
本机代码	ben ji dai ma	24
本科毕业设计	ben ke bi ye she ji	3
本类对象	ben lei dui xiang	12
术语翻译	shu yu fan yi	6
朱刘算法	zhu liu suan fa	8
朴素贝叶斯	pu su bei ye si	4
机器人仿真	ji qi ren fang zhen	1
机器人开发	ji qi ren kai fa	16
机器人视觉	ji qi ren shi jue	4
机器发现	ji qi fa xian	6
机器周期	ji qi zhou qi	8
机器学习基石	ji qi xue xi ji shi	2
机器学习技法	ji qi xue xi ji fa	1
机器学习理论	ji qi xue xi li lun	5
机器学习算法	ji qi xue xi suan fa	38
机器指令	ji qi zhi ling	47
机器智能	ji qi zhi neng	36
机器视觉算法	ji qi shi jue suan fa	1
机器词典	ji qi ci dian	7
机器运行	ji qi yun xing	11
机型适配	ji xing shi pei	2
机房收费	ji fang shou fei	9
机房收费系统	ji fang shou fei xi tong	12
机房管理	ji fang guan li	3
机房维护	ji fang wei hu	5
机房重构	ji fang zhong gou	11
机架感知	ji jia gan zhi	9
杀死进程	sha si jin cheng	10
杀毒引擎	sha du yin qing	6
杀软厂商	sha ruan chang shang	5
杀进程	sha jin cheng	2
权值矩阵	quan zhi ju zhen	8
权值线段树	quan zhi xian duan shu	9
权函数	quan han shu	14
权威指南	quan wei zhi nan	10
权限修饰符	quan xian xiu shi fu	11
权限分配	quan xian fen pei	4
权限对象	quan xian dui xiang	8
权限控制	quan xian kong zhi	14
权限框架	quan xian kuang jia	1
权限管理	quan xian guan li	47
权限类	quan xian lei	9
权限系统	quan xian xi tong	2
权限设置	quan xian she zhi	20
权限设计	quan xian she ji	10
权限问题	quan xian wen ti	13
李笑来	li xiao lai	23
材料设计	cai liao she ji	9
条件冲突	tiao jian chong tu	6
条件判断	tiao jian pan duan	39
条件同步	tiao jian tong bu	1
条件式	tiao jian shi	9
条件控制结构	tiao jian kong zhi jie gou	5
条件断点	tiao jian duan dian	4
条件查询	tiao jian cha xun	1
条件编译	tiao jian bian yi	11
条件覆盖	tiao jian fu gai	5
条件语句	tiao jian yu ju	44
条件运算符	tiao jian yun suan fu	30
条件逻辑	tiao jian luo ji	2
条件随机场	tiao jian sui ji chang	14
条码扫描器	tiao ma sao miao qi	16
条码阅读器	tiao ma yue du qi	4
杨氏矩阵	yang shi ju zhen	10
杨辉三角	yang hui san jiao	15
杨辉三角形	yang hui san jiao xing	29
松弛法	song chi fa	2
松弛算法	song chi suan fa	6
松散耦合系统	song san ou he xi tong	5
松耦合	song ou he	46
极光推送	ji guang tui song	11
极大似然	ji da si ran	1
极大似然估计	ji da si ran gu ji	11
极客学院	ji ke xue yuan	1
极点配置	ji dian pei zhi	1
极角排序	ji jiao pai xu	10
极路由	ji lu you	22
极速浏览器	ji su liu lan qi	21
构件图	gou jian tu	3
构件块	gou jian kuai	3
构件对象	gou jian dui xiang	10
构件库	gou jian ku	8
构件编程	gou jian bian cheng	6
构建工具	gou jian gong ju	29
构架设计	gou jia she ji	2
构造代码块	gou zao dai ma kuai	12
构造几何	gou zao ji he	6
构造型	gou zao xing	10
构造性证明	gou zao xing zheng ming	46
构造泛型类型	gou zao fan xing lei xing	5
构造程序	gou zao cheng xu	2
构造算法	gou zao suan fa	3
构造类型	gou zao lei xing	15
析取范式	xi qu fan shi	11
枚举变量	mei ju bian liang	4
枚举暴力	mei ju bao li	6
枚举法	mei ju fa	9
枚举类	mei ju lei	1
枚举进程	mei ju jin cheng	8
架构分析	jia gou fen xi	13
架构探索	jia gou tan suo	1
架构文档	jia gou wen dang	1
架构方面	jia gou fang mian	15
架构模块	jia gou mo kuai	7
架构模式	jia gou mo shi	29
架构知识	jia gou zhi shi	1
架构类	jia gou lei	9
染色问题	ran se wen ti	19
柔性数组	rou xing shu zu	3
查分约束	cha fen yue shu	7
查找二叉树	cha zhao er cha shu	1
查找字符	cha zhao zi fu	1
查找文件	cha zhao wen jian	7
查找时间	cha zhao shi jian	8
查找替换	cha zhao ti huan	2
查找算法	cha zhao suan fa	9
查找记录	cha zhao ji lu	10
查漏补缺	cha lou bu que	35
查看源代码	cha kan yuan dai ma	7
查看源码	cha kan yuan ma	13
查表法	cha biao fa	6
查询优化	cha xun you hua	6
查询关键字	cha xun guan jian zi	2
查询分析器	cha xun fen xi qi	1
查询变量	cha xun bian liang	9
查询子句	cha xun zi ju	9
查询接口	cha xun jie kou	3
查询模式	cha xun mo shi	4
查询缓存	cha xun huan cun	13
查询表达式	cha xun biao da shi	18
查询语句	cha xun yu ju	8
柱状图	zhu zhuang tu	23
柱面坐标	zhu mian zuo biao	13
栅格数据	shan ge shu ju	18
栅格系统	shan ge xi tong	6
标准中断	biao zhun zhong duan	6
标准单元	biao zhun dan yuan	18
标准处理方式	biao zhun chu li fang shi	5
标准对象	biao zhun dui xiang	3
标准工具栏	biao zhun gong ju lan	1
标准库函数	biao zhun ku han shu	13
标准程序库	biao zhun cheng xu ku	12
标准语言	biao zhun yu yan	10
标准输入文件	biao zhun shu ru wen jian	9
标准输入流	biao zhun shu ru liu	7
标准输出文件	biao zhun shu chu wen jian	9
标准输出流	biao zhun shu chu liu	3
标准错误流	biao zhun cuo wu liu	1
标志序列	biao zhi xu lie	6
标志符号	biao zhi fu hao	12
标签云	biao qian yun	28
标签分组	biao qian fen zu	1
标签名	biao qian ming	8
标签宽度	biao qian kuan du	8
标签属性	biao qian shu xing	6
标签库	biao qian ku	29
标签栏	biao qian lan	3
标签样式	biao qian yang shi	10
标签跳转	biao qian tiao zhuan	7
标签集	biao qian ji	4
标绘	biao hui	42
标记变量	biao ji bian liang	1
标记类型	biao ji lei xing	4
标识变量	biao zhi bian liang	10
标识鉴别	biao zhi jian bie	7
标量处理器	biao liang chu li qi	20
标题按钮	biao ti an niu	8
标题栏	biao ti lan	38
栈与队列	zhan yu dui lie	9
栈元素	zhan yuan su	2
栈内存	zhan nei cun	4
栈内容	zhan nei rong	3
栈单元	zhan dan yuan	7
栈和队列	zhan he dui lie	2
栈地址	zhan di zhi	1
栈容量	zhan rong liang	9
栈展开	zhan zhan kai	10
栈指针	zhan zhi zhen	17
栈控制	zhan kong zhi	5
栈机制	zhan ji zhi	7
栈溢出	zhan yi chu	6
栈算法	zhan suan fa	4
树上倍增	shu shang bei zeng	8
树上最长链	shu shang zui chang lian	6
树上莫队	shu shang mo dui	8
树分块	shu fen kuai	7
树分治	shu fen zhi	9
树剖	shu pou	10
树型动态规划	shu xing dong tai gui hua	9
树套树	shu tao shu	10
树形动态规划	shu xing dong tai gui hua	8
树形动规	shu xing dong gui	6
树形控件	shu xing kong jian	10
树形数组	shu xing shu zu	5
树形结构	shu xing jie gou	26
树形背包	shu xing bei bao	8
树形菜单	shu xing cai dan	2
树状数组	shu zhuang shu zu	10
树网	shu wang	7
树遍历	shu bian li	3
树链刨分	shu lian pao fen	6
树链剖分	shu lian pou fen	12
校正信号	jiao zheng xin hao	3
校验器	jiao yan qi	1
校验状态	jiao yan zhuang tai	7
样式属性	yang shi shu xing	4
样本分布	yang ben fen bu	6
样本区间	yang ben qu jian	6
样本协方差	yang ben xie fang cha	2
样本矩	yang ben ju	6
样本集	yang ben ji	17
样条拟合	yang tiao ni he	6
样条曲线	yang tiao qu xian	24
样条曲面	yang tiao qu mian	2
核密度估计	he mi du gu ji	16
核心动画	he xin dong hua	7
核心板	he xin ban	2
核心系统	he xin xi tong	12
核心编程	he xin bian cheng	2
核心语法	he xin yu fa	8
根文件夹	gen wen jian jia	3
根文件系统	gen wen jian xi tong	14
根轨迹	gen gui ji	48
格式化字符串	ge shi hua zi fu chuan	12
格式化数据	ge shi hua shu ju	2
格式化日期	ge shi hua ri qi	10
格式化时间	ge shi hua shi jian	10
格式化输出	ge shi hua shu chu	9
格式控制	ge shi kong zhi	9
格式结构	ge shi jie gou	7
格式输出	ge shi shu chu	22
框架使用	kuang jia shi yong	22
框架应用	kuang jia ying yong	6
框架开发	kuang jia kai fa	19
框架推荐	kuang jia tui jian	7
框架搭建	kuang jia da jian	2
框架整合	kuang jia zheng he	1
框架模式	kuang jia mo shi	1
框架理解	kuang jia li jie	1
框架理论	kuang jia li lun	7
框架研究	kuang jia yan jiu	7
框架解析	kuang jia jie xi	8
框架讲解	kuang jia jiang jie	5
框架设计	kuang jia she ji	12
框架语法	kuang jia yu fa	5
桌面图标	zhuo mian tu biao	46
桌面处理器	zhuo mian chu li qi	30
桌面快捷方式	zhuo mian kuai jie fang shi	1
桌面操作系统	zhuo mian cao zuo xi tong	48
桌面检查	zhuo mian jian cha	7
桌面虚拟化	zhuo mian xu ni hua	7
桌面计算机	zhuo mian ji suan ji	34
桥接模式	qiao jie mo shi	7
桥梁模式	qiao liang mo shi	11
桶形失真	tong xing shi zhen	1
桶排序	tong pai xu	26
梯度下降	ti du xia jiang	37
梯度下降算法	ti du xia jiang suan fa	5
梳排序	shu pai xu	15
检查更新	jian cha geng xin	34
检查程序	jian cha cheng xu	42
检查链接	jian cha lian jie	2
检索技术	jian suo ji shu	8
检索机制	jian suo ji zhi	2
检索树	jian suo shu	10
检索空间	jian suo kong jian	1
检错	jian cuo	15
检错码	jian cuo ma	1
检验位	jian yan wei	4
检验器	jian yan qi	5
检验序列	jian yan xu lie	6
检验步骤	jian yan bu zhou	7
检验码	jian yan ma	3
检验程序	jian yan cheng xu	19
检验计算	jian yan ji suan	2
棋牌游戏	qi pai you xi	30
棋盘覆盖	qi pan fu gai	9
棋盘问题	qi pan wen ti	10
概念依赖	gai nian yi lai	5
概念分析	gai nian fen xi	25
概念分类	gai nian fen lei	6
概念数据模型	gai nian shu ju mo xing	3
概念术语	gai nian shu yu	5
概念模式	gai nian mo shi	18
概念理解	gai nian li jie	17
概率传播	gai lv chuan bo	5
概率函数	gai lv han shu	10
概率分析	gai lv fen xi	5
概率图模型	gai lv tu mo xing	17
概率推理	gai lv tui li	6
概率期望	gai lv qi wang	1
概率测试	gai lv ce shi	4
概率算法	gai lv suan fa	4
概率系统	gai lv xi tong	1
概率题	gai lv ti	11
概要设计	gai yao she ji	2
槽号	cao hao	7
模冗余	mo rong yu	5
模块分解	mo kuai fen jie	1
模块加载	mo kuai jia zai	3
模块化开发	mo kuai hua kai fa	2
模块化方法	mo kuai hua fang fa	1
模块化编程	mo kuai hua bian cheng	26
模块外	mo kuai wai	3
模块安装	mo kuai an zhuang	3
模块开发	mo kuai kai fa	3
模块性	mo kuai xing	43
模块测试	mo kuai ce shi	5
模块问题	mo kuai wen ti	7
模块驱动	mo kuai qu dong	9
模型变换	mo xing bian huan	14
模型库	mo xing ku	10
模型生成器	mo xing sheng cheng qi	6
模型简化	mo xing jian hua	2
模型表示	mo xing biao shi	10
模型视图	mo xing shi tu	1
模型识别	mo xing shi bie	9
模型选择	mo xing xuan ze	26
模型驱动方法	mo xing qu dong fang fa	1
模式分析	mo shi fen xi	18
模式分类	mo shi fen lei	8
模式描述	mo shi miao shu	23
模式搜索	mo shi sou suo	8
模式概念	mo shi gai nian	4
模式设计	mo shi she ji	11
模式识别算法	mo shi shi bie suan fa	1
模态框	mo tai kuang	1
模态窗口	mo tai chuang kou	1
模态视图	mo tai shi tu	10
模拟按键	mo ni an jian	3
模拟点击	mo ni dian ji	10
模拟电子	mo ni dian zi	42
模拟电子技术	mo ni dian zi ji shu	12
模拟登录	mo ni deng lu	11
模拟登陆	mo ni deng lu	4
模拟程序	mo ni cheng xu	32
模拟视频	mo ni shi pin	23
模拟语言	mo ni yu yan	2
模拟输入	mo ni shu ru	6
模拟输出	mo ni shu chu	6
模拟过程	mo ni guo cheng	25
模拟退火	mo ni tui huo	31
模拟退火算法	mo ni tui huo suan fa	12
模拟键盘	mo ni jian pan	2
模拟鼠标	mo ni shu biao	2
模数转换	mo shu zhuan huan	12
模数转换器	mo shu zhuan huan qi	11
模板元	mo ban yuan	8
模板元编程	mo ban yuan bian cheng	9
模板函数	mo ban han shu	34
模板化控件	mo ban hua kong jian	5
模板匹配	mo ban pi pei	12
模板库	mo ban ku	7
模板引擎	mo ban yin qing	40
模板技术	mo ban ji shu	7
模板整理	mo ban zheng li	4
模板方法	mo ban fang fa	8
模板方法模式	mo ban fang fa mo shi	2
模板模式	mo ban mo shi	4
模板消息	mo ban xiao xi	8
模板算法	mo ban suan fa	1
模板类	mo ban lei	42
模板编程	mo ban bian cheng	4
模板节点	mo ban jie dian	6
模板集	mo ban ji	6
模板题	mo ban ti	13
模版引擎	mo ban yin qing	2
模版方法	mo ban fang fa	10
模版方法模式	mo ban fang fa mo shi	10
模版类	mo ban lei	3
模线性方程组	mo xian xing fang cheng zu	9
模运算	mo yun suan	33
横向扫描	heng xiang sao miao	1
横向滑动	heng xiang hua dong	5
横屏竖屏	heng ping shu ping	10
次密钥	ci mi yue	1
次小生成树	ci xiao sheng cheng shu	11
次短路	ci duan lu	9
欢乐动漫	huan le dong man	5
欢迎界面	huan ying jie mian	9
欧几里得算法	ou ji li de suan fa	48
欧几里德算法	ou ji li de suan fa	5
欧拉回路	ou la hui lu	15
欧拉路径	ou la lu jing	22
欧拉通路	ou la tong lu	9
欧拉道路	ou la dao lu	8
欧氏距离	ou shi ju li	42
正交小波变换	zheng jiao xiao bo bian huan	5
正例	zheng li	15
正则匹配	zheng ze pi pei	1
正则序	zheng ze xu	3
正则形式	zheng ze xing shi	26
正则表达	zheng ze biao da	1
正则集	zheng ze ji	2
正向代理	zheng xiang dai li	3
正向传值	zheng xiang chuan zhi	6
正向推理	zheng xiang tui li	3
正常响应	zheng chang xiang ying	3
正式测试	zheng shi ce shi	8
正文编辑	zheng wen bian ji	5
正文编辑器	zheng wen bian ji qi	4
正易	zheng yi	5
正片叠加	zheng pian die jia	5
正版验证	zheng ban yan zheng	11
正益移动	zheng yi yi dong	6
正确性证明	zheng que xing zheng ming	11
正规文法	zheng gui wen fa	11
正规方程	zheng gui fang cheng	3
正闭包	zheng bi bao	6
正难则反	zheng nan ze fan	9
步进控制	bu jin kong zhi	5
步进电机	bu jin dian ji	47
歧义消解	qi yi xiao jie	7
死循环	si xun huan	46
死锁恢复	si suo hui fu	8
死锁检测	si suo jian ce	3
死锁消除	si suo xiao chu	5
死锁避免	si suo bi mian	9
死锁预防	si suo yu fang	8
残留数据	can liu shu ju	2
段地址	duan di zhi	17
段提交协议	duan ti jiao xie yi	8
段映射	duan ying she	4
段表地址	duan biao di zhi	6
段覆盖	duan fu gai	10
段锁	duan suo	2
母版页	mu ban ye	4
每日算法	mei ri suan fa	6
比例变换	bi li bian huan	2
比例带	bi li dai	5
比例控制	bi li kong zhi	47
比特币开发	bi te bi kai fa	1
比特精灵	bi te jing ling	6
比较器	bi jiao qi	13
比较运算符	bi jiao yun suan fu	20
毛玻璃效果	mao bo li xiao guo	3
毫秒级	hao miao ji	20
水平分片	shui ping fen pian	8
水平垂直居中	shui ping chui zhi ju zhong	10
水平集	shui ping ji	8
水晶报表	shui jing bao biao	1
永久故障	yong jiu gu zhang	1
永久虚电路	yong jiu xu dian lu	6
求余	qiu yu	15
求次方	qiu ci fang	6
求素数	qiu su shu	2
求职准备	qiu zhi zhun bei	6
求自然对数	qiu zi ran dui shu	6
求解策略	qiu jie ce lve	7
求逆序数	qiu ni xu shu	11
汇编指令	hui bian zhi ling	15
汇编程序	hui bian cheng xu	36
汇编编程	hui bian bian cheng	9
汉字交换码	han zi jiao huan ma	5
汉字代码	han zi dai ma	1
汉字信息处理	han zi xin xi chu li	18
汉字内码	han zi nei ma	3
汉字区位码	han zi qu wei ma	7
汉字识别	han zi shi bie	6
汉字输入	han zi shu ru	29
汉字输入码	han zi shu ru ma	5
汉字输出	han zi shu chu	3
汉字集	han zi ji	12
汉明码	han ming ma	40
汉语分析	han yu fen xi	1
汉语自动分词	han yu zi dong fen ci	1
汉语语音识别	han yu yu yin shi bie	5
池化	chi hua	22
沉浸式状态栏	chen jin shi zhuang tai lan	1
沙盒机制	sha he ji zhi	3
沙盒路径	sha he lu jing	10
泛化关系	fan hua guan xi	11
泛型接口	fan xing jie kou	9
泛型方法	fan xing fang fa	11
泛型算法	fan xing suan fa	2
泛型类	fan xing lei	38
泛型类型	fan xing lei xing	21
泛型类型参数	fan xing lei xing can shu	21
泛型类型变量	fan xing lei xing bian liang	1
泛型类型定义	fan xing lei xing ding yi	6
泛型编程	fan xing bian cheng	33
泛微	fan wei	3
泛洪	fan hong	18
泡网	pao wang	33
波峰焊	bo feng han	2
注册登录	zhu ce deng lu	12
注册码	zhu ce ma	14
注册过程	zhu ce guo cheng	10
注意力聚焦	zhu yi li ju jiao	5
注解开发	zhu jie kai fa	9
注解方式	zhu jie fang shi	4
注解配置	zhu jie pei zhi	12
注释模板	zhu shi mu ban	10
注释转换	zhu shi zhuan huan	6
泰森多边形	tai sen duo bian xing	7
洗牌算法	xi pai suan fa	9
活动分区	huo dong fen qu	19
活动图	huo dong tu	12
活动文件	huo dong wen jian	9
活动模板库	huo dong mu ban ku	2
活动状态	huo dong zhuang tai	14
活动目录	huo dong mu lu	33
活动进程	huo dong jin cheng	10
活动页	huo dong ye	2
活动驱动器	huo dong qu dong qi	4
流依赖	liu yi lai	4
流媒体协议	liu mei ti xie yi	5
流媒体开发	liu mei ti kai fa	1
流媒体服务器	liu mei ti fu wu qi	9
流媒体直播	liu mei ti zhi bo	20
流布局	liu bu ju	9
流式布局	liu shi bu ju	1
流式计算	liu shi ji suan	11
流操作	liu cao zuo	5
流方式	liu fang shi	10
流水线停顿	liu shui xian ting dun	10
流水线处理	liu shui xian chu li	5
流水线控制	liu shui xian kong zhi	5
流水线效率	liu shui xian xiao lv	6
流程引擎	liu cheng yin qing	11
流程控制语句	liu cheng kong zhi yu ju	2
流程模型	liu cheng mo xing	4
流程管理	liu cheng guan li	47
流程管理系统	liu cheng guan li xi tong	4
流程管理软件	liu cheng guan li ruan jian	1
流计算	liu ji suan	10
流量监控	liu liang jian kong	30
流量管理	liu liang guan li	15
流量统计	liu liang tong ji	45
浅克隆	qian ke long	10
浅复制	qian fu zhi	12
浅拷贝	qian kao bei	1
测试之道	ce shi zhi dao	7
测试例程	ce shi li cheng	8
测试台	ce shi tai	6
测试命令	ce shi ming ling	11
测试响应	ce shi xiang ying	7
测试工程师	ce shi gong cheng shi	43
测试开发	ce shi kai fa	11
测试思想	ce shi si xiang	8
测试技巧	ce shi ji qiao	1
测试探针	ce shi tan zhen	3
测试提示	ce shi ti shi	6
测试文本	ce shi wen ben	2
测试日志	ce shi ri zhi	1
测试有效性	ce shi you xiao xing	2
测试杂志	ce shi za zhi	1
测试板	ce shi ban	5
测试框架	ce shi kuang jia	20
测试流程	ce shi liu cheng	21
测试环境	ce shi huan jing	42
测试理论	ce shi li lun	11
测试生成	ce shi sheng cheng	2
测试策略	ce shi ce lve	3
测试管理	ce shi guan li	12
测试管理工具	ce shi guan li gong ju	9
测试类	ce shi lei	25
测试经验	ce shi jing yan	8
测试综合	ce shi zong he	2
测试背景	ce shi bei jing	1
测试脚本	ce shi jiao ben	23
测试自动化	ce shi zi dong hua	37
测试覆盖	ce shi fu gai	2
测试规约	ce shi gui yue	5
测试设计	ce shi she ji	12
测试评审	ce shi ping shen	2
测试语言	ce shi yu yan	4
测试资源	ce shi zi yuan	2
测试运维	ce shi yun wei	5
测试运行	ce shi yun xing	45
测试顺序	ce shi shun xu	8
测试驱动器	ce shi qu dong qi	1
测试驱动开发	ce shi qu dong kai fa	46
测试驱动程序	ce shi qu dong cheng xu	10
测量范围	ce liang fan wei	42
浏览器兼容	liu lan qi jian rong	12
浏览器兼容性	liu lan qi jian rong xing	14
浏览器内核	liu lan qi nei he	8
浏览器服务器	liu lan qi fu wu qi	9
浏览器版本	liu lan qi ban ben	20
浏览器缓存	liu lan qi huan cun	14
浏览器脚本	liu lan qi jiao ben	1
浏览器项目	liu lan qi xiang mu	4
浮动块	fu dong kuai	9
