# 微明领域词库：IT 与计算机，由 glimmer-dict-convert lexicon 从 THUOCL 拆出，基础词库里没有的部分。词	音节	词频
主控台	zhu kong tai	48
主数据	zhu shu ju	12
主文件	zhu wen jian	18
主方法	zhu fang fa	13
主时钟	zhu shi zhong	5
主机密钥	zhu ji mi yue	1
主机操作系统	zhu ji cao zuo xi tong	19
主段	zhu duan	4
主流处理器	zhu liu chu li qi	5
主流框架	zhu liu kuang jia	11
主目录	zhu mu lu	21
主线程	zhu xian cheng	16
主语言	zhu yu yan	8
主键生成策略	zhu jian sheng cheng ce lve	11
主键策略	zhu jian ce lve	8
主题切换	zhu ti qie huan	1
主题模型	zhu ti mo xing	16
乐器数字接口	yue qi shu zi jie kou	1
乐观锁	le guan suo	4
乒乓模式	ping pang mo shi	5
乘商寄存器	cheng shang ji cun qi	5
乘方运算	cheng fang yun suan	8
乘法口诀表	cheng fa kou jue biao	4
乘法逆元	cheng fa ni yuan	34
乘积最大	cheng ji zui da	11
九九乘法表	jiu jiu cheng fa biao	27
九大内置对象	jiu da nei zhi dui xiang	9
九章算法	jiu zhang suan fa	18
书店系统	shu dian xi tong	5
书籍推荐	shu ji tui jian	12
乱码解决	luan ma jie jue	10
乱码问题	luan ma wen ti	9
争用	zheng yong	21
争用条件	zheng yong tiao jian	8
事件代理	shi jian dai li	1
事件传递	shi jian chuan di	5
事件传递机制	shi jian chuan di ji zhi	10
事件冒泡	shi jian mao pao	12
事件冲突	shi jian chong tu	5
事件分发	shi jian fen fa	13
事件分发机制	shi jian fen fa ji zhi	11
事件响应	shi jian xiang ying	25
事件处理机制	shi jian chu li ji zhi	4
事件委托	shi jian wei tuo	1
事件对象	shi jian dui xiang	22
事件引擎	shi jian yin qing	7
事件循环	shi jian xun huan	31
事件总线	shi jian zong xian	2
事件拦截	shi jian lan jie	11
事件捕获	shi jian bu huo	11
事件控制	shi jian kong zhi	10
事件控制块	shi jian kong zhi kuai	7
事件方式	shi jian fang shi	9
事件机制	shi jian ji zhi	4
事件查询	shi jian cha xun	4
事件模型	shi jian mo xing	11
事件流	shi jian liu	8
事件源	shi jian yuan	9
事件监听	shi jian jian ting	2
事件监听器	shi jian jian ting qi	3
事件系统	shi jian xi tong	10
事件绑定	shi jian bang ding	3
事件表	shi jian biao	11
事件转移	shi jian zhuan yi	6
事件过滤器	shi jian guo lv qi	1
事件队列	shi jian dui lie	4
事件驱动程序	shi jian qu dong cheng xu	3
事件驱动语言	shi jian qu dong yu yan	5
事务分析	shi wu fen xi	6
事务回滚	shi wu hui gun	2
事务处理系统	shi wu chu li xi tong	16
事务控制	shi wu kong zhi	11
事务故障	shi wu gu zhang	7
事务时间	shi wu shi jian	44
事务死锁	shi wu si suo	8
事务调度	shi wu diao du	1
事务隔离	shi wu ge li	9
事务隔离级别	shi wu ge li ji bie	1
事务驱动	shi wu qu dong	6
事实库	shi shi ku	5
事实标准	shi shi biao zhun	49
事物管理	shi wu guan li	7
二义性	er yi xing	22
二值化	er zhi hua	22
二值图像	er zhi tu xiang	26
二元语法	er yuan yu fa	6
二分三分	er fen san fen	5
二分判断	er fen pan duan	8
二分匹配	er fen pi pei	11
二分图判定	er fen tu pan ding	7
二分图匹配	er fen tu pi pei	4
二分图染色	er fen tu ran se	8
二分思想	er fen si xiang	9
二分插入	er fen cha ru	8
二分插入排序	er fen cha ru pai xu	10
二分搜索	er fen sou suo	21
二分查找	er fen cha zhao	15
二分查找法	er fen cha zhao fa	12
二分查找算法	er fen cha zhao suan fa	11
二分求幂	er fen qiu mi	7
二分法查找	er fen fa cha zhao	11
二分猜答案	er fen cai da an	6
二分答案	er fen da an	12
二分类	er fen lei	12
二叉堆	er cha dui	34
二叉平衡树	er cha ping heng shu	10
二叉排序树	er cha pai xu shu	4
二叉搜索树	er cha sou suo shu	43
二叉树各种	er cha shu ge zhong	7
二叉树深度	er cha shu shen du	9
二叉树的遍历	er cha shu de bian li	1
二叉树遍历	er cha shu bian li	11
二叉索引树	er cha suo yin shu	7
二叉链表	er cha lian biao	18
二层交换	er ceng jiao huan	8
二次开发	er ci kai fa	47
二次排序	er ci pai xu	1
二次曲面	er ci qu mian	46
二次规划	er ci gui hua	44
二次采样	er ci cai yang	9
二级指针	er ji zhi zhen	12
二级索引	er ji suo yin	2
二级联动	er ji lian dong	9
二级菜单	er ji cai dan	1
二级高速缓存	er ji gao su huan cun	5
二维几何	er wei ji he	17
二维数组	er wei shu zu	24
二维树状数组	er wei shu zhuang shu zu	10
二维码扫描	er wei ma sao miao	27
二维码生成	er wei ma sheng cheng	10
二维码签到	er wei ma qian dao	5
二维线段树	er wei xian duan shu	10
二维背包	er wei bei bao	8
二路归并	er lu gui bing	1
二进制优化	er jin zhi you hua	2
二进制单元	er jin zhi dan yuan	5
二进制大对象	er jin zhi da dui xiang	3
二进制字符	er jin zhi zi fu	12
二进制数字	er jin zhi shu zi	48
二进制日志	er jin zhi ri zhi	12
二进制枚举	er jin zhi mei ju	9
二进制流	er jin zhi liu	3
二进制运算	er jin zhi yun suan	4
二重指针	er chong zhi zhen	9
云主机	yun zhu ji	4
云告警	yun gao jing	7
云备份	yun bei fen	21
云安全	yun an quan	9
云托管	yun tuo guan	4
云技术	yun ji shu	10
云操作系统	yun cao zuo xi tong	4
云数据库	yun shu ju ku	2
云栖社区	yun qi she qu	8
云测试	yun ce shi	2
云环境	yun huan jing	11
云监控	yun jian kong	3
云管理平台	yun guan li ping tai	1
云视频	yun shi pin	11
云计算大数据	yun ji suan da shu ju	2
云计算平台	yun ji suan ping tai	24
云计算应用	yun ji suan ying yong	7
云计算开发	yun ji suan kai fa	8
云课堂	yun ke tang	5
云音乐	yun yin yue	10
互操作程序集	hu cao zuo cheng xu ji	6
互斥对象	hu chi dui xiang	11
互斥量	hu chi liang	2
互联网产品	hu lian wang chan pin	19
互联网创业	hu lian wang chuang ye	18
互联网广告	hu lian wang guang gao	34
互联网应用	hu lian wang ying yong	49
互联网开发	hu lian wang kai fa	10
互联网教育	hu lian wang jiao yu	11
互联网架构	hu lian wang jia gou	14
互联网科技	hu lian wang ke ji	23
互联网编程	hu lian wang bian cheng	1
互联网营销	hu lian wang ying xiao	20
互联网资讯	hu lian wang zi xun	33
互联网项目	hu lian wang xiang mu	6
交互图	jiao hu tu	3
交互式处理	jiao hu shi chu li	1
交互式电视	jiao hu shi dian shi	2
交互式语言	jiao hu shi yu yan	3
交互技术	jiao hu ji shu	8
交互方式	jiao hu fang shi	25
交互设备	jiao hu she bei	1
交互设计师	jiao hu she ji shi	14
交互运作	jiao hu yun zuo	8
交互错误	jiao hu cuo wu	5
交叉存储器	jiao cha cun chu qi	5
交叉存取	jiao cha cun qu	3
交叉工具链	jiao cha gong ju lian	10
交叉开关	jiao cha kai guan	3
交叉引用	jiao cha yin yong	28
交叉搜索	jiao cha sou suo	5
交叉概率	jiao cha gai lv	2
交叉算子	jiao cha suan zi	8
交叉编译	jiao cha bian yi	27
交叉编译器	jiao cha bian yi qi	23
交叉编译环境	jiao cha bian yi huan jing	11
交叉耦合	jiao cha ou he	16
交叉连接	jiao cha lian jie	41
交换元素	jiao huan yuan su	4
交换排列	jiao huan pai lie	5
交换排序	jiao huan pai xu	1
交换芯片	jiao huan xin pian	2
交换虚电路	jiao huan xu dian lu	6
交易处理	jiao yi chu li	21
交错路径	jiao cuo lu jing	8
产业互联网	chan ye hu lian wang	2
产业生态链	chan ye sheng tai lian	2
产品人	chan pin ren	9
产品分析	chan pin fen xi	3
产品安全	chan pin an quan	8
产品库	chan pin ku	1
产品应用	chan pin ying yong	38
产品数据管理	chan pin shu ju guan li	4
产品文档	chan pin wen dang	8
产品测试	chan pin ce shi	26
产品研发管理	chan pin yan fa guan li	7
产品策划	chan pin ce hua	5
产品评论	chan pin ping lun	11
产品运营	chan pin yun ying	17
产生式系统	chan sheng shi xi tong	1
产生式规则	chan sheng shi gui ze	29
享元模式	xiang yuan mo shi	8
亮度比	liang du bi	33
人体行为识别	ren ti xing wei shi bie	8
人员定位	ren yuan ding wei	2
人工干预	ren gong gan yu	49
人工录入	ren gong lu ru	1
人工控制	ren gong kong zhi	48
人工智能语言	ren gong zhi neng yu yan	2
人工模拟	ren gong mo ni	13
人工测试	ren gong ce shi	4
人工神经元	ren gong shen jing yuan	14
人工管理阶段	ren gong guan li jie duan	7
人工约束	ren gong yue shu	5
人月神话	ren yue shen hua	29
人机工程	ren ji gong cheng	42
人机接口	ren ji jie kou	13
人机界面设计	ren ji jie mian she ji	6
人机系统	ren ji xi tong	5
人脸对齐	ren lian dui qi	1
人脸检测	ren lian jian ce	23
介质故障	jie zhi gu zhang	2
介质转换	jie zhi zhuan huan	5
从备份恢复	cong bei fen hui fu	4
从头读历史	cong tou du li shi	6
从站	cong zhan	9
仓储配送	cang chu pei song	6
仓库管理系统	cang ku guan li xi tong	4
代价函数	dai jia han shu	12
代数分析	dai shu fen xi	2
代数数据类型	dai shu shu ju lei xing	23
代理传值	dai li chuan zhi	8
代理方法	dai li fang fa	2
代理模式	dai li mo shi	18
代理类	dai li lei	6
代理脚本	dai li jiao ben	7
代理设计模式	dai li she ji mo shi	10
代码仓库	dai ma cang ku	19
代码优化	dai ma you hua	16
代码优化技巧	dai ma you hua ji qiao	7
代码健壮性	dai ma jian zhuang xing	9
代码分享	dai ma fen xiang	1
代码分析	dai ma fen xi	25
代码区	dai ma qu	13
代码变换	dai ma bian huan	7
代码备份	dai ma bei fen	1
代码复用	dai ma fu yong	32
代码大全	dai ma da quan	5
代码实例	dai ma shi li	3
代码实现	dai ma shi xian	35
代码审计	dai ma shen ji	8
代码工具	dai ma gong ju	1
