# 微明领域词库：成语，由 glimmer-dict-convert lexicon 从 THUOCL 拆出，基础词库里没有的部分。词	音节	词频
愁眉不展	chou mei bu zhan	14
愁眉紧锁	chou mei jin suo	8
愁肠百结	chou chang bai jie	4
意义深长	yi yi shen chang	8
意在沛公	yi zai pei gong	8
愧不敢当	kui bu gan dang	41
慌不择路	huang bu ze lu	23
慌作一团	huang zuo yi tuan	2
慌张失措	huang zhang shi cuo	7
慎始敬终	shen shi jing zhong	6
慎终如始	shen zhong ru shi	4
慎终追远	shen zhong zhui yuan	37
慎重其事	shen zhong qi shi	8
慢声细语	man sheng xi yu	1
慨当以慷	kai dang yi kang	9
慨然应允	kai ran ying yun	7
慷慨就义	kang kai jiu yi	18
慷慨悲歌	kang kai bei ge	22
慷慨激扬	kang kai ji yang	6
慷慨赴义	kang kai fu yi	11
憎爱分明	zeng ai fen ming	1
憨态可掬	han tai ke ju	30
戎马生涯	rong ma sheng ya	31
成也萧何	cheng ye xiao he	9
成也萧何败也萧何	cheng ye xiao he bai ye xiao he	2
成事不足	cheng shi bu zu	19
成事不足败事有余	cheng shi bu zu bai shi you yu	6
成事在人	cheng shi zai ren	6
成何体统	cheng he ti tong	49
成千成万	cheng qian cheng wan	7
成名成家	cheng ming cheng jia	4
成由勤俭败由奢	cheng you qin jian bai you she	9
成群结伙	cheng qun jie huo	4
成败利钝	cheng bai li dun	4
成败在此一举	cheng bai zai ci yi ju	15
成败得失	cheng bai de shi	24
成败萧何	cheng bai xiao he	1
我为鱼肉	wo wei yu rou	10
我见犹怜	wo jian you lian	33
战天斗地	zhan tian dou di	6
战火纷飞	zhan huo fen fei	46
戮力同心	lu li tong xin	9
所答非所问	suo da fei suo wen	12
扇枕温衾	shan zhen wen qin	5
手无缚鸡之力	shou wu fu ji zhi li	16
手胼足胝	shou pian zu zhi	6
手脚干净	shou jiao gan jing	1
才德兼备	cai de jian bei	19
才情横溢	cai qing heng yi	5
打个照面	da ge zhao mian	13
打入另册	da ru ling ce	6
打开天窗说亮话	da kai tian chuang shuo liang hua	5
打破沙锅问到底	da po sha guo wen dao di	13
打肿脸充胖子	da zhong lian chong pang zi	44
打蛇打七寸	da she da qi cun	3
打铁先得自身硬	da tie xian de zi shen ying	7
打铁趁热	da tie chen re	10
扬名四海	yang ming si hai	3
扬幡招魂	yang fan zhao hun	2
扬清抑浊	yang qing yi zhuo	6
扬清激浊	yang qing ji zhuo	5
扶危救困	fu wei jiu kun	3
扶弱抑强	fu ruo yi qiang	2
扶摇而上	fu yao er shang	1
扼腕叹息	e wan tan xi	14
扼腕长叹	e wan chang tan	3
承欢膝下	cheng huan xi xia	6
抑强扶弱	yi qiang fu ruo	13
抑郁寡欢	yi yu gua huan	5
投机钻营	tou ji zuan ying	10
投鞭断流	tou bian duan liu	7
抖擞精神	dou sou jing shen	9
抚今思昔	fu jin si xi	2
抚掌大笑	fu zhang da xiao	5
报仇雪耻	bao chou xue chi	14
报应不爽	bao ying bu shuang	4
披红戴花	pi hong dai hua	8
抱头大哭	bao tou da ku	12
抱成一团	bao cheng yi tuan	24
抱打不平	bao da bu ping	25
抱薪救火	bao xin jiu huo	2
抽刀断水	chou dao duan shui	1
担当不起	dan dang bu qi	43
拆东墙补西墙	chai dong qiang bu xi qiang	15
拆东补西	chai dong bu xi	2
拈花一笑	nian hua yi xiao	7
拈花微笑	nian hua wei xiao	17
拉大旗作虎皮	la da qi zuo hu pi	3
拉拉杂杂	la la za za	1
拒人于千里之外	ju ren yu qian li zhi wai	7
拒人千里之外	ju ren qian li zhi wai	5
拔出萝卜带出泥	ba chu luo bo dai chu ni	1
拔刀相向	ba dao xiang xiang	25
招贤纳士	zhao xian na shi	18
招降纳叛	zhao xiang na pan	18
拣了芝麻丢了西瓜	jian le zhi ma diu le xi gua	1
择其善者而从之	ze qi shan zhe er cong zhi	4
择邻而居	ze lin er ju	1
拳不离手	quan bu li shou	2
持盈保泰	chi ying bao tai	5
挂免战牌	gua mian zhan pai	14
挂冠求去	gua guan qiu qu	12
挈妇将雏	qie fu jiang chu	1
挖肉补疮	wa rou bu chuang	6
挨打受气	ai da shou qi	5
挨打受骂	ai da shou ma	1
挨门挨户	ai men ai hu	4
挨门逐户	ai men zhu hu	3
挫骨扬灰	cuo gu yang hui	36
振振有辞	zhen zhen you ci	3
振臂一呼	zhen bi yi hu	14
捉刀代笔	zhuo dao dai bi	3
捏了一把汗	nie le yi ba han	15
损人害己	sun ren hai ji	4
损己利人	sun ji li ren	3
捷报频传	jie bao pin chuan	17
授业解惑	shou ye jie huo	32
授人以柄	shou ren yi bing	14
授受不亲	shou shou bu qin	7
掎角之势	ji jiao zhi shi	25
排斥异己	pai chi yi ji	43
探赜索隐	tan ze suo yin	6
推三推四	tui san tui si	1
推本溯源	tui ben su yuan	6
推而广之	tui er guang zhi	45
掩鼻而过	yan bi er guo	1
掰开揉碎	bai kai rou sui	2
插翅难逃	cha chi nan tao	3
搬石砸脚	ban shi za jiao	1
摇头叹息	yao tou tan xi	7
摇摇摆摆	yao yao bai bai	17
摧眉折腰	cui mei zhe yao	15
摩肩擦踵	mo jian ca zhong	8
撒泼打滚	sa po da gun	1
撒豆成兵	sa dou cheng bing	9
操纵自如	cao zong zi ru	14
擒贼先擒王	qin zei xian qin wang	8
擒贼擒王	qin zei qin wang	11
擦脂抹粉	ca zhi mo fen	5
支吾其词	zhi wu qi ci	11
收之桑榆	shou zhi sang yu	19
改名易姓	gai ming yi xing	4
改弦易张	gai xian yi zhang	3
改过迁善	gai guo qian shan	48
攻其一点不及其余	gong qi yi dian bu ji qi yu	6
攻其无备	gong qi wu bei	10
攻子之盾	gong zi zhi dun	5
攻心为上	gong xin wei shang	15
放下包袱	fang xia bao fu	37
放下屠刀立地成佛	fang xia tu dao li di cheng fo	32
放之四海而皆准	fang zhi si hai er jie zhun	13
放浪不羁	fang lang bu ji	36
放火烧山	fang huo shao shan	38
放纵不羁	fang zong bu ji	35
放长线钓大鱼	fang chang xian diao da yu	33
放马后炮	fang ma hou pao	1
故作高深	gu zuo gao shen	12
故土难离	gu tu nan li	7
故技重演	gu ji chong yan	6
敏而好学	min er hao xue	21
救人一命	jiu ren yi ming	38
救急不救穷	jiu ji bu jiu qiong	19
救民于水火	jiu min yu shui huo	7
救灾恤患	jiu zai xu huan	3
敢作敢当	gan zuo gan dang	46
敢怒敢言	gan nu gan yan	10
敢怒而不敢言	gan nu er bu gan yan	11
敢想敢说	gan xiang gan shuo	5
敬业乐群	jing ye le qun	35
敬老尊贤	jing lao zun xian	10
敬若神明	jing ruo shen ming	8
敲骨吸髓	qiao gu xi sui	2
整军经武	zheng jun jing wu	22
整旧如新	zheng jiu ru xin	6
敷衍搪塞	fu yan tang se	1
文人学士	wen ren xue shi	46
文以载道	wen yi zai dao	43
文弱书生	wen ruo shu sheng	33
文情并茂	wen qing bing mao	9
文武之道	wen wu zhi dao	14
文治武功	wen zhi wu gong	46
文理不通	wen li bu tong	8
文采风流	wen cai feng liu	17
文韬武略	wen tao wu lve	18
斗志昂扬	dou zhi ang yang	47
料峭春寒	liao qiao chun han	2
斜风细雨	xie feng xi yu	2
斩关夺隘	zhan guan duo ai	6
断井颓垣	duan jing tui yuan	7
断线风筝	duan xian feng zheng	7
斯斯文文	si si wen wen	25
新人新事	xin ren xin shi	3
新仇旧恨	xin chou jiu hen	37
方便之门	fang bian zhi men	43
方寸之地	fang cun zhi di	4
旁枝末节	pang zhi mo jie	9
旁逸斜出	pang yi xie chu	1
旖旎风光	yi ni feng guang	5
无事生事	wu shi sheng shi	6
无人之地	wu ren zhi di	36
无从置喙	wu cong zhi hui	7
无关大局	wu guan da ju	13
无则加勉	wu ze jia mian	35
无可估量	wu ke gu liang	21
无可匹敌	wu ke pi di	48
无可名状	wu ke ming zhuang	1
无可奈何花落去	wu ke nai he hua luo qu	28
无可置喙	wu ke zhi hui	1
无名小辈	wu ming xiao bei	8
无头无尾	wu tou wu wei	11
无始无终	wu shi wu zhong	32
无官一身轻	wu guan yi shen qing	14
无容身之地	wu rong shen zhi di	9
无巧不成书	wu qiao bu cheng shu	36
无影无形	wu ying wu xing	2
无心插柳柳成荫	wu xin cha liu liu cheng yin	12
无所不及	wu suo bu ji	2
无所不晓	wu suo bu xiao	9
无所不有	wu suo bu you	28
无所不通	wu suo bu tong	25
无所忌惮	wu suo ji dan	21
无敌于天下	wu di yu tian xia	28
无源之水	wu yuan zhi shui	9
无源之水无本之木	wu yuan zhi shui wu ben zhi mu	6
无立足之地	wu li zu zhi di	16
无立锥之地	wu li zhui zhi di	10
无补于事	wu bu yu shi	44
无踪无影	wu zong wu ying	2
无边无垠	wu bian wu yin	6
无远弗届	wu yuan fu jie	49
无风三尺浪	wu feng san chi lang	6
无风起浪	wu feng qi lang	4
日丽风和	ri li feng he	5
日久弥新	ri jiu mi xin	6
日出而作	ri chu er zuo	14
日出而作日入而息	ri chu er zuo ri ru er xi	1
日思夜盼	ri si ye pan	7
日月无光	ri yue wu guang	8
日月经天	ri yue jing tian	2
日落西山	ri luo xi shan	32
日行千里	ri xing qian li	22
日进斗金	ri jin dou jin	8
旦夕之间	dan xi zhi jian	11
旧地重游	jiu di chong you	42
旧瓶新酒	jiu ping xin jiu	6
旧瓶装新酒	jiu ping zhuang xin jiu	8
旧话重提	jiu hua chong ti	5
早知今日	zao zhi jin ri	2
早知今日何必当初	zao zhi jin ri he bi dang chu	8
旭日初升	xu ri chu sheng	28
时势造英雄	shi shi zao ying xiong	21
时移世易	shi yi shi yi	20
时移势易	shi yi shi yi	13
旷世奇才	kuang shi qi cai	16
旷古未有	kuang gu wei you	6
昂头挺胸	ang tou ting xiong	3
明修栈道	ming xiu zhan dao	14
明修栈道暗度陈仓	ming xiu zhan dao an du chen cang	3
明升暗降	ming sheng an jiang	29
明察暗访	ming cha an fang	16
明德惟馨	ming de wei xin	5
明月清风	ming yue qing feng	16
明枪易躲	ming qiang yi duo	6
明枪易躲暗箭难防	ming qiang yi duo an jian nan fang	5
明白如话	ming bai ru hua	1
明眸善睐	ming mou shan lai	6
昏头转向	hun tou zhuan xiang	4
易地而处	yi di er chu	10
星星之火可以燎原	xing xing zhi huo ke yi liao yuan	29
星月交辉	xing yue jiao hui	4
春去秋来	chun qu qiu lai	35
春和景明	chun he jing ming	7
春回大地	chun hui da di	33
春宵一刻值千金	chun xiao yi ke zhi qian jin	48
春满人间	chun man ren jian	17
春生夏长	chun sheng xia zhang	3
春生夏长秋收冬藏	chun sheng xia zhang qiu shou dong cang	1
春色满园	chun se man yuan	7
春花秋月	chun hua qiu yue	39
春蚕到死丝方尽	chun can dao si si fang jin	4
春风浩荡	chun feng hao dang	1
春风雨露	chun feng yu lu	5
是可忍孰不可忍	shi ke ren shu bu ke ren	12
是非之心	shi fei zhi xin	16
是非分明	shi fei fen ming	29
是非得失	shi fei de shi	5
是非自有公论	shi fei zi you gong lun	5
是非颠倒	shi fei dian dao	22
昼伏夜行	zhou fu ye xing	20
昼夜兼程	zhou ye jian cheng	32
显山露水	xian shan lu shui	21
显露头角	xian lu tou jiao	16
晓以大义	xiao yi da yi	46
晓风残月	xiao feng can yue	21
晕晕沉沉	yun yun chen chen	6
晨光熹微	chen guang xi wei	8
晨钟暮鼓	chen zhong mu gu	13
智者千虑	zhi zhe qian lv	30
智者见智	zhi zhe jian zhi	48
暗度陈仓	an du chen cang	30
暗箭伤人	an jian shang ren	11
暗箭难防	an jian nan fang	7
暮色苍茫	mu se cang mang	2
暴涨暴跌	bao zhang bao die	5
暴露目标	bao lu mu biao	30
曲不离口	qu bu li kou	2
曲意迎合	qu yi ying he	5
曲突徙薪	qu tu xi xin	3
月圆花好	yue yuan hua hao	12
月晕而风	yue yun er feng	6
月朗星稀	yue lang xing xi	8
月朗风清	yue lang feng qing	7
月满则亏	yue man ze kui	6
有一搭没一搭	you yi da mei yi da	21
有其父必有其子	you qi fu bi you qi zi	30
有凤来仪	you feng lai yi	22
有凭有据	you ping you ju	19
有则改之	you ze gai zhi	33
有则改之无则加勉	you ze gai zhi wu ze jia mian	34
有口难言	you kou nan yan	23
有头无尾	you tou wu wei	9
有害无利	you hai wu li	18
有志不在年高	you zhi bu zai nian gao	4
有条有理	you tiao you li	27
有来无回	you lai wu hui	15
有来有往	you lai you wang	44
有案可查	you an ke cha	15
有案可稽	you an ke ji	7
有百害而无一利	you bai hai er wu yi li	5
有福同享有难同当	you fu tong xiang you nan tong dang	31
有约在先	you yue zai xian	13
有耻且格	you chi qie ge	2
有苦难言	you ku nan yan	44
有负众望	you fu zhong wang	1
有财有势	you cai you shi	12
有贼心没贼胆	you zei xin mei zei dan	39
有过之无不及	you guo zhi wu bu ji	17
有进无退	you jin wu tui	15
有鼻子有眼	you bi zi you yan	17
朋友妻不可欺	peng you qi bu ke qi	18
朝乾夕惕	zhao qian xi ti	5
朝生暮死	zhao sheng mu si	2
朝野上下	chao ye shang xia	38
未为不可	wei wei bu ke	3
未定之天	wei ding zhi tian	3
未竟之志	wei jing zhi zhi	15
未能免俗	wei neng mian su	5
本乡本土	ben xiang ben tu	6
本固邦宁	ben gu bang ning	7
本小利薄	ben xiao li bo	7
本性难移	ben xing nan yi	19
朴素无华	pu su wu hua	28
机不可失时不再来	ji bu ke shi shi bu zai lai	13
朽木不可雕	xiu mu bu ke diao	32
杀伐决断	sha fa jue duan	12
杀鸡焉用牛刀	sha ji yan yong niu dao	1
杀鸡骇猴	sha ji hai hou	7
杂乱无序	za luan wu xu	8
权倾天下	quan qing tian xia	34
权宜之策	quan yi zhi ce	9
李广难封	li guang nan feng	9
杏花春雨	xing hua chun yu	11
杜绝后患	du jue hou huan	8
杜鹃啼血	du juan ti xue	15
杞人之忧	qi ren zhi you	8
束手无措	shu shou wu cuo	5
来势凶猛	lai shi xiong meng	27
来去无踪	lai qu wu zong	15
来回来去	lai hui lai qu	14
来处不易	lai chu bu yi	13
来者不善	lai zhe bu shan	29
来者可追	lai zhe ke zhui	7
来而不往非礼也	lai er bu wang fei li ye	27
杨柳依依	yang liu yi yi	27
杯中之物	bei zhong zhi wu	2
杯觥交错	bei gong jiao cuo	6
杯酒释兵权	bei jiu shi bing quan	30
杳无人烟	yao wu ren yan	28
杳无人迹	yao wu ren ji	9
杳无消息	yao wu xiao xi	2
杳无踪影	yao wu zong ying	2
杳无踪迹	yao wu zong ji	7
极目远望	ji mu yuan wang	3
极目远眺	ji mu yuan tiao	5
极而言之	ji er yan zhi	1
枝节横生	zhi jie heng sheng	2
枯枝败叶	ku zhi bai ye	16
枯瘦如柴	ku shou ru chai	5
柔情蜜意	rou qing mi yi	29
柔肠百转	rou chang bai zhuan	2
查无实据	cha wu shi ju	41
柳绿花红	liu lv hua hong	5
栉比鳞次	zhi bi lin ci	6
栋梁之才	dong liang zhi cai	32
树欲静而风不止	shu yu jing er feng bu zhi	40
桂子飘香	gui zi piao xiang	2
桃李不言	tao li bu yan	15
桃李不言下自成蹊	tao li bu yan xia zi cheng xi	3
桃李遍天下	tao li bian tian xia	2
桃花流水	tao hua liu shui	10
案牍劳形	an du lao xing	4
桑间濮上	sang jian pu shang	6
梅妻鹤子	mei qi he zi	12
梦幻泡影	meng huan pao ying	34
梦笔生花	meng bi sheng hua	6
梨园子弟	li yuan zi di	13
森严壁垒	sen yan bi lei	1
楼台亭阁	lou tai ting ge	10
榜上无名	bang shang wu ming	22
横冲直闯	heng chong zhi chuang	7
横平竖直	heng ping shu zhi	30
横挑鼻子竖挑眼	heng tiao bi zi shu tiao yan	2
横槊赋诗	heng shuo fu shi	3
横行天下	heng xing tian xia	19
欢呼雷动	huan hu lei dong	6
欲加之罪	yu jia zhi zui	26
欲加之罪何患无辞	yu jia zhi zui he huan wu ci	4
欲扬先抑	yu yang xian yi	22
欲速不达	yu su bu da	4
止戈为武	zhi ge wei wu	9
正心诚意	zheng xin cheng yi	10
正直无私	zheng zhi wu si	10
正经八百	zheng jing ba bai	45
此一时彼一时	ci yi shi bi yi shi	22
此伏彼起	ci fu bi qi	4
此风不可长	ci feng bu ke zhang	13
步履矫健	bu lv jiao jian	1
步履艰辛	bu lv jian xin	1
步步登高	bu bu deng gao	4
步调一致	bu diao yi zhi	47
武艺超群	wu yi chao qun	39
死不足惜	si bu zu xi	20
死无葬身之地	si wu zang shen zhi di	31
死马当活马医	si ma dang huo ma yi	4
残暴不仁	can bao bu ren	28
残汤剩饭	can tang sheng fan	1
残羹冷炙	can geng leng zhi	12
残羹剩饭	can geng sheng fan	24
残花败柳	can hua bai liu	23
殚精竭力	dan jing jie li	3
殷忧启圣	yin you qi sheng	5
殷鉴不远	yin jian bu yuan	15
殿堂楼阁	dian tang lou ge	5
毁于蚁穴	hui yu yi xue	8
毁誉不一	hui yu bu yi	6
母以子贵	mu yi zi gui	38
母慈子孝	mu ci zi xiao	5
每下愈况	mei xia yu kuang	35
比上不足比下有余	bi shang bu zu bi xia you yu	3
比手画脚	bi shou hua jiao	36
比肩接踵	bi jian jie zhong	1
比肩而立	bi jian er li	7
毕其功于一役	bi qi gong yu yi yi	8
毛将焉附	mao jiang yan fu	2
毫不介意	hao bu jie yi	41
毫不利己	hao bu li ji	8
毫不利己专门利人	hao bu li ji zhuan men li ren	2
毫不讳言	hao bu hui yan	17
毫无所知	hao wu suo zhi	25
毫无逊色	hao wu xun se	1
民不畏死	min bu wei si	16
民为邦本	min wei bang ben	2
民办公助	min ban gong zhu	33
民富国强	min fu guo qiang	6
民生凋敝	min sheng diao bi	35
民生在勤	min sheng zai qin	1
民胞物与	min bao wu yu	7
民膏民脂	min gao min zhi	3
民贵君轻	min gui jun qing	8
气喘吁吁	qi chuan xu xu	17
气喘如牛	qi chuan ru niu	5
气定神闲	qi ding shen xian	9
气数已尽	qi shu yi jin	48
气焰嚣张	qi yan xiao zhang	26
水光山色	shui guang shan se	3
水可载舟	shui ke zai zhou	5
水可载舟亦可覆舟	shui ke zai zhou yi ke fu zhou	6
水天一色	shui tian yi se	19
水月观音	shui yue guan yin	19
水月镜花	shui yue jing hua	15
水来土掩	shui lai tu yan	15
水漫金山	shui man jin shan	31
水火不相容	shui huo bu xiang rong	15
水火之中	shui huo zhi zhong	25
水碧山青	shui bi shan qing	6
水能载舟	shui neng zai zhou	35
水能载舟亦能覆舟	shui neng zai zhou yi neng fu zhou	1
水至清则无鱼	shui zhi qing ze wu yu	32
水过地皮湿	shui guo di pi shi	7
永不磨灭	yong bu mo mie	47
永垂青史	yong chui qing shi	5
永无宁日	yong wu ning ri	15
永矢弗谖	yong shi fu xuan	1
求人不如求己	qiu ren bu ru qiu ji	29
求仁得仁	qiu ren de ren	37
求其友声	qiu qi you sheng	1
求大同存小异	qiu da tong cun xiao yi	3
求才若渴	qiu cai ruo ke	5
求生不得	qiu sheng bu de	10
求知若渴	qiu zhi ruo ke	12
求神问卜	qiu shen wen bu	22
求贤如渴	qiu xian ru ke	1
求过于供	qiu guo yu gong	13
汗流满面	han liu man mian	12
江东父老	jiang dong fu lao	48
江天一色	jiang tian yi se	2
江山如画	jiang shan ru hua	16
江山易改	jiang shan yi gai	6
江山易改本性难移	jiang shan yi gai ben xing nan yi	6
江汉朝宗	jiang han chao zong	1
江河行地	jiang he xing di	1
汪洋大海	wang yang da hai	39
汪洋恣肆	wang yang zi si	13
沃野千里	wo ye qian li	17
沉心静气	chen xin jing qi	3
沉思默想	chen si mo xiang	1
沉渣泛起	chen zha fan qi	4
沉滓泛起	chen zi fan qi	6
沉郁顿挫	chen yu dun cuo	13
沐猴而冠	mu hou er guan	13
没头没脸	mei tou mei lian	6
没有不透风的墙	mei you bu tou feng de qiang	10
没齿难忘	mo chi nan wang	17
沦落风尘	lun luo feng chen	21
沧海遗珠	cang hai yi zhu	46
河海不择细流	he hai bu ze xi liu	1
油光可鉴	you guang ke jian	3
治丝益棼	zhi si yi fen	3
治国安民	zhi guo an min	9
泄露天机	xie lu tian ji	39
法不阿贵	fa bu e gui	2
泛泛之交	fan fan zhi jiao	32
泛泛之谈	fan fan zhi tan	2
波平浪静	bo ping lang jing	7
波谲云诡	bo jue yun gui	16
泥古不化	ni gu bu hua	4
泪眼汪汪	lei yan wang wang	34
泰山不让土壤	tai shan bu rang tu rang	6
泰山压顶不弯腰	tai shan ya ding bu wan yao	7
泼妇骂街	po fu ma jie	49
泽被后世	ze bei hou shi	3
洁白无瑕	jie bai wu xia	29
洁身自爱	jie shen zi ai	40
洒扫应对	sa sao ying dui	2
洞察秋毫	dong cha qiu hao	4
洪福齐天	hong fu qi tian	37
洪钟大吕	hong zhong da lv	1
活龙活现	huo long huo xian	1
流年似水	liu nian si shui	14
流水不腐	liu shui bu fu	5
流水无情	liu shui wu qing	26
流水行云	liu shui xing yun	20
流离颠沛	liu li dian pei	8
流芳千古	liu fang qian gu	15
流落他乡	liu luo ta xiang	10
流言止于智者	liu yan zhi yu zhi zhe	18
流言飞语	liu yan fei yu	7
浅斟低唱	qian zhen di chang	3
济世安民	ji shi an min	13
济世安邦	ji shi an bang	6
济世救人	ji shi jiu ren	34
济困扶危	ji kun fu wei	5
浓妆淡抹	nong zhuang dan mo	14
浓荫蔽日	nong yin bi ri	7
浩浩汤汤	hao hao shang shang	2
浩然之气	hao ran zhi qi	22
浩若烟海	hao ruo yan hai	1
海不扬波	hai bu yang bo	15
海底捞针	hai di lao zhen	3
海晏河清	hai yan he qing	16
海角天涯	hai jiao tian ya	43
海阔天高	hai kuo tian gao	2
涂炭生灵	tu tan sheng ling	6
涕泗横流	ti si heng liu	29
涕泪交加	ti lei jiao jia	3
涕泪交流	ti lei jiao liu	6
涸泽而渔	he ze er yu	4
淡泊以明志	dan bo yi ming zhi	1
淡泊明志	dan bo ming zhi	11
淡然处之	dan ran chu zhi	44
深入骨髓	shen ru gu sui	12
深山密林	shen shan mi lin	21
深山幽谷	shen shan you gu	12
深恶痛疾	shen wu tong ji	8
混淆是非	hun xiao shi fei	37
混淆黑白	hun xiao hei bai	9
混混沌沌	hun hun dun dun	5
清华东门	qing hua dong men	2
清官难断家务事	qing guan nan duan jia wu shi	26
清廉正直	qing lian zheng zhi	44
清新俊逸	qing xin jun yi	9
清闲自在	qing xian zi zai	9
清静无为	qing jing wu wei	30
清风两袖	qing feng liang xiu	2
清风朗月	qing feng lang yue	8
渔翁之利	yu weng zhi li	48
温柔敦厚	wen rou dun hou	41
温良恭俭让	wen liang gong jian rang	13
游必有方	you bi you fang	41
游目骋怀	you mu cheng huai	6
游移不定	you yi bu ding	21
渺无音讯	miao wu yin xun	5
湮没无闻	yan mo wu wen	20
溃于蚁穴	kui yu yi xue	1
源头活水	yuan tou huo shui	11
源源而来	yuan yuan er lai	5
溘然长逝	ke ran chang shi	41
溢美之辞	yi mei zhi ci	7
滑天下之大稽	hua tian xia zhi da ji	17
滔天大罪	tao tian da zui	14
滔天罪行	tao tian zui xing	34
满口答应	man kou da ying	16
满园春色	man yuan chun se	22
满坑满谷	man keng man gu	11
满天星斗	man tian xing dou	20
满山满谷	man shan man gu	2
满盘皆输	man pan jie shu	12
满目琳琅	man mu lin lang	2
满目青山	man mu qing shan	3
满脸堆笑	man lian dui xiao	5
满脸春风	man lian chun feng	6
满腔热忱	man qiang re chen	14
满腹牢骚	man fu lao sao	15
满腹狐疑	man fu hu yi	7
满面笑容	man mian xiao rong	14
满面红光	man mian hong guang	9
滴水成河	di shui cheng he	1
漫天叫价	man tian jiao jia	2
漫天开价	man tian kai jia	4
漫天要价	man tian yao jia	16
漫天遍野	man tian bian ye	1
漫无止境	man wu zhi jing	13
激昂慷慨	ji ang kang kai	5
火上添油	huo shang tian you	1
火光冲天	huo guang chong tian	18
火力集中	huo li ji zhong	25
灭绝人性	mie jue ren xing	25
灯火辉煌	deng huo hui huang	17
灿烂辉煌	can lan hui huang	19
灿若繁星	can ruo fan xing	12
炮火连天	pao huo lian tian	28
点头称是	dian tou cheng shi	10
点铁成金	dian tie cheng jin	18
炼石补天	lian shi bu tian	18
烂熟于心	lan shu yu xin	5
烂醉如泥	lan zui ru ni	41
烈士暮年	lie shi mu nian	14
烈火烹油	lie huo peng you	1
烈火见真金	lie huo jian zhen jin	7
烫手山芋	tang shou shan yu	35
热锅上的蚂蚁	re guo shang de ma yi	3
热锅上蚂蚁	re guo shang ma yi	1
烽火四起	feng huo si qi	6
烽火连天	feng huo lian tian	15
焉得虎子	yan de hu zi	15
焕发青春	huan fa qing chun	17
焚林而猎	fen lin er lie	2
焚琴煮鹤	fen qin zhu he	8
焚膏继晷	fen gao ji gui	4
焦灼不安	jiao zhuo bu an	1
照章办事	zhao zhang ban shi	8
熔于一炉	rong yu yi lu	10
熬更守夜	ao geng shou ye	7
燎原之火	liao yuan zhi huo	7
燕瘦环肥	yan shou huan fei	7
爬山涉水	pa shan she shui	37
爱惜羽毛	ai xi yu mao	13
爱钱如命	ai qian ru ming	8
父为子隐	fu wei zi yin	3
父债子还	fu zhai zi huan	5
父慈子孝	fu ci zi xiao	23
父母之邦	fu mu zhi bang	8
爽心悦目	shuang xin yue mu	6
片瓦不留	pian wa bu liu	2
片瓦无存	pian wa wu cun	2
片言只字	pian yan zhi zi	10
牛之一毛	niu zhi yi mao	6
牛高马大	niu gao ma da	10
牢骚太盛防肠断	lao sao tai sheng fang chang duan	1
牢骚满腹	lao sao man fu	11
物华天宝	wu hua tian bao	29
牵一发而动全身	qian yi fa er dong quan shen	25
牵牛织女	qian niu zhi nv	2
犀牛望月	xi niu wang yue	3
犁庭扫穴	li ting sao xue	2
狂涛巨浪	kuang tao ju lang	2
狂涛骇浪	kuang tao hai lang	6
狂风怒号	kuang feng nu hao	2
狂风恶浪	kuang feng e lang	3
狗咬吕洞宾	gou yao lv dong bin	26
狗屁不通	gou pi bu tong	6
狗拿耗子	gou na hao zi	24
独往独来	du wang du lai	2
独排众议	du pai zhong yi	47
独木不成林	du mu bu cheng lin	4
独此一家	du ci yi jia	12
独运匠心	du yun jiang xin	2
独霸一方	du ba yi fang	30
狭路相逢勇者胜	xia lu xiang feng yong zhe sheng	22
狰狞面目	zheng ning mian mu	12
狼烟四起	lang yan si qi	9
狼狈逃窜	lang bei tao cuan	6
猖獗一时	chang jue yi shi	6
猜拳行令	cai quan xing ling	2
率先垂范	shuai xian chui fan	2
率土之滨	shuai tu zhi bin	13
玉不琢不成器	yu bu zhuo bu cheng qi	4
玉树琼枝	yu shu qiong zhi	3
玉汝于成	yu ru yu cheng	5
玉液琼浆	yu ye qiong jiang	1
王侯将相	wang hou jiang xiang	40
王祥卧冰	wang xiang wo bing	3
王顾左右而言他	wang gu zuo you er yan ta	8
环肥燕瘦	huan fei yan shou	10
现世现报	xian shi xian bao	2
玲珑小巧	ling long xiao qiao	2
珍馐美馔	zhen xiu mei zhuan	3
琴心剑胆	qin xin jian dan	6
琴瑟和谐	qin se he xie	8
琼浆玉液	qiong jiang yu ye	5
瓜分豆剖	gua fen dou pou	1
瓜瓞绵绵	gua die mian mian	7
瓦釜雷鸣	wa fu lei ming	1
甘之若饴	gan zhi ruo yi	13
甘居人后	gan ju ren hou	1
甘心情愿	gan xin qing yuan	14
甘苦与共	gan ku yu gong	11
甚于防川	shen yu fang chuan	3
甜酸苦辣	tian suan ku la	29
生于忧患死于安乐	sheng yu you huan si yu an le	6
生拉硬扯	sheng la ying che	4
生死不渝	sheng si bu yu	2
生死相依	sheng si xiang yi	17
生生死死	sheng sheng si si	6
生米做成熟饭	sheng mi zuo cheng shu fan	3
生米煮成熟饭	sheng mi zhu cheng shu fan	42
生而知之	sheng er zhi zhi	9
生财之道	sheng cai zhi dao	35
用之不竭	yong zhi bu jie	25
用兵如神	yong bing ru shen	20
用其所长	yong qi suo chang	5
用尽心机	yong jin xin ji	14
田连阡陌	tian lian qian mo	3
