# 微明领域词库：成语，由 glimmer-dict-convert lexicon 从 THUOCL 拆出，基础词库里没有的部分。词	音节	词频
临阵磨枪	lin zhen mo qiang	46
临阵退缩	lin zhen tui suo	33
丹书铁券	dan shu tie quan	31
丹心碧血	dan xin bi xue	1
丹青妙手	dan qing miao shou	1
为五斗米折腰	wei wu dou mi zhe yao	15
为善最乐	wei shan zui le	7
为渊驱鱼	wei yuan qu yu	1
为非作恶	wei fei zuo e	3
举世皆知	ju shi jie zhi	9
举国一致	ju guo yi zhi	23
举措失当	ju cuo shi dang	7
举止大方	ju zhi da fang	7
举止言谈	ju zhi yan tan	5
举步艰难	ju bu jian nan	3
举贤任能	ju xian ren neng	5
举重若轻	ju zhong ruo qing	31
久旱逢甘雨	jiu han feng gan yu	7
久经风霜	jiu jing feng shuang	4
久闻大名	jiu wen da ming	23
乐业安居	le ye an ju	6
乐以忘忧	le yi wang you	3
乐而不淫	le er bu yin	6
乔装改扮	qiao zhuang gai ban	10
乘兴而来	cheng xing er lai	4
乘兴而来败兴而归	cheng xing er lai bai xing er gui	3
乘其不备	cheng qi bu bei	25
乘机而入	cheng ji er ru	3
乘热打铁	cheng re da tie	2
乘隙而入	cheng xi er ru	6
九五之尊	jiu wu zhi zun	19
九天揽月	jiu tian lan yue	32
九死不悔	jiu si bu hui	1
九泉之下	jiu quan zhi xia	21
习焉不察	xi yan bu cha	3
习非成是	xi fei cheng shi	5
书声琅琅	shu sheng lang lang	5
书香人家	shu xiang ren jia	5
买卖公平	mai mai gong ping	7
乱世英雄	luan shi ying xiong	38
了然于胸	liao ran yu xiong	25
予取予夺	yu qu yu duo	2
予取予求	yu qu yu qiu	24
争前恐后	zheng qian kong hou	7
争妍斗艳	zheng yan dou yan	1
争强斗狠	zheng qiang dou hen	2
事不关己高高挂起	shi bu guan ji gao gao gua qi	10
事出无奈	shi chu wu nai	3
事后诸葛亮	shi hou zhu ge liang	36
事缓则圆	shi huan ze yuan	8
二人同心	er ren tong xin	7
二八年华	er ba nian hua	16
二者不可得兼	er zhe bu ke de jian	18
二者必居其一	er zhe bi ju qi yi	5
于今为烈	yu jin wei lie	7
于心何忍	yu xin he ren	39
云中白鹤	yun zhong bai he	2
云开雾散	yun kai wu san	19
云泥之别	yun ni zhi bie	5
云谲波诡	yun jue bo gui	2
互为表里	hu wei biao li	38
互相推诿	hu xiang tui wei	36
五劳七伤	wu lao qi shang	6
五味俱全	wu wei ju quan	21
五子登科	wu zi deng ke	37
五毒俱全	wu du ju quan	24
五谷不分	wu gu bu fen	9
五里雾中	wu li wu zhong	18
井井有序	jing jing you xu	4
亘古未有	gen gu wei you	7
亡国之音	wang guo zhi yin	11
亡国灭种	wang guo mie zhong	24
亢龙有悔	kang long you hui	17
交口称赞	jiao kou cheng zan	31
交口赞誉	jiao kou zan yu	1
交杯换盏	jiao bei huan zhan	2
亦可覆舟	yi ke fu zhou	8
亦复如是	yi fu ru shi	22
亲临其境	qin lin qi jing	4
亲仁善邻	qin ren shan lin	3
亲如手足	qin ru shou zu	9
亲痛仇快	qin tong chou kuai	4
亲者痛仇者快	qin zhe tong chou zhe kuai	5
人不为己天诛地灭	ren bu wei ji tian zhu di mie	33
人不犯我	ren bu fan wo	44
人不知鬼不觉	ren bu zhi gui bu jue	2
人世沧桑	ren shi cang sang	7
人为刀俎	ren wei dao zu	9
