# 微明领域词库：财经，由 glimmer-dict-convert lexicon 从 THUOCL 拆出，基础词库里没有的部分。词	音节	词频
借报	jie bao	2
债务国	zhai wu guo	28
债市	zhai shi	10
债权国	zhai quan guo	49
假账	jia zhang	25
做空	zuo kong	10
停业通知书	ting ye tong zhi shu	4
健康元	jian kang yuan	4
健康险	jian kang xian	15
储备头寸	chu bei tou cun	1
储蓄券	chu xu quan	16
储蓄卡	chu xu ka	21
先施	xian shi	7
光大保德信	guang da bao de xin	2
免代理费	mian dai li fei	3
兑付期	dui fu qi	1
入市	ru shi	9
入股协议	ru gu xie yi	4
全局观	quan ju guan	3
全权信托	quan quan xin tuo	1
全球商业	quan qiu shang ye	3
全球商业经典	quan qiu shang ye jing dian	4
全球资本市场	quan qiu zi ben shi chang	10
全面发力	quan mian fa li	1
八一钢铁	ba yi gang tie	12
公司制	gong si zhi	11
公司理财	gong si li cai	15
公用科技	gong yong ke ji	1
公积金率	gong ji jin lv	2
公营化	gong ying hua	8
六渡桥	liu du qiao	18
六福集团	liu fu ji tuan	10
兰光	lan guang	5
兰铝	lan lv	1
共保	gong bao	7
共合网	gong he wang	2
兴业卡	xing ye ka	3
兴利集团	xing li ji tuan	2
兴达国际	xing da guo ji	5
典当行	dian dang hang	28
内盘	nei pan	6
内蒙君正	nei meng jun zheng	4
内蒙宏峰	nei meng hong feng	2
内部控制	nei bu kong zhi	2
内部资料	nei bu zi liao	3
农商社	nong shang she	2
农行卡	nong hang ka	1
冠城大通	guan cheng da tong	5
冰熊	bing xiong	16
冲高	chong gao	9
冷却期	leng que qi	23
净利润率	jing li run lv	9
净现值	jing xian zhi	43
准贷记卡	zhun dai ji ka	5
减仓	jian cang	1
凤凰股	feng huang gu	1
凤凰财经	feng huang cai jing	13
凤竹纺织	feng zhu fang zhi	1
凯地	kai di	5
凯美特气	kai mei te qi	5
凯诺科技	kai nuo ke ji	4
凯迪电力	kai di dian li	1
凯马	kai ma	7
出千	chu qian	7
出口业	chu kou ye	26
出口人	chu kou ren	4
出售方	chu shou fang	2
出清	chu qing	10
出票人	chu piao ren	24
出租人	chu zu ren	12
分散化	fen san hua	39
分行制	fen hang zhi	1
划断	hua duan	1
创业网	chuang ye wang	3
创业计划书	chuang ye ji hua shu	1
利多消息	li duo xiao xi	5
利差	li cha	12
利息率	li xi lv	16
利源铝业	li yuan lv ye	5
利空	li kong	13
利记	li ji	7
利邦	li bang	5
到账	dao zhang	29
前手	qian shou	7
前笔	qian bi	7
力合股份有限公司	li he gu fen you xian gong si	1
办税厅	ban shui ting	10
办税员	ban shui yuan	5
加仓	jia cang	11
加拿大元	jia na da yuan	9
劳埃德银行	lao ai de yin hang	44
包头铝业	bao tou lv ye	3
化工股	hua gong gu	1
北亚集团	bei ya ji tuan	3
北京利尔	bei jing li er	5
北京华联	bei jing hua lian	38
北京君正	bei jing jun zheng	10
北京国投	bei jing guo tou	1
北京旅游	bei jing lv you	4
北京科锐	bei jing ke rui	1
北京银行	bei jing yin hang	10
北新路桥	bei xin lu qiao	4
北旅	bei lv	5
北海港	bei hai gang	17
北海集团	bei hai ji tuan	15
北满特钢	bei man te gang	13
