# 微明领域词库：财经，由 glimmer-dict-convert lexicon 从 THUOCL 拆出，基础词库里没有的部分。词	音节	词频
金城股份	jin cheng gu fen	3
金宇车城	jin yu che cheng	6
金宇集团	jin yu ji tuan	1
金宝通	jin bao tong	10
金山工业	jin shan gong ye	8
金岭	jin ling	9
金帝	jin di	9
金普	jin pu	8
金普卡	jin pu ka	4
金智科技	jin zhi ke ji	2
金朝阳集团	jin chao yang ji tuan	39
金果	jin guo	9
金枫酒业	jin feng jiu ye	13
金榜集团	jin bang ji tuan	10
金海股份	jin hai gu fen	1
金源米业	jin yuan mi ye	21
金瑞矿业	jin rui kuang ye	3
金瑞科技	jin rui ke ji	2
金盘	jin pan	9
金种子	jin zhong zi	3
金穗卡	jin sui ka	6
金葵花	jin kui hua	3
金融世界	jin rong shi jie	5
金融办	jin rong ban	27
金融市	jin rong shi	5
金融投资报	jin rong tou zi bao	1
金融股	jin rong gu	22
金融许可证	jin rong xu ke zheng	12
金融部	jin rong bu	9
金路集团	jin lu ji tuan	4
金辉集团	jin hui ji tuan	7
金通灵	jin tong ling	6
金银币	jin yin bi	49
金隅股份	jin yu gu fen	2
金风科技	jin feng ke ji	32
金飞达	jin fei da	6
金马投票	jin ma tou piao	3
金马股份	jin ma gu fen	3
金马集团	jin ma ji tuan	8
金龙机电	jin long ji dian	2
鑫光	xin guang	1
鑫富药业	xin fu yao ye	1
鑫新	xin xin	4
针线街	zhen xian jie	24
钛金卡	tai jin ka	5
钢研高纳	gang yan gao na	5
钢镚儿	gang beng er	5
钱江摩托	qian jiang mo tuo	7
钱经	qian jing	7
钱袋网	qian dai wang	1
铜城	tong cheng	35
银之杰	yin zhi jie	1
银债	yin zhai	2
银华	yin hua	10
银基发展	yin ji fa zhan	3
银基集团	yin ji ji tuan	7
银广厦	yin guang sha	1
银广夏	yin guang xia	12
银建	yin jian	10
银承	yin cheng	1
银期	yin qi	6
银河银泰	yin he yin tai	3
银率网	yin lv wang	8
银行卡号	yin hang ka hao	6
银行学	yin hang xue	7
银行承兑汇票	yin hang cheng dui hui piao	14
银行管理	yin hang guan li	2
银行部	yin hang bu	10
银证通	yin zheng tong	4
销卡	xiao ka	3
销售代理协议	xiao shou dai li xie yi	1
销售合同	xiao shou he tong	44
销货清单	xiao huo qing dan	2
锁仓	suo cang	2
锌业	xin ye	11
锦化	jin hua	4
锦州港	jin zhou gang	15
锦州石化	jin zhou shi hua	2
锦江酒店	jin jiang jiu dian	11
锦港	jin gang	4
长城卡	chang cheng ka	5
长城特钢	chang cheng te gang	2
长城集团	chang cheng ji tuan	3
长控	chang kong	3
长电	chang dian	5
长百集团	chang bai ji tuan	3
长盛中证	chang sheng zhong zheng	3
长盛同德	chang sheng tong de	5
长盛同智	chang sheng tong zhi	2
长盛同瑞	chang sheng tong rui	2
长盛同禧	chang sheng tong xi	4
长盛基金	chang sheng ji jin	4
长盛环球	chang sheng huan qiu	4
长航凤凰	chang hang feng huang	3
长运	chang yun	11
闽信集团	min xin ji tuan	10
闽福发	min fu fa	1
阜丰集团	fu feng ji tuan	3
阳光城	yang guang cheng	2
阳谷华泰	yang gu hua tai	6
阿比银行	a bi yin hang	2
附单	fu dan	4
际华集团	ji hua ji tuan	25
陇达	long da	2
限售期	xian shou qi	3
限售股	xian shou gu	2
陕西金叶	shan xi jin ye	2
除净	chu jing	24
隆基机械	long ji ji xie	1
雄震	xiong zhen	5
雅天妮	ya tian ni	6
雅居乐地产	ya ju le di chan	12
雅虎财经	ya hu cai jing	18
集琦	ji qi	1
集资款	ji zi kuan	12
雪莱特	xue lai te	8
零七股份	ling qi gu fen	5
零息	ling xi	32
零手	ling shou	2
零首付	ling shou fu	2
雷柏科技	lei bai ke ji	5
雷鸣科化	lei ming ke hua	2
霸王条款	ba wang tiao kuan	32
青山纸业	qing shan zhi ye	1
青岛海信	qing dao hai xin	3
青岛海尔	qing dao hai er	25
青岛碱业	qing dao jian ye	1
青鸟华光	qing niao hua guang	4
青龙管业	qing long guan ye	2
非公经济	fei gong jing ji	14
非正常户	fei zheng chang hu	6
非现金	fei xian jin	48
非融资性	fei rong zi xing	6
项目融资	xiang mu rong zi	42
顺发恒业	shun fa heng ye	3
顺诚	shun cheng	4
领票	ling piao	41
领购簿	ling gou bu	7
领跌	ling die	1
颈线	jing xian	17
风控	feng kong	34
风神股份	feng shen gu fen	1
风险投资商	feng xian tou zi shang	10
风险提示	feng xian ti shi	11
风险提示函	feng xian ti shi han	3
风险系数	feng xian xi shu	14
飚升	biao sheng	32
飞力达	fei li da	6
飞行者	fei xing zhe	6
飞马国际	fei ma guo ji	1
饱和点	bao he dian	31
首付款	shou fu kuan	11
首创置业	shou chuang zhi ye	22
香梨	xiang li	15
验审	yan shen	7
验旧	yan jiu	8
骗线	pian xian	3
高价股	gao jia gu	3
高息揽存	gao xi lan cun	3
高新兴	gao xin xing	7
高新发展	gao xin fa zhan	3
高新张铜	gao xin zhang tong	3
高溢价	gao yi jia	6
高点	gao dian	10
高特利	gao te li	2
高金食品	gao jin shi pin	1
高银地产	gao yin di chan	24
魏桥纺织	wei qiao fang zhi	9
鲁商置业	lu shang zhi ye	2
鲁政委	lu zheng wei	3
鲁泰	lu tai	8
鲁泰纺织股份有限公司	lu tai fang zhi gu fen you xian gong si	4
鲁润	lu run	1
鲁石化	lu shi hua	3
鲁置业	lu zhi ye	2
鲁证	lu zheng	8
鲁银	lu yin	4
鹏博士	peng bo shi	12
鹰美	ying mei	3
麦考林	mai kao lin	7
麦达斯	mai da si	7
黄山金马股份有限公司	huang shan jin ma gu fen you xian gong si	2
黄金投资	huang jin tou zi	18
黄金网	huang jin wang	2
黄金集团	huang jin ji tuan	2
黑卡	hei ka	10
黑牡丹	hei mu dan	32
黑白菜	hei bai cai	3
黑龙股份	hei long gu fen	2
黔中天	qian zhong tian	1
黔凯涤	qian kai di	2
鼎天	ding tian	6
鼎泰新材	ding tai xin cai	3
鼎盛天工	ding sheng tian gong	9
齐星铁塔	qi xing tie ta	4
齐翔腾达	qi xiang teng da	2
齐鲁石化	qi lu shi hua	33
龙卡	long ka	10
龙双	long shuang	4
龙头股	long tou gu	6
龙建	long jian	7
龙星化工	long xing hua gong	4
龙涤股份	long di gu fen	2
龙源电力	long yuan dian li	11
