# 微明领域词库：历史人物，由 glimmer-dict-convert lexicon 从 THUOCL 拆出，基础词库里没有的部分。词	音节	词频
巩建丰	gong jian feng	3
巩志	gong zhi	14
巫县	wu xian	4
巫继学	wu ji xue	1
巴乔	ba qiao	8
巴勃鲁	ba bo lu	1
巴多里奥	ba duo li ao	4
巴家伟	ba jia wei	3
巴尔达诺	ba er da nuo	22
巴斯腾	ba si teng	4
巴曙松	ba shu song	6
巴蒂斯图塔	ba di si tu ta	32
巴蔓子	ba man zi	28
币原坦	bi yuan tan	27
市井纱耶香	shi jing sha ye xiang	30
布尔达	bu er da	3
布特拉格诺	bu te la ge nuo	6
布鲁查加	bu lu cha jia	12
帅我	shuai wo	5
师婆	shi po	18
师春玲	shi chun ling	2
师洋	shi yang	5
师纂	shi zuan	24
帕萨雷拉	pa sa lei la	26
带方	dai fang	6
席佩兰	xi pei lan	3
席慕蓉	xi mu rong	47
常任侠	chang ren xia	23
常伦	chang lun	5
常关	chang guan	6
常大淳	chang da chun	21
常宝	chang bao	7
常宽	chang kuan	31
常彬	chang bin	1
常明芳	chang ming fang	4
常晓阳	chang xiao yang	5
常红利	chang hong li	2
常远	chang yuan	8
常颖	chang ying	11
干休	gan xiu	25
干宝	gan bao	6
平井理央	ping jing li yang	16
平春	ping chun	3
平步青	ping bu qing	5
平鑫涛	ping xin tao	46
年希尧	nian xi yao	31
年王臣	nian wang chen	3
幼平	you ping	3
广田亮平	guang tian liang ping	19
庄周	zhuang zhou	8
庄山	zhuang shan	5
庄恒	zhuang heng	9
庄昶	zhuang chang	6
庄有恭	zhuang you gong	18
庄泳	zhuang yong	25
庄玉庭	zhuang yu ting	4
庄绶甲	zhuang shou jia	7
庄臻凤	zhuang zhen feng	6
庄蕴宽	zhuang yun kuan	47
庆保	qing bao	24
庆泰	qing tai	6
库尔提斯	ku er ti si	16
库巴拉	ku ba la	27
库里申科	ku li shen ke	15
应云卫	ying yun wei	42
应仁	ying ren	2
应慈	ying ci	21
庞义	pang yi	14
庞人铨	pang ren quan	20
庞会	pang hui	5
庞元济	pang yuan ji	3
庞卫国	pang wei guo	2
庞哲	pang zhe	1
庞德公	pang de gong	42
庞舒	pang shu	5
庞鸿书	pang hong shu	17
庞龙	pang long	28
庶老	shu lao	5
康丁	kang ding	4
康军	kang jun	8
康国平	kang guo ping	4
康子妮	kang zi ni	38
康宗	kang zong	3
康广仁	kang guang ren	43
康建刚	kang jian gang	2
康恺	kang kai	1
康绍镛	kang shao yong	21
康辰	kang chen	6
廖二平	liao er ping	2
廖寅	liao yin	6
廖政国	liao zheng guo	28
廖新波	liao xin bo	11
廖桂永	liao gui yong	5
廖纪	liao ji	23
廖静文	liao jing wen	25
廪人	lin ren	2
延初	yan chu	11
建公	jian gong	11
建婷	jian ting	2
弗兰明	fu lan ming	1
弗尔迈伊	fu er mai yi	2
弗朗西斯培根	fu lang xi si pei gen	1
弗朗西斯科利	fu lang xi si ke li	17
弗格	fu ge	5
张一一	zhang yi yi	23
张一奇	zhang yi qi	3
张一麟	zhang yi lin	4
张世仁	zhang shi ren	1
张世平	zhang shi ping	26
张世贤	zhang shi xian	25
张业	zhang ye	10
张东凯	zhang dong kai	12
张东涛	zhang dong tao	5
张东臣	zhang dong chen	2
张临	zhang lin	5
张丹丹	zhang dan dan	33
张丹露	zhang dan lu	4
张举	zhang ju	7
张乃燕	zhang nai yan	19
张乃耆	zhang nai qi	2
张之翰	zhang zhi han	7
张之象	zhang zhi xiang	7
张乐	zhang le	12
张乐行	zhang le xing	46
张习孔	zhang xi kong	1
张二奎	zhang er kui	14
张云仙	zhang yun xian	3
张云锦	zhang yun jin	1
张云飞	zhang yun fei	5
张云鹤	zhang yun he	1
张五典	zhang wu dian	14
张井	zhang jing	5
张亮基	zhang liang ji	24
张介宾	zhang jie bin	12
张以宁	zhang yi ning	7
张任	zhang ren	6
张休	zhang xiu	3
张会祥	zhang hui xiang	4
张伟平	zhang wei ping	45
张伯声	zhang bo sheng	11
张位	zhang wei	5
张作楠	zhang zuo nan	1
张佩芳	zhang pei fang	5
张佳胤	zhang jia yin	35
张健鹏	zhang jian peng	4
张元举	zhang yuan ju	3
张元忭	zhang yuan bian	22
张元芳	zhang yuan fang	3
张元贞	zhang yuan zhen	3
张兆志	zhang zhao zhi	39
张兆祥	zhang zhao xiang	2
张先	zhang xian	7
张光东	zhang guang dong	2
张光孝	zhang guang xiao	1
张兵	zhang bing	11
张其淦	zhang qi gan	4
张养浩	zhang yang hao	24
张剑荆	zhang jian jing	5
张劭	zhang shao	25
张化麒	zhang hua qi	2
张千里	zhang qian li	11
张华立	zhang hua li	15
张卓	zhang zhuo	9
张南	zhang nan	10
张南庄	zhang nan zhuang	5
张卤	zhang lu	12
张卫	zhang wei	9
张卫平	zhang wei ping	17
张卫星	zhang wei xing	9
张即之	zhang ji zhi	11
张历历	zhang li li	5
张原	zhang yuan	8
张叔明	zhang shu ming	2
张合	zhang he	8
张吉安	zhang ji an	20
张向东	zhang xiang dong	2
张向宁	zhang xiang ning	1
张含英	zhang han ying	36
张员	zhang yuan	4
张和	zhang he	8
张咪	zhang mi	32
张唐英	zhang tang ying	7
张善为	zhang shan wei	47
张嘉谟	zhang jia mo	7
张嘎	zhang ga	8
张国光	zhang guo guang	25
张国凤	zhang guo feng	4
张国忠	zhang guo zhong	31
张国成	zhang guo cheng	17
张国淦	zhang guo gan	42
张均	zhang jun	8
张坤生	zhang kun sheng	9
张坦	zhang tan	4
张埙	zhang xun	4
张士俊	zhang shi jun	8
张士元	zhang shi yuan	7
张夔	zhang kui	25
张大受	zhang da shou	29
张大复	zhang da fu	16
张大煜	zhang da yu	16
张天复	zhang tian fu	8
张天德	zhang tian de	42
张天成	zhang tian cheng	4
张天翼	zhang tian yi	42
张天英	zhang tian ying	2
张天骏	zhang tian jun	5
张奔斗	zhang ben dou	2
张如芝	zhang ru zhi	1
张媛媛	zhang yuan yuan	3
张子俊	zhang zi jun	2
张子清	zhang zi qing	18
张孝祥	zhang xiao xiang	42
张学冬	zhang xue dong	8
张学曾	zhang xue zeng	12
张宗恒	zhang zong heng	3
张宗法	zhang zong fa	1
张宗泰	zhang zong tai	2
张宗海	zhang zong hai	14
张宗祥	zhang zong xiang	28
张宗苍	zhang zong cang	4
张实	zhang shi	7
张宣	zhang xuan	6
张宪	zhang xian	8
张家震	zhang jia zhen	4
张家驹	zhang jia ju	16
张家鹏	zhang jia peng	1
张宾	zhang bin	8
张寒晖	zhang han hui	21
张寰	zhang huan	8
张寿臣	zhang shou chen	43
张寿荣	zhang shou rong	2
张寿镛	zhang shou yong	45
张小倩	zhang xiao qian	4
张小爱	zhang xiao ai	1
张小蓓	zhang xiao bei	1
张小霞	zhang xiao xia	7
张少舫	zhang shao fang	5
张尔岐	zhang er qi	7
张尚	zhang shang	6
张尹	zhang yin	5
张履祥	zhang lv xiang	14
张岳崧	zhang yue song	23
张崟	zhang yin	2
张布	zhang bu	7
张常在	zhang chang zai	17
张年	zhang nian	7
张幼仪	zhang you yi	40
张广天	zhang guang tian	22
张广瑞	zhang guang rui	7
张庆澍	zhang qing shu	1
张庆鹏	zhang qing peng	17
张应奎	zhang ying kui	9
张应文	zhang ying wen	6
张应昌	zhang ying chang	17
张应梅	zhang ying mei	3
张度	zhang du	6
张庭	zhang ting	8
张庭伟	zhang ting wei	5
张延登	zhang yan deng	7
张廷桂	zhang ting gui	5
张廷济	zhang ting ji	15
张建刚	zhang jian gang	4
张弋	zhang yi	1
张弥	zhang mi	5
张弦	zhang xian	48
张弧	zhang hu	10
张弨	zhang chao	4
张强	zhang qiang	13
张当	zhang dang	6
张录	zhang lu	5
张德奎	zhang de kui	2
张德成	zhang de cheng	43
张德纯	zhang de chun	10
张德能	zhang de neng	4
张德芬	zhang de fen	8
张德荣	zhang de rong	16
张德馨	zhang de xin	16
张心悦	zhang xin yue	1
张志宏	zhang zhi hong	28
张志熙	zhang zhi xi	2
张忻	zhang xin	16
张思伦	zhang si lun	2
张思孝	zhang si xiao	2
张恕	zhang shu	29
张恭	zhang gong	4
张恺	zhang kai	48
张悦然	zhang yue ran	24
张惠民	zhang hui min	19
张惠真	zhang hui zhen	2
张慎	zhang shen	35
张慎言	zhang shen yan	31
张戒	zhang jie	3
张承烈	zhang cheng lie	4
张拉拉	zhang la la	2
张振勋	zhang zhen xun	9
张振宗	zhang zhen zong	2
张敦仁	zhang dun ren	17
张文东	zhang wen dong	14
张文治	zhang wen zhi	18
张文泉	zhang wen quan	2
张文灿	zhang wen can	4
张文瑞	zhang wen rui	2
张文盛	zhang wen sheng	4
张文虎	zhang wen hu	42
张文豪	zhang wen hao	5
张文郁	zhang wen yu	14
张斐	zhang fei	16
张新国	zhang xin guo	6
张既	zhang ji	7
张时彻	zhang shi che	31
张旸	zhang yang	7
张昀	zhang yun	5
张昂	zhang ang	7
张昆弟	zhang kun di	46
张明先	zhang ming xian	4
张明忠	zhang ming zhong	1
张明炜	zhang ming wei	3
张昭汉	zhang zhao han	3
张晃	zhang huang	2
张晋福	zhang jin fu	4
张晓平	zhang xiao ping	5
张晓梅	zhang xiao mei	36
张晞	zhang xi	19
张普	zhang pu	7
张景严	zhang jing yan	2
张景中	zhang jing zhong	12
张景山	zhang jing shan	3
张晴	zhang qing	33
张曜孙	zhang yao sun	2
张曼菱	zhang man ling	3
张有清	zhang you qing	1
张朝阳	zhang chao yang	37
张本渝	zhang ben yu	36
张松	zhang song	11
张枝	zhang zhi	3
张柠	zhang ning	7
张栋伟	zhang dong wei	4
张梁	zhang liang	9
张梅	zhang mei	10
张森楷	zhang sen kai	9
张楫如	zhang ji ru	2
张横	zhang heng	6
张正光	zhang zheng guang	15
张毅君	zhang yi jun	20
张民表	zhang min biao	12
张民革	zhang min ge	2
张永立	zhang yong li	4
张汉林	zhang han lin	8
张汝霖	zhang ru lin	48
张江树	zhang jiang shu	20
张江裁	zhang jiang cai	3
张沐	zhang mu	11
张波	zhang bo	13
张泰青	zhang tai qing	3
张泽峰	zhang ze feng	1
张泽群	zhang ze qun	25
张泽钧	zhang ze jun	1
张津	zhang jin	6
张洪伟	zhang hong wei	1
张洲	zhang zhou	6
张洽	zhang qia	39
张济	zhang ji	7
张浩宇	zhang hao yu	2
张海迪	zhang hai di	47
张润	zhang run	7
张润之	zhang run zhi	2
张淦	zhang gan	47
张渥	zhang wo	5
张湄	zhang mei	15
张潜	zhang qian	40
张澜澜	zhang lan lan	26
张灼	zhang zhuo	45
张炤	zhang zhao	7
张焱	zhang yan	8
张燕	zhang yan	12
张爽	zhang shuang	28
张特	zhang te	6
张玉书	zhang yu shu	45
张玉娘	zhang yu niang	9
张现伟	zhang xian wei	3
张玲玲	zhang ling ling	7
张珪	zhang gui	21
张球	zhang qiu	4
张琼文	zhang qiong wen	22
张瑜平	zhang yu ping	3
张瑞图	zhang rui tu	37
张瑞敏	zhang rui min	35
张申	zhang shen	7
张申宏	zhang shen hong	4
张百龄	zhang bai ling	7
张皋	zhang gao	18
张相文	zhang xiang wen	24
张眉孙	zhang mei sun	3
张石	zhang shi	10
张确	zhang que	3
张祖同	zhang zu tong	5
张祖翼	zhang zu yi	9
张祖谅	zhang zu liang	15
张祖辉	zhang zu hui	3
张祥云	zhang xiang yun	1
张祥河	zhang xiang he	4
张秀英	zhang xiu ying	15
张秋人	zhang qiu ren	39
张穆	zhang mu	6
张立松	zhang li song	5
张立群	zhang li qun	29
张笃庆	zhang du qing	4
张符	zhang fu	6
张籍	zhang ji	6
张约	zhang yue	8
张纯修	zhang chun xiu	5
张绅	zhang shen	14
张绍祖	zhang shao zu	7
张统	zhang tong	5
张继军	zhang ji jun	2
张绳武	zhang sheng wu	1
张维仁	zhang wei ren	5
张维华	zhang wei hua	8
张维屏	zhang wei ping	32
张维迎	zhang wei ying	41
张羽材	zhang yu cai	2
张翥	zhang zhu	24
张翼翔	zhang yi xiang	47
张耀翔	zhang yao xiang	8
张聿光	zhang yu guang	15
张肇金	zhang zhao jin	2
张自德	zhang zi de	2
张致中	zhang zhi zhong	3
张舒涵	zhang shu han	8
张节	zhang jie	5
张芾	zhang fu	34
张若澄	zhang ruo cheng	8
张若虚	zhang ruo xu	26
张范	zhang fan	7
张荣明	zhang rong ming	5
张莉	zhang li	13
张蔚华	zhang wei hua	24
张虎	zhang hu	11
张行孚	zhang xing fu	2
张行简	zhang xing jian	9
张裔	zhang yi	3
张裕钊	zhang yu zhao	26
张角	zhang jue	6
张誉	zhang yu	17
张让	zhang rang	9
张训	zhang xun	6
张诗	zhang shi	6
张诩	zhang xu	12
张说	zhang yue	9
张谞行	zhang xu xing	3
张谨	zhang jin	15
张象	zhang xiang	4
张贞观	zhang zhen guan	7
张贤亮	zhang xian liang	38
张贵人	zhang gui ren	25
张轨	zhang gui	2
张载	zhang zai	9
张迪哲	zhang di zhe	2
张适	zhang shi	10
张逊	zhang xun	6
张遂	zhang sui	6
张道中	zhang dao zhong	2
张道真	zhang dao zhen	5
张邦基	zhang bang ji	5
张邵刚	zhang shao gang	2
张金吾	zhang jin wu	13
张金枝	zhang jin zhi	1
张鋆	zhang yun	9
张铁英	zhang tie ying	7
张锡兰	zhang xi lan	2
张锦芳	zhang jin fang	24
张镜心	zhang jing xin	8
张长城	zhang chang cheng	13
张阳德	zhang yang de	1
张际亮	zhang ji liang	9
张际鹏	zhang ji peng	18
张陵	zhang ling	7
张雄	zhang xiong	10
张雨森	zhang yu sen	2
张雪中	zhang xue zhong	40
张雪松	zhang xue song	5
张静东	zhang jing dong	2
张韬	zhang tao	39
张音	zhang yin	5
张颌	zhang he	1
张颐	zhang yi	31
张颐武	zhang yi wu	23
张颖洁	zhang ying jie	5
张飞飞	zhang fei fei	1
张骁	zhang xiao	13
张骏祥	zhang jun xiang	28
张鲜堂	zhang xian tang	2
张鸣珂	zhang ming ke	13
张鸿烈	zhang hong lie	35
张鹏翀	zhang peng chong	13
张鹏翔	zhang peng xiang	16
张鹏翼	zhang peng yi	37
张鼐	zhang nai	29
张龑	zhang yan	7
张龙德	zhang long de	1
弥海砂	mi hai sha	29
归庄	gui zhuang	34
彭丹	peng dan	46
彭任	peng ren	3
彭伯	peng bo	40
彭光谦	peng guang qian	9
彭加木	peng jia mu	42
彭启丰	peng qi feng	10
彭和	peng he	7
彭壁生	peng bi sheng	5
彭士量	peng shi liang	25
彭孙贻	peng sun yi	21
彭孙遹	peng sun yu	24
彭安	peng an	4
彭定求	peng ding qiu	18
彭家煌	peng jia huang	6
彭家珍	peng jia zhen	48
彭小枫	peng xiao feng	24
彭师度	peng shi du	2
彭平之	peng ping zhi	3
彭年	peng nian	9
彭志强	peng zhi qiang	3
彭春霞	peng chun xia	4
彭昱尧	peng yu yao	2
彭杰如	peng jie ru	25
彭泰来	peng tai lai	2
彭烈	peng lie	5
彭珑	peng long	3
彭睿	peng rui	19
彭立尧	peng li yao	25
彭端淑	peng duan shu	14
彭绍升	peng shao sheng	11
彭翼仲	peng yi zhong	26
彭荃	peng quan	36
彭莉	peng li	12
彭葵	peng kui	3
彭蕴章	peng yun zhang	31
彭进	peng jin	20
彭道儒	peng dao ru	6
彭遵泗	peng zun si	12
彭龟年	peng gui nian	16
影木荣贵	ying mu rong gui	18
彼什科夫	bi shen ke fu	6
彼得梅尔	bi de mei er	2
很北	hen bei	4
徐上瀛	xu shang ying	8
徐世刚	xu shi gang	3
徐中约	xu zhong yue	23
徐中雄	xu zhong xiong	36
徐乃昌	xu nai chang	15
徐之明	xu zhi ming	2
徐云志	xu yun zhi	6
徐仁铸	xu ren zhu	11
徐令	xu ling	4
徐以升	xu yi sheng	2
徐俐	xu li	14
徐元文	xu yuan wen	42
徐兢	xu jing	22
徐勋	xu xun	7
徐卓	xu zhuo	35
徐县	xu xian	3
徐名世	xu ming shi	2
徐启明	xu qi ming	24
徐商	xu shang	4
徐嘉瑞	xu jia rui	17
徐国麟	xu guo lin	2
徐士林	xu shi lin	4
徐大椿	xu da chun	11
徐天利	xu tian li	4
徐天红	xu tian hong	35
徐婷	xu ting	5
徐媛媛	xu yuan yuan	5
徐子苓	xu zi ling	5
徐存	xu cun	18
徐守铭	xu shou ming	2
徐宗亮	xu zong liang	5
徐宗浩	xu zong hao	4
徐宝璜	xu bao huang	19
徐家驹	xu jia ju	3
徐小平	xu xiao ping	26
徐尚	xu shang	3
徐师曾	xu shi zeng	6
徐应明	xu ying ming	3
徐彪	xu biao	17
徐必达	xu bi da	16
徐志勋	xu zhi xun	3
徐念慈	xu nian ci	4
徐懋庸	xu mao yong	21
徐承东	xu cheng dong	2
徐文惠	xu wen hui	6
徐文烈	xu wen lie	42
徐文靖	xu wen jing	5
徐方	xu fang	7
徐无	xu wu	2
徐时栋	xu shi dong	17
徐昉	xu fang	6
徐星友	xu xing you	19
徐景达	xu jing da	17
徐本禹	xu ben yu	15
徐枋	xu fang	17
徐枢	xu shu	1
徐柏龄	xu bai ling	9
徐柱	xu zhu	6
徐柳	xu liu	43
徐桢立	xu zhen li	1
徐樾	xu yue	14
徐步云	xu bu yun	9
徐泓	xu hong	19
徐泰	xu tai	4
徐洋	xu yang	31
徐涵	xu han	5
徐溶	xu rong	3
徐滇庆	xu dian qing	3
徐澄	xu cheng	18
徐炼	xu lian	2
徐焕升	xu huan sheng	30
徐焕斗	xu huan dou	2
徐焕然	xu huan ran	2
徐焰	xu yan	9
徐猛	xu meng	1
徐玑	xu ji	9
徐玫	xu mei	13
徐珊	xu shan	7
徐百卉	xu bai hui	28
徐秉义	xu bing yi	12
徐筠	xu yun	26
徐红	xu hong	9
徐继畲	xu ji she	20
徐翊	xu yi	19
徐自华	xu zi hua	42
徐自明	xu zi ming	2
徐舫	xu fang	4
徐艳	xu yan	7
徐茂公	xu mao gong	15
徐葆光	xu bao guang	44
徐行可	xu xing ke	3
徐质	xu zhi	24
徐贲	xu ben	32
徐超	xu chao	13
徐达源	xu da yuan	1
徐迟	xu chi	39
徐邦	xu bang	4
徐采	xu cai	16
徐鉴	xu jian	23
徐钰	xu yu	19
徐铸成	xu zhu cheng	37
徐问	xu wen	3
徐隆	xu long	3
徐霈	xu pei	2
徐颖	xu ying	13
徐颢菲	xu hao fei	1
徐鹤	xu he	12
徐鼎	xu ding	41
徐鼒	xu zi	26
德利马	de li ma	24
德昂	de ang	7
德止	de zhi	2
德祐	de you	6
德谟克里特	de mo ke li te	5
德重聪	de zhong cong	11
忌野清志郎	ji ye qing zhi lang	25
念常	nian chang	8
忽必来	hu bi lai	20
忽那汐里	hu na xi li	46
忽雷驳	hu lei bo	2
怀海	huai hai	4
怀贤	huai xian	6
恒文	heng wen	4
恩锡	en xi	2
恭小兵	gong xiao bing	4
恶逆	e ni	30
恽寿平	yun shou ping	46
恽毓鼎	yun yu ding	30
恽逸群	yun yi qun	39
恽道生	yun dao sheng	2
惠士奇	hui shi qi	20
惠夫	hui fu	2
慈明	ci ming	3
慕中华	mu zhong hua	2
慕容儁	mu rong jun	2
慕容德	mu rong de	3
慕容暐	mu rong wei	4
慕容部	mu rong bu	3
慕容雪村	mu rong xue cun	40
慧南	hui nan	2
慧能	hui neng	8
戈尔德施密特	ge er de shi mi te	35
戈汕	ge shan	1
戈涛	ge tao	4
戈耶切亚	ge ye qie ya	5
成乐	cheng le	11
成兆才	cheng zhao cai	15
成光	cheng guang	8
成妃	cheng fei	2
成宜	cheng yi	7
成岭	cheng ling	4
成平	cheng ping	7
成廉	cheng lian	19
成无己	cheng wu ji	9
成昌	cheng chang	5
成泰燊	cheng tai shen	24
成济	cheng ji	5
成纪	cheng ji	6
成贵妃	cheng gui fei	27
成阳	cheng yang	6
戚海燕	qi hai yan	2
戚迹	qi ji	24
戴严	dai yan	1
戴仁	dai ren	4
戴光洁	dai guang jie	2
戴军	dai jun	10
戴叔伦	dai shu lun	29
戴名世	dai ming shi	38
戴员	dai yuan	3
戴均元	dai jun yuan	27
戴复古	dai fu gu	25
戴学峰	dai xue feng	1
戴忠仁	dai zhong ren	38
戴明说	dai ming shuo	6
戴晓微	dai xiao wei	2
戴浩	dai hao	31
戴熙	dai xi	27
戴爱莲	dai ai lian	32
戴睿	dai rui	5
戴礼	dai li	3
戴经	dai jing	3
戴维逊	dai wei xun	14
戴聪	dai cong	2
戴艺	dai yi	4
戴芳澜	dai fang lan	19
戴荣	dai rong	21
戴衢亨	dai qu heng	24
戴表元	dai biao yuan	14
戴谦	dai qian	14
戴进	dai jin	5
戴钧衡	dai jun heng	5
戴鹏飞	dai peng fei	5
户川纯	hu chuan chun	3
房思瑜	fang si yu	47
房龙	fang long	7
手塚治虫	shou zhong zhi chong	4
手岛优	shou dao you	10
才溢	cai yi	3
扎加洛	zha jia luo	42
托帕洛夫	tuo pa luo fu	45
托浑布	tuo hun bu	10
托马斯杰佛逊	tuo ma si jie fo xun	4
托马斯莫尔	tuo ma si mo er	2
执讯	zhi xun	1
承衣	cheng yi	4
押尾学	ya wei xue	15
拉德布鲁赫	la de bu lu he	43
拉罗什福科	la luo shi fu ke	4
拉西德	la xi de	14
拔都	ba du	4
招子庸	zhao zi yong	28
拳毛騧	quan mao gua	4
掌书	zhang shu	2
掾吏	yuan li	23
揆一	kui yi	5
揆叙	kui xu	36
摩索拉斯	mo suo la si	46
改琦	gai qi	10
放勋	fang xun	3
敖英	ao ying	4
敖陶孙	ao tao sun	10
文丑	wen chou	6
文仪	wen yi	5
文伯仁	wen bo ren	1
文则	wen ze	8
文台	wen tai	5
文同	wen tong	7
文姬	wen ji	6
文幼章	wen you zhang	36
文彭	wen peng	5
文徵明	wen zheng ming	8
文怀沙	wen huai sha	28
文晸赫	wen zheng he	35
文沛然	wen pei ran	15
文泰来	wen tai lai	36
文洪	wen hong	5
文淑	wen shu	3
文点	wen dian	5
文然	wen ran	3
文若	wen ruo	7
文谦	wen qian	4
文震亨	wen zhen heng	46
斋藤千穗	zhai teng qian sui	2
斋藤步	zhai teng bu	9
斯卡罗尼	si ka luo ni	2
斯基拉奇	si ji la qi	48
斯塔夫里阿诺斯	si ta fu li a nuo si	17
斯塔比尔	si ta bi er	4
斯托伊奇科夫	si tuo yi qi ke fu	25
斯琴塔日哈	si qin ta ri ha	6
斯琴格日乐	si qin ge ri le	16
斯维德伯格	si wei de bo ge	15
斯维德勒	si wei de le	34
斯行健	si xing jian	10
新息	xin xi	3
新贵人	xin gui ren	27
方东树	fang dong shu	38
方伯谦	fang bo qian	49
方元	fang yuan	8
方凤	fang feng	4
方刚	fang gang	10
方功惠	fang gong hui	2
方叔洪	fang shu hong	21
方哲	fang zhe	21
方回	fang hui	7
方国栋	fang guo dong	7
方士庶	fang shi shu	1
方夏	fang xia	6
方夔	fang kui	1
方天丰	fang tian feng	8
方奇	fang qi	7
方婉仪	fang wan yi	4
方孝儒	fang xiao ru	15
方孝标	fang xiao biao	18
方寿	fang shou	4
方峻	fang jun	11
方延平	fang yan ping	2
方悦	fang yue	17
方成培	fang cheng pei	6
方扬	fang yang	9
方捷	fang jie	8
方新	fang xin	10
方朝	fang chao	5
方梅	fang mei	6
方槐	fang huai	11
方殿元	fang dian yuan	3
方泉	fang quan	6
方浚颐	fang jun yi	5
方淦	fang gan	1
方熊	fang xiong	3
方玉润	fang yu run	17
方珍	fang zhen	4
方登峄	fang deng yi	8
方纪	fang ji	5
方肇	fang zhao	34
方薰	fang xun	13
方观	fang guan	3
方观承	fang guan cheng	20
方钧	fang jun	4
方靖	fang jing	36
方鼎英	fang ding ying	48
於梨华	yu li hua	19
施世明	shi shi ming	10
施北衡	shi bei heng	17
施发	shi fa	5
施士洁	shi shi jie	15
施子清	shi zi qing	34
施宜生	shi yi sheng	25
施小墨	shi xiao mo	3
施忠	shi zhong	8
施源	shi yuan	28
施炎	shi yan	1
施瑞伯	shi rui bo	3
施达	shi da	5
无强	wu qiang	5
日御	ri yu	5
日章	ri zhang	7
时大彬	shi da bin	11
时寒冰	shi han bing	16
昆体良	kun ti liang	11
昇明	sheng ming	2
明中	ming zhong	8
明升	ming sheng	5
明叔亮	ming shu liang	3
明怀	ming huai	3
易军	yi jun	9
易君左	yi jun zuo	35
易安华	yi an hua	21
易宪容	yi xian rong	7
易慧	yi hui	12
易王	yi wang	3
易立	yi li	38
易茗	yi ming	18
易顺鼎	yi shun ding	22
星瀚	xing han	11
星野亚希	xing ye ya xi	27
显道	xian dao	4
晁衡	chao heng	38
晋厉侯	jin li hou	5
晋哀侯	jin ai hou	39
晋孝侯	jin xiao hou	15
晋成侯	jin cheng hou	6
晋林波	jin lin bo	4
晋武侯	jin wu hou	6
晋烈公	jin lie gong	23
晋献侯	jin xian hou	8
晋穆侯	jin mu hou	37
晋靖侯	jin jing hou	12
晋静公	jin jing gong	15
晋顷公	jin qing gong	34
晏安澜	yan an lan	8
晏明	yan ming	15
晨凫	chen fu	1
晨岚	chen lan	3
普里戈金	pu li ge jin	7
普雷格尔	pu lei ge er	9
景元	jing yuan	5
景初	jing chu	5
景学义	jing xue yi	3
景岗山	jing gang shan	21
景焕	jing huan	13
景王	jing wang	5
智永	zhi yong	5
智融	zhi rong	8
曲向东	qu xiang dong	7
曲梁	qu liang	6
曲波	qu bo	9
曲阿	qu e	4
曹中铭	cao zhong ming	8
曹丹丹	cao dan dan	5
曹仁虎	cao ren hu	20
曹侃	cao kan	4
曹元忠	cao yuan zhong	36
曹元恒	cao yuan heng	7
曹克明	cao ke ming	15
曹叔	cao shu	35
曹喜蛙	cao xi wa	4
曹均	cao jun	4
曹增辉	cao zeng hui	7
曹大元	cao da yuan	40
曹大章	cao da zhang	5
曹子建	cao zi jian	40
曹孟德	cao meng de	35
曹学	cao xue	6
曹寇	cao kou	5
曹岳	cao yue	4
曹崧	cao song	8
曹建海	cao jian hai	10
曹征	cao zheng	23
曹德	cao de	4
曹性	cao xing	3
曹恒	cao heng	17
曹日晖	cao ri hui	8
曹时中	cao shi zhong	5
曹显兵	cao xian bing	3
曹景行	cao jing xing	17
曹曦文	cao xi wen	34
曹曾	cao zeng	5
曹本荣	cao ben rong	5
曹枫	cao feng	3
曹森	cao sen	5
曹泰	cao tai	4
曹润堂	cao run tang	2
曹湘	cao xiang	25
曹溶	cao rong	26
曹熊	cao xiong	33
曹燕	cao yan	30
曹燕华	cao yan hua	21
曹珏	cao jue	2
曹申吉	cao shen ji	14
曹盛洁	cao sheng jie	3
曹真	cao zhen	6
曹秀先	cao xiu xian	10
曹素功	cao su gong	7
曹羲	cao xi	35
曹节	cao jie	4
曹虹	cao hong	14
曹训	cao xun	19
曹豹	cao bao	46
曹辅	cao fu	16
曹远征	cao yuan zheng	2
曹鉴	cao jian	41
曹鉴冰	cao jian bing	2
曹铭	cao ming	34
曹锡宝	cao xi bao	12
曹锡璜	cao xi huang	2
曹阿瞒	cao a man	6
曹霖	cao lin	24
曹霸	cao ba	27
曹鸿勋	cao hong xun	13
曼施泰因	man shi tai yin	20
曼柏	man bai	2
曾万钟	zeng wan zhong	30
曾世荣	zeng shi rong	8
曾业辉	zeng ye hui	4
曾乔	zeng qiao	4
曾习经	zeng xi jing	32
曾会明	zeng hui ming	4
曾兰芳	zeng lan fang	3
曾凤仪	zeng feng yi	4
曾勉	zeng mian	12
曾参	zeng shen	6
曾士峨	zeng shi e	6
曾子	zeng zi	9
曾子航	zeng zi hang	1
曾孝谷	zeng xiao gu	4
曾宝荪	zeng bao sun	25
曾宣	zeng xuan	3
曾宪锋	zeng xian feng	3
曾庆祝	zeng qing zhu	5
曾廉	zeng lian	3
曾建徽	zeng jian hui	18
曾懿	zeng yi	3
曾春华	zeng chun hua	4
曾朴	zeng pu	5
曾瀞漪	zeng jing yi	8
曾灿	zeng can	20
曾灿灯	zeng can deng	3
曾炜	zeng wei	11
曾炳权	zeng bing quan	3
曾玲	zeng ling	7
