# 微明领域词库：历史人物，由 glimmer-dict-convert lexicon 从 THUOCL 拆出，基础词库里没有的部分。词	音节	词频
余轩朗	yu xuan lang	2
余阙	yu que	25
余集	yu ji	8
余青	yu qing	27
余韶	yu shao	15
余鹏	yu peng	19
佟大中	tong da zhong	2
佟岩	tong yan	3
佟韦	tong wei	8
侯伟	hou wei	23
侯克中	hou ke zhong	2
侯卫东	hou wei dong	7
侯咏	hou yong	17
侯宁	hou ning	5
侯度	hou du	6
侯成	hou cheng	6
侯振宇	hou zhen yu	9
侯晓军	hou xiao jun	3
侯梁	hou liang	3
侯湘婷	hou xiang ting	31
侯炜	hou wei	1
侯玉山	hou yu shan	2
侯相	hou xiang	3
侯祥麟	hou xiang lin	15
侯耀华	hou yao hua	31
侯耀文	hou yao wen	44
侯自强	hou zi qiang	2
侯野	hou ye	3
侯鹄	hou hu	2
保巴	bao ba	2
保罗艾伦	bao luo ai lun	4
保辜	bao gu	2
保阪尚希	bao ban shang xi	2
俞万春	yu wan chun	19
俞云	yu yun	26
俞佳	yu jia	5
俞兆晟	yu zhao sheng	12
俞力工	yu li gong	7
俞和	yu he	6
俞培	yu pei	3
俞山	yu shan	3
俞弁	yu bian	1
俞明震	yu ming zhen	49
俞松	yu song	7
俞正燮	yu zheng xie	30
俞琬	yu wan	3
俞莹	yu ying	1
俞蛟	yu jiao	5
信世昌	xin shi chang	2
修仪	xiu yi	3
修华	xiu hua	5
修庆	xiu qing	4
修文馆	xiu wen guan	38
倓虚	tan xu	29
倪一膺	ni yi ying	2
倪华	ni hua	19
倪洪章	ni hong zhang	3
倪田	ni tian	2
倪睿思	ni rui si	10
倪虹洁	ni hong jie	36
倪蜕	ni tui	9
倪超	ni chao	5
倪鸿	ni hong	4
假相国	jia xiang guo	3
傅云龙	fu yun long	22
傅亨	fu heng	8
傅以渐	fu yi jian	12
傅佥	fu qian	31
傅佩荣	fu pei rong	47
傅光宅	fu guang zhai	1
傅国栋	fu guo dong	3
傅山	fu shan	9
傅彪	fu biao	40
傅惜华	fu xi hua	5
傅瀚	fu han	9
傅熊湘	fu xiong xiang	5
傅瑜	fu yu	4
傅眉	fu mei	2
傅阳	fu yang	21
傅鹰	fu ying	34
储光羲	chu guang xi	34
储巏	chu quan	9
僰道	bo dao	44
儒勒斯	ru le si	1
兀突骨	wu tu gu	25
允才	yun cai	2
允若	yun ruo	33
元作	yuan zuo	10
元公	yuan gong	4
元宏	yuan hong	5
元宗	yuan zong	5
元廓	yuan kuo	12
元恭	yuan gong	3
元文宗图帖睦尔	yuan wen zong tu tie mu er	31
元泰	yuan tai	7
元淮	yuan huai	9
元猫	yuan mao	2
元秋	yuan qiu	7
元结	yuan jie	6
元脩	yuan xiu	2
元让	yuan rang	11
元钦	yuan qin	3
光初	guang chu	3
光定	guang ding	4
克劳斯施瓦布	ke lao si shi wa bu	3
克尔凯戈尔	ke er kai ge er	4
克新	ke xin	6
克里斯托弗哥伦布	ke li si tuo fu ge lun bu	2
党国英	dang guo ying	1
党国蕾	dang guo lei	5
党均	dang jun	9
党宁	dang ning	4
党成	dang cheng	7
入江直树	ru jiang zhi shu	28
入江纱绫	ru jiang sha ling	8
全勇先	quan yong xian	8
全尚	quan shang	4
全度妍	quan du yan	5
全汉升	quan han sheng	24
全端	quan duan	6
八代亚纪	ba dai ya ji	25
公刘	gong liu	6
公台	gong tai	4
公孙恭	gong sun gong	32
