# 微明基础词库，由 glimmer-dict-convert lexicon 生成。词	音节	词频
# 来源：通用规范汉字表（8105 字）；现代汉语常用词表（liuxilu 校对版）；THUOCL 领域词（MIT，清华大学自然语言处理实验室）；补充常用词（common_words.tsv，白名单 CC-CEDICT CC BY-SA 4.0 与 jieba 词表 MIT，人工审）；
# 读音：Unihan（Unicode License）+ LLM 标注多音字词；词频：微明自己的语料统计（中文维基 CC BY-SA 4.0、LCCC MIT）。
月老	yue lao	599
月至	yue zhi	33174
月色	yue se	565
月薪	yue xin	974
月读	yue du	633
月赐	yue ci	67
月轮	yue lun	219
月辞	yue ci	44
月辞任	yue ci ren	506
月钱	yue qian	44
月间	yue jian	5865
月食	yue shi	3603
月饼	yue bing	6964
月黑天	yue hei tian	3
月黑风高	yue hei feng gao	177
有	you	2881547
有一个	you yi ge	43505
有一天	you yi tian	2978
有一套	you yi tao	1039
有一手	you yi shou	139
有一次	you yi ci	5741
有一点	you yi dian	3198
有一种	you yi zhong	9103
有一说一	you yi shuo yi	2000
有丝分裂	you si fen lie	447
有两下子	you liang xia zi	15
有两个	you liang ge	14027
有个	you ge	38678
有个人	you ge ren	2944
有为	you wei	1999
有了	you le	31670
有事	you shi	9012
有些	you xie	68495
有些人	you xie ren	10216
有人	you ren	86097
有人家儿	you ren jia er	41
有人要	you ren yao	2175
有人说	you ren shuo	6102
有什么	you shen me	40178
有什么好	you shen me hao	632
有什么用	you shen me yong	206
有仇	you chou	500
有价值	you jia zhi	5089
有价证券	you jia zheng quan	276
有份	you fen	1820
有伤风化	you shang feng hua	76
有余	you yu	1235
有你们	you ni men	2457
有你的	you ni de	3142
有偿	you chang	709
有偿新闻	you chang xin wen	24
有关	you guan	87739
有关系	you guan xi	4183
有关规定	you guan gui ding	861
有关部门	you guan bu men	2609
有兴趣	you xing qu	5150
有内味了	you nei wei le	200
有冈大贵	you gang da gui	130
有几个	you ji ge	5688
有利	you li	6237
有利于	you li yu	4274
有利可图	you li ke tu	398
有利有弊	you li you bi	124
有别	you bie	4323
有力	you li	5278
有功	you gong	4531
有助于	you zhu yu	6787
有劲	you jin	511
有劳	you lao	132
有勇无谋	you yong wu mou	75
有勇有谋	you yong you mou	58
有变	you bian	775
有口无心	you kou wu xin	2
有口皆碑	you kou jie bei	37
有口难辩	you kou nan bian	11
有可能	you ke neng	29086
有史以来	you shi yi lai	4749
有名	you ming	10302
有名无实	you ming wu shi	260
有向图	you xiang tu	244
有向无环图	you xiang wu huan tu	109
有味儿	you wei er	120
有啊	you a	11791
有啥	you sha	13231
有喜	you xi	829
有喜欢	you xi huan	2326
有型	you xing	993
有增无减	you zeng wu jian	199
有声	you sheng	2508
有声有色	you sheng you se	89
有声读物	you sheng du wu	116
有备无患	you bei wu huan	112
有多	you duo	35807
有多少	you duo shao	7197
有头屑	you tou xie	2158
有头有尾	you tou you wei	20
有头有脸	you tou you lian	55
有头脑	you tou nao	143
有奖	you jiang	810
有奖销售	you jiang xiao shou	3
有女朋友	you nv peng you	3837
有奶便是娘	you nai bian shi niang	2
有好多	you hao duo	4664
有如	you ru	3545
有始无终	you shi wu zhong	47
有始有终	you shi you zhong	140
有害	you hai	3895
有对象	you dui xiang	3582
有希望	you xi wang	2953
有年	you nian	666
有幸	you xing	1034
有序	you xu	2437
有底	you di	218
有形	you xing	2068
有待	you dai	2640
有很多	you hen duo	4005
有得	you de	2755
有心	you xin	3164
有心人	you xin ren	518
有心无力	you xin wu li	247
有必要	you bi yao	4992
有志之士	you zhi zhi shi	97
有志者事竟成	you zhi zhe shi jing cheng	83
有性生殖	you xing sheng zhi	350
有恃无恐	you shi wu kong	245
有恒	you heng	293
有悖于	you bei yu	106
有情	you qing	1923
有情人	you qing ren	1015
有惊喜	you jing xi	3891
有意	you yi	8586
有意义	you yi yi	4336
有意思	you yi si	9873
有意无意	you yi wu yi	221
有意识	you yi shi	952
有感	you gan	3167
有感觉	you gan jue	3634
有愧	you kui	237
有戏	you xi	743
有成	you cheng	990
有所	you suo	33118
有所作为	you suo zuo wei	198
有所顾忌	you suo gu ji	92
有损于	you sun yu	50
有损压缩	you sun ya suo	115
有据	you ju	582
有故事	you gu shi	4163
有效	you xiao	40529
有效位	you xiao wei	101
有效数字	you xiao shu zi	141
有效期	you xiao qi	1744
有救	you jiu	330
有教无类	you jiao wu lei	92
有数	you shu	4885
有文化	you wen hua	2559
有料	you liao	336
有方	you fang	673
有无	you wu	3521
有日子	you ri zi	78
有时	you shi	43231
有时候	you shi hou	23873
有时间	you shi jian	18680
有时间吗	you shi jian ma	34
有朋友	you peng you	2146
有朋自远方来	you peng zi yuan fang lai	96
有望	you wang	2146
有朝一日	you zhao yi ri	559
有期徒刑	you qi tu xing	6445
有木有	you mu you	8321
有本事	you ben shi	4155
有机	you ji	15079
有机会	you ji hui	27195
有机会的	you ji hui de	1278
有机体	you ji ti	610
有机化学	you ji hua xue	2069
有机可乘	you ji ke cheng	205
有机物	you ji wu	1630
有机玻璃	you ji bo li	99
有机磷	you ji lin	271
有机肥	you ji fei	53
有机锡	you ji xi	99
有机食品	you ji shi pin	113
有条不紊	you tiao bu wen	186
有板有眼	you ban you yan	21
有染	you ran	494
有样学样	you yang xue yang	62
有棱有角	you leng you jiao	56
有毒	you du	9274
有毒鱼类	you du yu lei	134
有气	you qi	233
有气无力	you qi wu li	59
有气质	you qi zhi	2502
有氧	you yang	1358
有氧运动	you yang yun dong	342
有求必应	you qiu bi ying	239
有没有	you mei you	53939
有没有人	you mei you ren	966
有点	you dian	117190
有点东西	you dian dong xi	81
有点像	you dian xiang	4567
有点儿	you dian er	3394
有点冷	you dian leng	2034
有点多	you dian duo	2288
有点小	you dian xiao	3243
有点慌	you dian huang	380
有点懵	you dian meng	261
有点难	you dian nan	1389
有理	you li	4338
有生	you sheng	525
有生之年	you sheng zhi nian	1222
有生以来	you sheng yi lai	103
有生力量	you sheng li liang	175
有用	you yong	11742
有男朋友	you nan peng you	4589
有界性	you jie xing	55
有病	you bing	6859
有的	you de	59020
有的人	you de ren	677
有的放矢	you di fang shi	8
有的是	you de shi	2320
有益	you yi	2529
有目共睹	you mu gong du	318
有盼	you pan	6
有眉目	you mei mu	47
有眼不识泰山	you yan bu shi tai shan	36
有眼光	you yan guang	3137
有眼无珠	you yan wu zhu	64
有着	you zhe	14506
有碍	you ai	214
有礼	you li	911
有礼貌	you li mao	1033
有神	you shen	1124
有福同享	you fu tong xiang	107
有种	you zhong	11839
有空	you kong	25787
有空儿	you kong er	4
有空吗	you kong ma	497
有章可循	you zhang ke xun	3
有纪	you ji	450
有线	you xian	6306
有线广播	you xian guang bo	269
有线电视	you xian dian shi	7419
有线电视台	you xian dian shi tai	544
有缘	you yuan	5201
有缘千里来相会	you yuan qian li lai xiang hui	252
有胆有识	you dan you shi	9
有能力	you neng li	4561
有脸	you lian	695
有自己	you zi ji	7795
有自己的	you zi ji de	1804
有色人种	you se ren zhong	864
有色眼镜	you se yan jing	30
有色金属	you se jin shu	707
有若	you ruo	155
有血有肉	you xue you rou	196
有袋类	you dai lei	202
有袋类动物	you dai lei dong wu	53
有言在先	you yan zai xian	10
有识	you shi	182
有识之士	you shi zhi shi	208
有说有笑	you shuo you xiao	85
有请	you qing	416
有谱儿	you pu er	4
有责	you ze	420
有资格	you zi ge	3385
有赖	you lai	250
有赖于	you lai yu	203
有趣	you qu	13911
有趣的	you qu de	6361
有蹄类	you ti lei	256
有车	you che	2028
有轨电车	you gui dian che	5940
有辙	you zhe	2
有过之而无不及	you guo zhi er wu bu ji	179
有这个	you zhe ge	5281
有这么	you zhe me	9616
有这样	you zhe yang	4113
有这样的	you zhe yang de	1042
有这种	you zhe zhong	4293
有道理	you dao li	13103
有道词典	you dao ci dian	54
有那么	you na me	11017
有那么多	you na me duo	1565
有鉴于此	you jian yu ci	404
有钱	you qian	34705
有钱了	you qian le	2197
有钱人	you qian ren	6011
有钱有势	you qian you shi	94
有钱的	you qian de	2708
有钱能使鬼推磨	you qian neng shi gui tui mo	67
有门儿	you men er	2
有问必答	you wen bi da	78
有问题	you wen ti	11209
有闲	you xian	460
有闻必录	you wen bi lu	4
有限	you xian	20592
有限元	you xian yuan	157
有限公司	you xian gong si	64955
有限状态	you xian zhuang tai	145
有限状态机	you xian zhuang tai ji	138
有限责任公司	you xian ze ren gong si	5134
有限责任合伙	you xian ze ren he huo	59
有隙可乘	you xi ke cheng	15
有零	you ling	96
有顷	you qing	10
有鬼	you gui	927
有魅力	you mei li	2080
朋	peng	7074
朋克	peng ke	2020
朋党	peng dang	437
朋友	peng you	153847
朋友了	peng you le	2753
朋友们	peng you men	4339
朋友吧	peng you ba	2110
朋友圈	peng you quan	10294
朋友的	peng you de	7026
朋友说	peng you shuo	2850
朋哥	peng ge	242
朋比为奸	peng bi wei jian	15
朋辈	peng bei	70
服	fu	40746
服丧	fu sang	677
服了	fu le	3842
服人	fu ren	63
服从	fu cong	5401
服众	fu zhong	107
服侍	fu shi	1453
服刑	fu xing	2497
服务	fu wu	166255
服务业	fu wu ye	3216
服务中心	fu wu zhong xin	6074
服务台	fu wu tai	441
服务合同	fu wu he tong	79
服务员	fu wu yuan	3746
服务器	fu wu qi	7634
服务器端	fu wu qi duan	319
服务器软件	fu wu qi ruan jian	91
服务提供者	fu wu ti gong zhe	353
服务生	fu wu sheng	932
服务端	fu wu duan	221
服务质量	fu wu zhi liang	277
服员	fu yuan	7
服器	fu qi	6
服帖	fu tie	164
服式	fu shi	43
服役	fu yi	21734
服毒	fu du	500
服气	fu qi	3386
服用	fu yong	4517
服罪	fu zui	78
服老	fu lao	155
服膺	fu ying	174
服色	fu se	124
服药	fu yao	824
服装	fu zhuang	19704
服装厂	fu zhuang chang	125
服装市场	fu zhuang shi chang	54
服装师	fu zhuang shi	91
服软	fu ruan	77
服输	fu shu	699
服部半藏	fu bu ban zang	131
服阕	fu que	709
服饰	fu shi	7410
朏	fei	179
朐	qu	367
朓	tiao	162
朔	shuo	6111
朔县	shuo xian	173
朔州	shuo zhou	739
朔州市	shuo zhou shi	542
朔方	shuo fang	1168
朔日	shuo ri	496
朔望	shuo wang	443
朔风	shuo feng	32
朕	zhen	5638
朗	lang	45798
朗什	lang shi	68
朗切	lang qie	297
朗声	lang sheng	10
朗姆酒	lang mu jiu	402
朗德	lang de	1443
朗德省	lang de sheng	1947
朗普	lang pu	216
朗朗	lang lang	195
朗朗上口	lang lang shang kou	313
朗朗乾坤	lang lang qian kun	57
朗松	lang song	457
朗格	lang ge	929
朗格勒	lang ge le	381
朗照	lang zhao	6
朗玛	lang ma	20
朗玛峰	lang ma feng	3
朗缪尔	lang miu er	171
朗诵	lang song	1429
朗读	lang du	2209
朗谢	lang xie	3
朗谢讷	lang xie ne	463
朗贡	lang gong	329
朗费罗	lang fei luo	54
望	wang	26471
望京	wang jing	600
望其项背	wang qi xiang bei	71
望后石	wang hou shi	81
望城	wang cheng	301
望城县	wang cheng xian	164
望奎	wang kui	176
望子成龙	wang zi cheng long	45
望安岛	wang an dao	65
望尘莫及	wang chen mo ji	241
望山	wang shan	279
望岳	wang yue	63
望文生义	wang wen sheng yi	62
望族	wang zu	1460
望日	wang ri	108
望春	wang chun	140
望月	wang yue	1565
望梅止渴	wang mei zhi ke	183
望江	wang jiang	530
望江楼	wang jiang lou	68
望江路	wang jiang lu	50
望洋	wang yang	659
望洋兴叹	wang yang xing tan	17
望海楼	wang hai lou	110
望湖	wang hu	114
望眼欲穿	wang yan yu chuan	150
望着	wang zhe	755
望穿秋水	wang chuan qiu shui	99
望而却步	wang er que bu	166
望而生畏	wang er sheng wei	60
望花	wang hua	81
望见	wang jian	507
望谟	wang mo	94
望远镜	wang yuan jing	12420
望都	wang du	320
望闻问切	wang wen wen qie	15
望风	wang feng	236
望风披靡	wang feng pi mi	12
望风捕影	wang feng bu ying	5
望风而逃	wang feng er tao	39
朝	chao	72303
朝	zhao	2443
朝三暮四	zhao san mu si	91
朝不保夕	zhao bu bao xi	39
朝中	chao zhong	1460
朝九	zhao jiu	459
朝仓	chao cang	2461
朝代	chao dai	1810
朝令夕改	zhao ling xi gai	58
朝发夕至	zhao fa xi zhi	38
朝向	chao xiang	3342
朝圣	chao sheng	3654
朝夕	zhao xi	420
朝夕相处	zhao xi xiang chu	193
朝天宫	chao tian gong	643
朝天门	chao tian men	300
朝廷	chao ting	19243
朝思暮想	zhao si mu xiang	106
朝拜	chao bai	768
朝政	chao zheng	2357
朝散	chao san	424
朝日	chao ri	7514
朝日	zhao ri	11271
朝晖	zhao hui	268
朝暮	chao mu	5
朝暮	zhao mu	43
朝朝暮暮	zhao zhao mu mu	64
朝歌	zhao ge	379
朝比奈	chao bi nai	581
朝气	zhao qi	469
朝气蓬勃	zhao qi peng bo	203
朝秦暮楚	zhao qin mu chu	17
朝花	zhao hua	171
朝花夕	zhao hua xi	15
朝花夕拾	zhao hua xi shi	581
朝贡	chao gong	1852
朝野	chao ye	1607
朝阳	chao yang	5298
朝阳	zhao yang	2271
朝阳公园	zhao yang gong yuan	172
朝阳医院	zhao yang yi yuan	78
朝阳寺	zhao yang si	78
朝阳市	zhao yang shi	594
朝阳沟	chao yang gou	78
朝阳花	chao yang hua	5
朝阳路	chao yang lu	245
朝阳门	chao yang men	424
朝阳门内	chao yang men nei	78
朝阳门外	chao yang men wai	145
朝霞	zhao xia	489
朝鲜	chao xian	85181
朝鲜半岛	chao xian ban dao	9213
朝鲜族	chao xian zu	2869
期	ji	4583
期	qi	91665
期中	qi zhong	1482
期冀	qi ji	17
期刊	qi kan	13689
期年	ji nian	49
期年	qi nian	6
期待	qi dai	76130
期待你	qi dai ni	4406
期待你的	qi dai ni de	267
期待期待	qi dai qi dai	2483
期房	qi fang	26
期望	qi wang	9635
期望值	qi wang zhi	790
期期艾艾	qi qi ai ai	7
期末	qi mo	5059
期末考	qi mo kao	1016
期末考试	qi mo kao shi	1235
期权	qi quan	673
期满	qi man	2260
期生	qi sheng	3568
期盼	qi pan	1945
期票	qi piao	48
期终	qi zhong	44
期考	qi kao	74
期许	qi xu	826
期货	qi huo	2447
期间	qi jian	196934
期限	qi xian	5173
朦	meng	389
朦胧	meng long	2089
木	mu	121715
木下	mu xia	2248
木下惠介	mu xia hui jie	65
木乃伊	mu nai yi	1789
木事	mu shi	1166
木作	mu zuo	241
木偶	mu ou	1857
木偶戏	mu ou xi	258
木儿	mu er	413
木兰	mu lan	2725
木制	mu zhi	3592
木刻	mu ke	938
木化石	mu hua shi	29
木匠	mu jiang	1234
木华黎	mu hua li	252
木卡姆	mu ka mu	211
木卫	mu wei	2240
木叶	mu ye	1585
木呆呆	mu dai dai	3
木器	mu qi	240
木坂	mu ban	64
木垒	mu lei	120
木头	mu tou	2935
木头人	mu tou ren	209
木头木脑	mu tou mu nao	3
木姜	mu jiang	19
木姜子	mu jiang zi	419
木屋	mu wu	2192
木屐	mu ji	334
木屑	mu xie	334
木工	mu gong	1099
木已成舟	mu yi cheng zhou	54
木户孝允	mu hu xiao yun	110
木拉提	mu la ti	90
木排	mu pai	45
木料	mu liao	482
木星	mu xing	6566
木更津	mu geng jin	778
木有	mu you	44742
木本	mu ben	956
木材	mu cai	6405
木材厂	mu cai chang	94
木村	mu cun	5208
木村佳乃	mu cun jia nai	114
木村拓哉	mu cun tuo zai	529
木板	mu ban	2302
木林	mu lin	284
木柴	mu chai	219
木栓	mu shuan	132
木桥	mu qiao	728
木桩	mu zhuang	493
木桶	mu tong	714
木梳	mu shu	62
木棉	mu mian	646
木棍	mu gun	506
木棒	mu bang	339
木槿	mu jin	304
木模	mu mo	4
木模	mu mu	38
木樨	mu xi	106
木樨地	mu xi di	139
木沼	mu zhao	57
木沼悟	mu zhao wu	1
木沼悟志	mu zhao wu zhi	378
木浦	mu pu	397
木炭	mu tan	900
木然	mu ran	28
木片	mu pian	243
木版	mu ban	180
木牛流马	mu niu liu ma	54
木琴	mu qin	253
木瓜	mu gua	2055
木瓜牛奶	mu gua niu nai	72
木立	mu li	39
木筏	mu fa	330
木简	mu jian	142
木糖	mu tang	100
木糖醇	mu tang chun	75
木素	mu su	61
木耳	mu er	754
木船	mu chuan	264
木莲	mu lian	173
木薯	mu shu	540
木讷	mu ne	212
木质	mu zhi	2373
木质部	mu zhi bu	246
木通	mu tong	272
木造	mu zao	2414
木遁	mu dun	161
木里	mu li	506
木里县	mu li xian	61
木锨	mu xian	2
木雕	mu diao	2164
木马	mu ma	1656
木鱼	mu yu	426
未	wei	125430
未了	wei liao	707
未亡人	wei wang ren	250
未便	wei bian	39
未免	wei mian	618
未决	wei jue	249
未卜	wei bu	115
未卜先知	wei bu xian zhi	63
未受	wei shou	1773
未可	wei ke	312
未可厚非	wei ke hou fei	2
未央	wei yang	1253
未始	wei shi	42
未婚	wei hun	2964
未婚夫	wei hun fu	1365
未婚妻	wei hun qi	1980
未定	wei ding	3306
未定义	wei ding yi	185
未尝	wei chang	1053
未必	wei bi	4833
未成年	wei cheng nian	3323
未成年人	wei cheng nian ren	2156
未成年子女	wei cheng nian zi nv	152
未时	wei shi	134
未曾	wei ceng	4684
未有	wei you	13390
未来	wei lai	74667
未来世界	wei lai shi jie	550
未来可期	wei lai ke qi	814
未来的	wei lai de	12778
未果	wei guo	2381
未满	wei man	2537
未然	wei ran	168
未眠	wei mian	448
未知	wei zhi	20329
未知数	wei zhi shu	683
未科	wei ke	5
未竟	wei jing	197
未经	wei jing	7894
未老先衰	wei lao xian shuai	87
未能	wei neng	38081
未获	wei huo	3299
未见	wei jian	1903
未解	wei jie	516
未设	wei she	855
未详	wei xiang	356
未读	wei du	121
未遂	wei sui	2565
未雨绸缪	wei yu chou mou	203
末	me	2046
末	mo	40930
末世	mo shi	1072
末了	mo liao	254
末代	mo dai	3230
末伏	mo fu	8
末儿	mo er	8
末叶	mo ye	195
末后	mo hou	127
末子	mo zi	123
末尾	mo wei	1541
末帝	mo di	483
末年	mo nian	7990
末座	mo zuo	95
末日	mo ri	7610
末期	mo qi	12851
末梢	mo shao	263
末民	mo min	3
末民初	mo min chu	266
末沙	mo sha	415
末流	mo liu	62
末清	mo qing	2
末清初	mo qing chu	239
末班车	mo ban che	1169
末站	mo zhan	39
末端	mo duan	5951
末至	mo zhi	1647
末节	mo jie	147
末路	mo lu	424
本	ben	319579
本业	ben ye	301
本主儿	ben zhu er	2
本义	ben yi	777
本乡奏多	ben xiang zou duo	63
本书	ben shu	19267
本事	ben shi	7469
本人	ben ren	35891
本仙	ben xian	365
本位	ben wei	788
本位主义	ben wei zhu yi	92
本体	ben ti	5011
本作	ben zuo	29861
本册	ben ce	12
本分	ben fen	578
本列	ben lie	24
本列表	ben lie biao	3301
本利	ben li	58
本剧	ben ju	11673
本县	ben xian	1995
本名	ben ming	16181
本命	ben ming	1695
本命年	ben ming nian	2724
本国	ben guo	4387
本土	ben tu	32051
本地	ben di	26265
本地人	ben di ren	2121
本地跑	ben di pao	5
本埠	ben bu	59
本子	ben zi	1863
本字	ben zi	383
本季	ben ji	5077
本宫	ben gong	1427
本家	ben jia	1104
本尊	ben zun	1922
本就	ben jiu	1026
本届	ben jie	15710
本属	ben shu	18153
本岛	ben dao	3061
本市	ben shi	1770
本年	ben nian	2118
本当	ben dang	288
本彩	ben cai	720
本影	ben ying	2047
本心	ben xin	349
本性	ben xing	3082
本息	ben xi	98
本意	ben yi	1556
本愿	ben yuan	1554
本拉登	ben la deng	78
本文	ben wen	1650
本族	ben zu	377
本日	ben ri	771
本旨	ben zhi	41
本是同根生	ben shi tong gen sheng	162
本月	ben yue	1780
本木雅弘	ben mu ya hong	117
本末	ben mo	578
本末倒置	ben mo dao zhi	67
本本主义	ben ben zhu yi	15
本来	ben lai	61086
本来就	ben lai jiu	14422
本来就是	ben lai jiu shi	7316
本来想	ben lai xiang	4634
本来是	ben lai shi	4841
本来面目	ben lai mian mu	101
本杰明	ben jie ming	2374
本校	ben xiao	2086
本案	ben an	2623
本源	ben yuan	665
本溪	ben xi	1402
本溪县	ben xi xian	165
本溪市	ben xi shi	441
本片	ben pian	16854
本田	ben tian	4378
本町	ben ding	2405
本番	ben fan	568
本相	ben xiang	57
本省	ben sheng	1895
本着	ben zhe	391
本票	ben piao	253
本科	ben ke	19894
本科生	ben ke sheng	2426
本站	ben zhan	34377
本章	ben zhang	283
本笃	ben du	2336
本篇	ben pian	2340
本籍	ben ji	735
本纪	ben ji	3716
本线	ben xian	34925
本职	ben zhi	448
本能	ben neng	3197
本舰	ben jian	2843
本色	ben se	1840
本色	ben shai	230
本草学	ben cao xue	75
本行	ben hang	311
本该	ben gai	548
本质	ben zhi	10168
本贯	ben guan	1178
本身	ben shen	37511
本轮	ben lun	1264
本部	ben bu	11272
本金	ben jin	505
本钱	ben qian	1195
本雅明	ben ya ming	276
本集	ben ji	2882
本领	ben ling	1186
本题	ben ti	48
札	zha	12086
札幌	zha huang	4463
札幌市	zha huang shi	2550
札幌站	zha huang zhan	470
札沼	zha zhao	43
札沼线	zha zhao xian	490
札萨	zha sa	59
札萨克	zha sa ke	1489
札记	zha ji	575
术	shu	21007
术	zhu	1050
术业有专攻	shu ye you zhuan gong	118
术后	shu hou	842
术士	shu shi	1038
术师	shu shi	582
术语	shu yu	16751
术赤	zhu chi	315
朱	zhu	86419
朱世杰	zhu shi jie	88
朱丽	zhu li	501
朱伟	zhu wei	235
朱允炆	zhu yun wen	210
朱元璋	zhu yuan zhang	3555
朱光	zhu guang	264
朱光亚	zhu guang ya	96
朱光潜	zhu guang qian	146
朱全忠	zhu quan zhong	1381
朱军	zhu jun	227
朱冲	zhu chong	50
朱凯	zhu kai	431
朱利	zhu li	863
朱利安	zhu li an	2146
朱利安尼	zhu li an ni	409
朱勋	zhu xun	111
朱厚照	zhu hou zhao	103
朱厚熜	zhu hou cong	201
朱友	zhu you	568
朱友珪	zhu you gui	161
朱友贞	zhu you zhen	211
朱可夫	zhu ke fu	554
朱同	zhu tong	218
朱启钤	zhu qi qian	147
朱培德	zhu pei de	262
朱塞	zhu sai	64
朱塞佩	zhu sai pei	1203
朱夏	zhu xia	178
朱子	zhu zi	1516
朱孝天	zhu xiao tian	67
朱学范	zhu xue fan	398
朱安	zhu an	471
朱家宝	zhu jia bao	57
朱家尖	zhu jia jian	70
朱常洛	zhu chang luo	210
朱彝尊	zhu yi zun	249
朱德	zhu de	3323
朱批	zhu pi	159
朱承	zhu cheng	88
朱提	zhu ti	141
朱敏	zhu min	283
朱文	zhu wen	840
朱术桂	zhu shu gui	81
朱朴	zhu pu	57
朱杰	zhu jie	55
朱桓	zhu huan	179
朱棣	zhu di	1866
朱棣文	zhu di wen	94
朱正	zhu zheng	122
朱正廷	zhu zheng ting	560
朱氏	zhu shi	1221
朱海	zhu hai	235
朱清时	zhu qing shi	50
朱温	zhu wen	931
朱漆	zhu qi	84
朱灵	zhu ling	110
朱然	zhu ran	298
朱熹	zhu xi	1698
朱燮元	zhu xie yuan	65
朱珪	zhu gui	56
朱瑞	zhu rui	361
朱由校	zhu you jiao	111
朱由检	zhu you jian	187
朱由榔	zhu you lang	162
朱瞻基	zhu zhan ji	188
朱砂	zhu sha	379
朱祁钰	zhu qi yu	153
朱祁镇	zhu qi zhen	196
朱祐樘	zhu you tang	88
朱笔	zhu bi	72
朱紫	zhu zi	159
朱红	zhu hong	260
朱绍良	zhu shao liang	258
朱翊钧	zhu yi jun	117
朱聿键	zhu yu jian	204
朱自清	zhu zi qing	352
朱芳	zhu fang	105
朱茵	zhu yin	247
朱荣	zhu rong	896
朱莉	zhu li	1129
朱虚	zhu xu	87
朱虹	zhu hong	61
朱见深	zhu jian shen	170
朱观	zhu guan	125
朱谋	zhu mou	373
朱载堉	zhu zai yu	105
朱迅	zhu xun	51
朱迪	zhu di	1014
朱里	zhu li	957
朱钟	zhu zhong	354
朱镕基	zhu rong ji	890
朱门	zhu men	146
朱陵	zhu ling	50
朱雀	zhu que	1930
朱雀门	zhu que men	115
朱高炽	zhu gao chi	316
朱鹤	zhu he	50
朱鹮	zhu huan	137
朱龄	zhu ling	114
朳	ba	5
朴	piao	1039
朴	po	1039
朴	pu	20778
朴丽	piao li	221
朴丽鱼	piao li yu	225
朴厚	pu hou	14
朴子	piao zi	1847
朴实	pu shi	1300
朴实无华	pu shi wu hua	133
朴树	po shu	652
朴正	piao zheng	393
朴正熙	piao zheng xi	1553
朴永训	piao yong xun	103
朴素	pu su	1758
朴质	pu zhi	33
朴趾源	piao zhi yuan	67
朵	duo	10533
朵小	duo xiao	176
朵开	duo kai	229
朵拉	duo la	734
朵花	duo hua	930
朸	li	8
机	ji	125042
机不可失	ji bu ke shi	154
机井	ji jing	47
机件	ji jian	605
机会	ji hui	86045
机会主义	ji hui zhu yi	493
机会了	ji hui le	2370
机会去	ji hui qu	2364
机会的	ji hui de	4043
机位	ji wei	812
机体	ji ti	9530
机修	ji xiu	99
机关	ji guan	44363
机关刊物	ji guan kan wu	334
机关单位	ji guan dan wei	125
机关报	ji guan bao	1522
机关枪	ji guan qiang	1223
机关炮	ji guan pao	486
机关算尽	ji guan suan jin	36
机具	ji ju	666
机制	ji zhi	20003
机务	ji wu	5985
机动	ji dong	19585
机动车	ji dong che	2145
机匣	ji xia	2936
机厂	ji chang	1841
机变	ji bian	90
机器	ji qi	18521
机器人	ji qi ren	24225
机器学习	ji qi xue xi	1017
机器狗	ji qi gou	93
机器码	ji qi ma	188
机器翻译	ji qi fan yi	299
机器视觉	ji qi shi jue	75
机器语言	ji qi yu yan	156
机场	ji chang	96774
机场专线	ji chang zhuan xian	96
机场路	ji chang lu	583
机型	ji xing	6719
机头	ji tou	929
机子	ji zi	1213
机宜	ji yi	126
机密	ji mi	5075
机巧	ji qiao	438
机帆船	ji fan chuan	51
机师	ji shi	2095
机床	ji chuang	664
机床厂	ji chuang chang	152
机库	ji ku	1333
机座	ji zuo	84
机心	ji xin	34
机房	ji fang	1252
机敏	ji min	304
机智	ji zhi	8973
机杼	ji zhu	35
机构	ji gou	121685
机构投资者	ji gou tou zi zhe	181
机枪	ji qiang	9715
机柜	ji gui	176
机械	ji xie	40992
机械化	ji xie hua	3518
机械厂	ji xie chang	788
机械工业委员会	ji xie gong ye wei yuan hui	59
机械师	ji xie shi	568
机械手	ji xie shou	142
机械臂	ji xie bi	372
机械运动	ji xie yun dong	38
机械键盘	ji xie jian pan	172
机油	ji you	1284
机灵	ji ling	2037
机灵鬼	ji ling gui	271
机炮	ji pao	2963
机率	ji lv	5414
机理	ji li	2236
机甲	ji jia	1901
机电	ji dian	3095
机电一体化	ji dian yi ti hua	110
机电工程学院	ji dian gong cheng xue yuan	119
机票	ji piao	8015
机种	ji zhong	2837
机组	ji zu	8968
机织	ji zhi	64
机缘	ji yuan	964
机群	ji qun	267
机翼	ji yi	3916
机耕	ji geng	25
机能	ji neng	5295
机舱	ji cang	1630
机要	ji yao	1866
机警	ji jing	225
机谋	ji mou	15
机身	ji shen	6864
机车	ji che	49712
机车厂	ji che chang	964
机车车辆厂	ji che che liang chang	1281
机轮	ji lun	157
机载	ji zai	616
机运	ji yun	65
机遇	ji yu	1704
机长	ji chang	493
机长	ji zhang	3948
机队	ji dui	4219
机顶盒	ji ding he	530
朽	xiu	492
朽坏	xiu huai	56
朽木	xiu mu	774
朽烂	xiu lan	23
杀	sha	62791
杀一儆百	sha yi jing bai	42
杀了	sha le	7479
杀人	sha ren	16462
杀人不眨眼	sha ren bu zha yan	56
杀人不见血	sha ren bu jian xie	1
杀人不见血	sha ren bu jian xue	8
杀人如麻	sha ren ru ma	52
杀人放火	sha ren fang huo	74
杀人灭口	sha ren mie kou	138
杀人越货	sha ren yue huo	26
杀价	sha jia	90
杀伐	sha fa	96
杀伤	sha shang	2065
杀伤力	sha shang li	1251
杀头	sha tou	87
