# 微明基础词库，由 glimmer-dict-convert lexicon 生成。词	音节	词频
# 来源：通用规范汉字表（8105 字）；现代汉语常用词表（liuxilu 校对版）；THUOCL 领域词（MIT，清华大学自然语言处理实验室）；补充常用词（common_words.tsv，白名单 CC-CEDICT CC BY-SA 4.0 与 jieba 词表 MIT，人工审）；
# 读音：Unihan（Unicode License）+ LLM 标注多音字词；词频：微明自己的语料统计（中文维基 CC BY-SA 4.0、LCCC MIT）。
一棵树	yi ke shu	903
一楼	yi lou	6763
一概	yi gai	877
一概而论	yi gai er lun	234
一模一样	yi mu yi yang	4161
一次	yi ci	155052
一次性	yi ci xing	4349
一次澡	yi ci zao	293
一款	yi kuan	16421
一款由	yi kuan you	3059
一步	yi bu	11167
一步一个脚印	yi bu yi ge jiao yin	125
一步到位	yi bu dao wei	162
一步步	yi bu bu	1065
一步登天	yi bu deng tian	80
一段	yi duan	51597
一段时间	yi duan shi jian	17684
一段话	yi duan hua	695
一段路	yi duan lu	571
一毛不拔	yi mao bu ba	77
一气呵成	yi qi he cheng	265
一氧化碳	yi yang hua tan	1470
一水儿	yi shui er	19
一汽	yi qi	768
一波	yi bo	9439
一波三折	yi bo san zhe	219
一泻千里	yi xie qian li	38
一派	yi pai	3074
一流	yi liu	4441
一清二楚	yi qing er chu	194
一清二白	yi qing er bai	2
一清早	yi qing zao	18
一溜儿	yi liu er	8
一溜烟	yi liu yan	70
一潭死水	yi tan si shui	19
一炮打响	yi pao da xiang	25
一点	yi dian	120172
一点一滴	yi dian yi di	201
一点儿	yi dian er	2383
一点半点	yi dian ban dian	87
一点点	yi dian dian	3258
一点的	yi dian de	5375
一片	yi pian	16531
一片冰心	yi pian bing xin	8
一片汪洋	yi pian wang yang	94
一物降一物	yi wu xiang yi wu	69
一瓶	yi ping	4994
一生	yi sheng	23251
一生一世	yi sheng yi shi	577
一番	yi fan	6446
一病不起	yi bing bu qi	116
一百	yi bai	17625
一盏	yi zhan	404
一盒	yi he	2444
一盘散沙	yi pan san sha	89
一盘棋	yi pan qi	67
一目了然	yi mu liao ran	266
一目十行	yi mu shi hang	53
一直	yi zhi	244282
